-27.2679 -59.9701 | 2.85616 0.574212 | 11283 3410.51
-26.7706 -60.074 | 2.73573 2.27544 | -11151.6 -2194.84
-26.2879 -60.202 | 2.49148 0.275621 | -11874.8 4477.26
-25.8218 -60.3537 | 1.21406 1.22995 | 4972.12 -11856.3
-25.3611 -60.5355 | 1.22684 -0.857167 | 8893.52 6506.84
-24.8939 -60.7115 | 2.3798 -1.52286 | -11942.8 754.523
-24.4305 -60.8779 | 4.3392 -0.635262 | 2280.08 -1995.65
-23.9593 -61.025 | 3.71738 -1.25474 | 7828.69 4997.9
-23.4749 -61.1371 | 1.77698 -1.29862 | -7839.19 93.5604
-22.9899 -61.2245 | 3.38495 0.840248 | -516.064 -3935.5
-22.5027 -61.2958 | 1.38878 -1.28214 | 2648.9 599.65
-22.0115 -61.345 | -2.23783 0.36098 | -4261.95 -1355.89
-21.5206 -61.3707 | -1.3084 -0.293838 | 6206.76 4617.06
-21.0257 -61.3675 | -0.453724 -0.482944 | -6165.64 -11058.8
-20.5336 -61.3509 | -0.267542 -0.800614 | 7118.96 10810.1
-20.0382 -61.2934 | -2.0386 -2.35519 | 14724.3 198.871
-19.536 -61.2102 | -1.34943 0.3278 | -6480.53 -3810.63
-19.0408 -61.1119 | 1.6198 0.666723 | -8029.23 1567.28
-18.5559 -60.9979 | -1.13678 -2.51872 | -4500.23 -13367.3
-18.0778 -60.8794 | -4.01468 -1.20166 | 3007.72 10969.8
-17.6083 -60.7203 | -2.65409 -1.23725 | -1129.66 6683.27
-17.1502 -60.5268 | -2.27279 -0.418139 | 1091.76 -10903.6
-16.6937 -60.3312 | -0.670587 2.15801 | 10514.2 8042.71
-16.2338 -60.1224 | -3.70316 3.44953 | -2547.69 -422.158
-15.7773 -59.9084 | -4.65847 4.17203 | -632.433 -7579.38
-15.3234 -59.6973 | -3.14302 0.309022 | -11447.8 7622.12
-14.8815 -59.4732 | -2.24258 -2.19896 | 1452.3 -8736.86
-14.4345 -59.2604 | 0.775434 0.623293 | 18336.5 6631.16
-13.9721 -59.048 | 0.314648 -1.04408 | 3396.36 8386.9
-13.5071 -58.8287 | -0.113474 -3.30282 | -11872 -8424.38
-13.0476 -58.6191 | -3.1392 1.9397 | -128.537 -1485.92
-12.587 -58.4177 | -1.83093 -1.33392 | -4234.42 4703.79
-12.1262 -58.2209 | -0.859903 -1.32055 | 1495.19 2364.89
-11.656 -58.0463 | -4.93784 2.72307 | -1226.92 -9200.65
-11.174 -57.9213 | -3.38253 2.77573 | -6959.65 -1357.18
-10.6878 -57.8398 | 1.39374 0.597805 | 1041.57 1602.06
-10.1973 -57.7924 | 2.21208 -0.603503 | -2759.61 -1091.38
-9.70617 -57.7736 | 3.19666 -1.17529 | 4374.91 3849.65
-9.21142 -57.7715 | 1.14243 -0.284449 | 4144.26 3295.18
-8.71387 -57.7882 | 1.91948 0.292255 | -2456.01 -2107.57
-8.21982 -57.8378 | 3.78784 1.18046 | -2123.05 -1238.52
-7.73202 -57.9235 | -0.0772005 -0.243946 | 2574.93 4343.76
