-27.1301 -59.9566 | 3.74065 -2.85006 | -2913.4 -1646
-26.6659 -60.1344 | 4.98705 -3.52902 | -2756.66 5942.3
-26.2018 -60.3048 | 3.02978 -0.393995 | 2038.8 -767.179
-25.735 -60.4727 | 1.71726 0.216155 | 5172.77 -4395.24
-25.264 -60.6425 | 0.851922 -0.226631 | 1400.44 3281.17
-24.7906 -60.8074 | 2.22057 -0.32412 | -4586.3 -2428.92
-24.3203 -60.9745 | -0.726546 0.682211 | -962.541 -5117.98
-23.8477 -61.1391 | -2.58456 1.69218 | 12998.8 9183.06
-23.3599 -61.2768 | -1.09201 -0.803962 | -3671.48 -4662.74
-22.8717 -61.4076 | 1.31005 3.04541 | -7360.8 28.9866
-22.3869 -61.5323 | -0.663712 -0.500555 | -209.142 -3730.73
-21.8993 -61.647 | -1.84821 -3.36332 | 4438.28 366.278
-21.4022 -61.7329 | 0.206145 1.32797 | 7941.63 4086.74
-20.8945 -61.7745 | 1.76802 0.24372 | -4332.48 3968.05
-20.3885 -61.7742 | 0.989125 -3.55622 | -13322.9 -3750.97
-19.8912 -61.7486 | 0.34739 1.4002 | 14605 -2748.57
-19.387 -61.6997 | 0.18322 -1.94907 | 2609.88 5860.18
-18.885 -61.6156 | 1.97975 -4.97109 | -11705.8 -7696.74
-18.3959 -61.5062 | 1.49972 0.54189 | 5084.67 7292.62
-17.9142 -61.3562 | 0.96131 3.00438 | 1238.98 -5251.66
-17.4428 -61.1755 | 0.933937 0.615811 | 1880.78 4708.49
-16.9877 -60.9518 | -2.88362 0.643026 | -2298.53 5573.82
-16.5557 -60.6874 | -2.70748 0.65222 | -9279.51 -10253.7
-16.1452 -60.4054 | 1.0375 1.62791 | 2851.52 1885.41
-15.7455 -60.1063 | 0.349743 2.6638 | -1850.48 6543.91
-15.3522 -59.7941 | 1.43045 0.8729 | 12628.5 -4709.93
-14.9441 -59.4924 | 0.824893 1.29201 | 1852.27 2436.97
