-74.8666 -41.7222 | 0.415162 -6.05948 | -10058 1532.06
-74.3804 -41.7894 | -1.37335 0.638932 | 4208.43 -1989.94
-73.8939 -41.8781 | -3.18762 -0.450411 | 4701.39 -1296.55
-73.4049 -41.9789 | -0.615401 -0.603817 | 8408.97 492.086
-72.9108 -42.0802 | -0.901329 2.14365 | -10498.2 2118.13
-72.4225 -42.1761 | -0.00457944 -0.856856 | -3265.23 5276.65
-71.9349 -42.2636 | 5.58765 -0.610078 | 15041.9 -3317.74
-71.4392 -42.3592 | 5.32582 1.46237 | -7831.35 -11284.2
-70.9499 -42.4735 | 0.387237 -0.212117 | -545.279 9899.13
-70.4588 -42.5702 | 1.77651 -1.02642 | 322.288 -4221.42
-69.964 -42.6511 | 3.89879 1.92149 | 4636.93 5165.38
-69.4628 -42.7016 | 2.00772 5.41051 | -4193.61 3313.32
-68.9618 -42.7284 | 0.598686 2.27481 | 4011.3 -11139.8
-68.4575 -42.7512 | 1.92993 -2.09453 | 4411.49 5200.2
-67.9503 -42.7456 | 2.09979 -0.500694 | -8337.24 4278.68
-67.4509 -42.7079 | 1.19781 -0.660284 | -10663.4 -7756.41
-66.9611 -42.6528 | 1.85634 1.06589 | 4980.44 6189.34
-66.4718 -42.5675 | 1.04924 0.940242 | 12221.9 -1480.32
-65.9786 -42.4623 | -2.95388 -0.404319 | -6668.51 -5567.8
-65.4951 -42.3371 | 1.11006 -0.488295 | -8123.06 1534
-65.0287 -42.1755 | 3.08425 1.73454 | 669.428 -2827.29
-64.5772 -41.9758 | -0.0980419 -0.35713 | 8694.73 10575.3
-64.1409 -41.727 | -0.378687 -0.46455 | 915.196 634.603
-63.7228 -41.4462 | -2.13476 2.30377 | -2417.87 -8649.4
-63.3231 -41.1498 | 2.0005 0.785324 | -12554.8 -4560.79
-62.9511 -40.8342 | -0.116915 -0.232197 | -1634.88 -3582.88
-62.5948 -40.5035 | -2.33019 -2.59055 | 17699 9726.25
-62.2391 -40.1524 | -0.477745 -1.92091 | -284.736 9838.17
-61.8992 -39.7771 | -2.97615 1.76869 | -290.536 -6610
-61.5711 -39.395 | -0.355357 -2.49866 | 1169.5 -1278.79
-61.2561 -39.0041 | -0.371044 -2.82392 | -6807.61 -1389.23
-60.9643 -38.602 | -5.71649 0.597067 | -8936.6 -10514.5
-60.6915 -38.1973 | -1.9926 0.0127952 | 15319.7 4165.08
-60.4162 -37.7853 | -3.50642 1.06414 | -7645.9 14086.4
-60.1612 -37.3529 | -5.70124 -2.08871 | 2534.22 -2973.95
-59.9049 -36.9211 | 0.647872 -4.00829 | 1641.92 -4590.23
-59.6361 -36.4992 | -0.652046 -2.79249 | -3977.49 4207.32
-59.3557 -36.0838 | -0.155429 2.40674 | 2708.17 2405.12
-59.0485 -35.6854 | 3.90822 -0.0817529 | 4206.37 -9202.55
-58.7072 -35.3188 | -0.831055 0.0264144 | -5955.37 7060.15
-58.3479 -34.969 | 5.06096 -2.12469 | 6855.69 1803.21
-57.9603 -34.6462 | 4.19285 4.65063 | -8723.4 -10597.4
-57.5548 -34.3611 | 3.26534 3.82517 | -2692.32 458.132
-57.1343 -34.1015 | 1.52065 -2.73212 | 5510.65 10883.5
-56.6959 -33.8595 | -2.01072 -2.5955 | 718.788 -4014.95
-56.2373 -33.6566 | -1.3701 2.8726 | 5947.81 -779.516
-55.758 -33.4973 | -2.38844 3.32117 | -2485.06 2781.63
-55.2678 -33.3779 | -2.57027 1.21291 | 454.155 -7467.66
-54.7686 -33.3068 | 0.943244 1.00096 | 4037.92 4273.99
-54.264 -33.2637 | -1.37759 0.0657702 | -8687.37 5987.69
-53.7629 -33.2443 | -3.14496 -1.63783 | 3555.03 -2815.77
-53.2598 -33.2697 | -3.13276 -0.991355 | 9685.95 -7240.56
-52.7562 -33.3507 | 0.525962 4.42438 | -7669.15 3249.06
-52.266 -33.4741 | 3.2705 0.996786 | -2843.52 -11565.9
-51.7893 -33.6385 | 2.97946 0.128282 | -5743.17 13381.2
-51.319 -33.7968 | 2.58587 -1.22333 | -9845.65 8942.48
-50.8543 -33.9456 | 3.02635 -1.31566 | 8066.08 -11507.8
-50.3869 -34.1075 | -0.871336 0.484432 | 1862.88 -6236.19
-49.9149 -34.2665 | -1.89993 2.03625 | 4678.36 12296.3
-49.4317 -34.3864 | -0.910683 1.291 | -13108.2 -324.855
-48.9517 -34.48 | 2.40043 2.74467 | -3801.55 -6317.75
-48.4711 -34.5528 | 0.279923 1.35156 | 2653.28 7913.1
-47.9838 -34.5851 | -2.69166 -0.542346 | 13175.8 -3121.81
-47.4868 -34.5933 | -1.78777 -2.75612 | -5782.9 -9544.5
-46.9935 -34.5856 | -2.21651 0.564944 | -11339.2 9729.96
-46.51 -34.5337 | 3.6326 0.662116 | 6607.97 -5545.67
-46.0269 -34.4541 | 4.18175 1.48687 | 6549.48 -4110.73
-45.5462 -34.3419 | 0.394267 0.584473 | -7595.3 11702.4
-45.0822 -34.1762 | 0.531573 -2.25809 | 11087.2 -7417.24
-44.6206 -33.9875 | 1.28801 -3.2011 | 4166.1 3516.8
-44.1667 -33.7683 | -0.380916 1.1805 | 4443.31 5478.9
-43.7234 -33.5169 | 2.18661 -0.831286 | 849.042 -172.544
-43.2924 -33.2428 | 1.3939 -0.0804681 | 1388.36 -1266.18
-42.8737 -32.9509 | -2.29241 5.58031 | -7425.36 -779.206
-42.4753 -32.6412 | 1.0703 1.30783 | -2882.09 -14323.9
-42.0938 -32.3236 | 0.583506 2.10483 | -4740.55 10845.9
-41.7408 -31.972 | -1.70775 1.91221 | 8803.67 2668.05
-41.4029 -31.5993 | -5.18891 2.15947 | -5697.5 -6658.86
-41.0871 -31.2141 | -0.916973 1.1048 | -3397.97 4254.87
-40.7903 -30.8142 | 1.24324 0.565483 | 6555.98 -8688.81
-40.4955 -30.4142 | 0.319905 0.880103 | -3415.97 13764.2
-40.2136 -29.9967 | -1.45256 0.910239 | 3681.29 5146.02
-39.9266 -29.5778 | -1.34156 0.325493 | 1758.28 -13201
-39.6212 -29.1798 | -0.984541 3.06164 | -5892.29 2040.18
-39.3062 -28.7942 | 1.59864 1.35688 | -4709.93 -9268
-38.9761 -28.4315 | 3.21503 0.782325 | -2243.55 -1061.81
-38.6277 -28.0877 | 2.26354 3.00038 | 8627.49 14237.4
-38.2531 -27.7561 | 2.14294 2.72084 | 5519.68 -4804
-37.8497 -27.4578 | -1.57704 1.21804 | -10684 -1797.26
-37.4329 -27.1899 | -4.41158 0.918685 | -1210.25 -176.111
-36.9972 -26.9559 | 2.4282 0.773214 | 7479.4 3919.96
-36.5367 -26.7597 | 4.11982 0.593815 | 5558.16 -405.114
-36.0559 -26.6096 | -1.81959 4.30494 | -10427.4 -3785.44
-35.57 -26.5068 | -0.93572 3.04042 | -2177.12 2985.39
-35.0795 -26.4435 | -0.872191 2.29146 | 2161.46 -951.502
-34.584 -26.4231 | 1.23679 0.82473 | 2447.91 4348.86
-34.0869 -26.4428 | 2.34575 1.59215 | -2077.5 -6740.02
-33.5958 -26.5148 | 2.23703 2.43173 | -4491.52 1874.22
-33.1136 -26.6216 | 3.80084 -0.751316 | 7738.4 3854.85
-32.6326 -26.7501 | -4.34861 -0.686619 | 476.909 -2535.19


