-47.1748 -48.0489 | -6.93513 4.28444 | 1891.66 1376
-46.8556 -47.6606 | -4.4417 2.44232 | 639.911 2092.68
-46.5262 -47.2789 | -3.09458 1.42327 | 975.558 1300.46
-46.1825 -46.9082 | -3.02955 1.03805 | 106.871 225.121
-45.8211 -46.5545 | -3.48809 0.574116 | -1583.03 -563.355
-45.439 -46.2256 | -4.20983 0.111926 | -1792.89 -1910.97
-45.0321 -45.9325 | -4.9055 -0.181644 | -1422.91 -2578.39
-44.5982 -45.6861 | -5.22031 -0.330661 | -1040.65 -1677.56
-44.1401 -45.4925 | -5.06367 -0.290636 | -363.469 -106.874
-43.6632 -45.3525 | -4.38478 -0.338538 | 706.814 365.318
-43.1731 -45.2646 | -3.51875 -0.139342 | 1217.1 490.479
-42.6755 -45.2259 | -2.84383 0.989221 | 719.834 245.697
-42.1756 -45.2333 | -2.39044 2.14125 | 212.876 -30.465
-41.6778 -45.283 | -2.1044 2.63005 | 480.993 525.704
-41.1847 -45.3707 | -1.61134 3.27252 | 919.216 1762.2
-40.6989 -45.4937 | -0.789115 4.16782 | 816.747 1245.43
-40.2246 -45.6563 | -0.204705 4.15024 | 167.792 -1699.7
-39.7694 -45.8674 | -0.0412124 3.32861 | 126.543 -3193.1
-39.3399 -46.1294 | 0.0359584 2.50962 | 712.694 -2110.15
-38.9383 -46.4352 | -0.108475 1.40667 | 100.676 -1266.09
-38.5631 -46.7746 | -0.796841 -0.442454 | -520.555 -54.7685
-38.21 -47.1367 | -1.51672 -2.3908 | -538.229 880.048
-37.8724 -47.5123 | -1.2019 -3.17481 | -1321.65 316.169
-37.5435 -47.8942 | 0.183522 -2.43223 | -1550.05 555.522
-37.2143 -48.2738 | 0.825721 -1.64858 | -462.53 2487.18
-36.8736 -48.6402 | 0.153367 -1.6413 | 217.221 3557.83
-36.5144 -48.9853 | -0.271566 -1.30337 | -562.999 1552.07
-36.1375 -49.3091 | 0.56662 0.280842 | -1349.16 -1557.76
-35.7459 -49.6148 | 1.9727 2.29967 | -335.41 -1825.39
-35.338 -49.8997 | 2.3221 2.66179 | 1040.95 -454.999
-34.9103 -50.1556 | 1.1094 0.464183 | 485.704 -1127.12
-34.4618 -50.3747 | -0.251141 -2.0093 | 708.853 -525.286
-33.9924 -50.5469 | -1.06209 -3.01129 | 2273.06 1939.8
-33.5042 -50.6612 | -1.78032 -3.38934 | 2579.19 1773.27
-33.0036 -50.7166 | -2.2822 -3.05277 | 1476.52 -123.883
-32.4983 -50.7208 | -2.29898 -1.24747 | -92.8975 -1268.23
-31.9946 -50.6808 | -1.93861 0.502282 | -1497.66 -623.505
-31.4975 -50.5978 | -1.30628 0.997922 | -2453.01 1527.57
-31.0117 -50.4708 | -0.516596 0.620848 | -1584.01 890.212
-30.5384 -50.3059 | 0.361656 -0.56923 | 762.532 -1001.84
-30.0752 -50.1137 | 1.04461 -1.91416 | 2191.89 -2240.9
-29.6207 -49.9002 | 1.22368 -2.35731 | 954.477 -1794.04
-29.1793 -49.6616 | 1.00198 -1.57917 | -2255.66 305.489
-28.761 -49.3881 | 0.720119 -0.231444 | -4060.93 907.977
-28.3742 -49.0758 | 0.421294 0.949513 | -2876.69 33.742
-28.0182 -48.7314 | 0.187528 1.36987 | 131.621 -1289.07
-27.684 -48.3667 | -0.216937 1.34987 | 1577.66 -1586.93
-27.3632 -47.9903 | -0.883556 1.23265 | 684.435 -277.182
-27.0526 -47.6052 | -1.33105 0.801318 | 9.35626 935.99
-26.7507 -47.2123 | -1.18414 -0.0280607 | 661.478 729.548
-26.4539 -46.8146 | -1.06784 -0.576274 | 495.63 289.055
-26.1586 -46.415 | -1.42723 -0.349877 | -623.576 789.721
-25.8621 -46.0159 | -2.11423 0.455078 | -441.627 1138.35
-25.5586 -45.6212 | -2.46433 0.913019 | 886.85 283.007
-25.2396 -45.238 | -2.25114 0.324556 | 1679.36 -336.876
-24.8995 -44.8722 | -2.10964 -0.939843 | 1817.12 56.4231
-24.5378 -44.5258 | -2.41557 -1.98788 | 679.886 1429.9
-24.158 -44.1973 | -2.67783 -2.46915 | -229.558 2104.55
-23.7623 -43.8863 | -2.5157 -2.40282 | 342.948 417.33
-23.3487 -43.5985 | -1.74516 -2.37794 | 1099.08 -1586.99
-22.9158 -43.3406 | -0.562811 -2.9172 | 677.435 -828.094
-22.466 -43.1128 | 0.292222 -3.38866 | -37.0181 275.759
-22.0033 -42.9122 | 0.384819 -3.07312 | -340.984 624.098
-21.5306 -42.7365 | -0.100656 -2.20305 | 571.191 -510.627
-21.0488 -42.5862 | -0.498199 -1.5825 | 1579.39 -1710.13
-20.5593 -42.4594 | -0.3196 -1.34849 | 1325.77 -1230.74
-20.0658 -42.3467 | 0.363625 -1.27981 | -392.253 1151.57
-19.5728 -42.233 | 1.08629 -1.27581 | -1964.91 3192.03
-19.0839 -42.107 | 1.49795 -1.56195 | -1932.39 1117.97
-18.5993 -41.9704 | 1.50358 -2.11725 | -1470.05 -2059.85
-18.1174 -41.8302 | 1.22925 -2.81034 | -1558.18 -1463.15
-17.6383 -41.6869 | 0.826163 -3.31697 | -1380.15 147.769
-17.1624 -41.537 | 0.473202 -3.49475 | -444.942 628.382
-16.6893 -41.3788 | 0.191224 -2.8379 | 420.937 702.092
-16.2182 -41.2136 | -0.0924067 -1.34045 | 292.643 394.519
-15.748 -41.045 | -0.416214 0.096762 | -389.552 9.10247
-15.2778 -40.8779 | -0.832265 0.780571 | -331.961 -2127.32
-14.8062 -40.718 | -1.4707 1.16776 | -309.65 -3676.77
-14.3341 -40.5636 | -1.98967 1.06536 | -1390.44 -1090.61
-13.8665 -40.4006 | -1.95728 0.122776 | -2019.44 1445.81
-13.4095 -40.2134 | -1.40776 -0.895381 | -671.535 424.658
-12.9666 -39.996 | -0.468327 -1.66328 | 635.196 -10.7431
-12.5399 -39.7473 | 0.714922 -2.42765 | 936.579 503.295
-12.1319 -39.4673 | 1.28542 -2.55405 | 927.137 145.23
-11.7444 -39.1583 | 0.352429 -1.40389 | 308.609 82.1529
-11.3789 -38.823 | -1.51325 0.150224 | -535.009 863.797
-11.0356 -38.4644 | -3.21758 1.25388 | -303.917 809.072
-10.7102 -38.0892 | -3.76351 1.5621 | 655.734 295.004
-10.3937 -37.7055 | -2.97597 1.19471 | 2352.87 43.4217
-10.0768 -37.3204 | -1.58461 0.385552 | 3681.89 325.981
-9.75514 -36.9361 | -0.466164 -0.52467 | 2290.26 1322.46
-9.43261 -36.5494 | 0.338574 -1.30829 | -135.045 1291.31
-9.11643 -36.1561 | 0.853182 -1.60845 | -1159.39 -119.669
-8.81096 -35.7552 | 1.02064 -1.40901 | -1603.55 -643.221
-8.51744 -35.3469 | 0.550597 -0.646858 | -85.7418 -1046.14
-8.23352 -34.9328 | -0.345583 0.481157 | 832.778 5.64803
-7.95813 -34.5125 | -0.447208 1.04646 | 366.573 1836.91
-7.69266 -34.0842 | 0.556396 0.673187 | -796.414 2034.71
-7.43705 -33.6488 | 1.22745 0.278042 | -1384.89 -584.072
-7.18615 -33.2114 | 0.330458 0.762567 | -809.534 -4290.01


-28.9641 51.0194 | -0.227346 1.61715 | -427.157 -1785.35
-28.8074 50.5428 | -0.923347 1.19007 | 1991.61 -934.544
-28.6861 50.0548 | -0.430137 1.33917 | -2651.18 -2892.65
-28.6075 49.5559 | 0.740774 1.76024 | -2363.4 -2671.85
-28.5669 49.0502 | 0.174123 1.83394 | 2179.62 -1479.42
-28.5503 48.5415 | -0.903772 2.24021 | 595.238 -1201.15
-28.5526 48.0312 | -0.636641 3.22689 | 1037.72 -1111.27
-28.572 47.5204 | 0.177975 3.7056 | 781.302 69.0303
-28.6114 47.0108 | -0.0223604 3.20794 | -1739.45 1051.01
-28.6783 46.5049 | -2.03216 2.42018 | -1118.21 577.721
-28.7747 46.0043 | -5.01205 2.14084 | -1777.58 889.759
-28.8997 45.5107 | -5.91455 2.27062 | -1815.43 1481.42
-29.0468 45.0242 | -4.68573 2.19492 | -1124.83 2268.81
-29.2027 44.5423 | -3.19615 1.65881 | 2728.28 2048.32
-29.3481 44.0599 | -1.10556 0.547943 | 3957.01 836.859
-29.4713 43.5733 | 1.09835 -0.44579 | 1757.25 1128.69
-29.5736 43.0833 | 3.18399 -0.832228 | -1549.23 2346.55
-29.662 42.5926 | 4.57167 -0.940854 | -1902.88 2056.92
-29.7362 42.1012 | 4.75109 -1.22531 | -1024.95 1753.84
-29.7877 41.6086 | 4.36839 -1.45715 | -586.62 1409.13
-29.804 41.115 | 2.95959 -1.15847 | 705.168 1.07628
-29.7718 40.6224 | 1.25005 -0.899165 | 604.128 -1850.06
-29.6837 40.1352 | 0.450207 -1.25062 | -1392.91 -2766.87
-29.5375 39.6602 | -0.0244269 -1.78221 | 1203.81 -1358.59
-29.3273 39.2086 | 0.164612 -1.82838 | 931.475 858.59
-29.0534 38.793 | 0.917158 -1.80661 | -1588.94 2792.83
-28.7238 38.4232 | 2.01716 -1.80613 | -1550.1 2036.1
-28.3484 38.1023 | 2.75706 -1.61117 | -415.46 -2513.44
-27.9378 37.8262 | 2.37612 -1.96673 | 1410.22 -1306.46
-27.4988 37.5944 | 1.49883 -2.70332 | 354.546 159.375
-27.039 37.4056 | 1.0075 -3.05486 | -267.768 -167.093
-26.5656 37.2541 | 1.04704 -2.97784 | -220.775 41.3433
-26.0836 37.1329 | 1.04366 -2.36647 | -576.298 -1336.84
-25.5969 37.0332 | 0.454243 -1.51866 | -168.66 -1463.08
-25.1068 36.9503 | -0.271254 -0.285711 | 1097.74 683.659
-24.6132 36.8848 | -0.703245 0.158724 | 1628.3 842.485
-24.1166 36.833 | -0.724917 -0.370796 | 1289.49 -624.715
-23.6181 36.7867 | -0.547229 -0.462955 | 858.306 -458.327
-23.119 36.7398 | -0.271086 0.173937 | -301.415 948.597
-22.6209 36.6872 | 0.021147 0.131599 | -1408.72 778.476
-22.1257 36.6204 | 0.312866 0.188711 | -1401.62 -1746.73
-21.6357 36.5284 | 0.550597 0.0435174 | -636.922 -2118.04
-21.1519 36.4081 | 0.686054 -0.713583 | 106.198 -733.117
-20.6739 36.2659 | 0.920007 -0.394017 | -117.617 103.084
-20.1998 36.1112 | 0.863307 0.231275 | 121.332 756.261
