-77.9045 0.641557 | 4.30708 0.291183 | -12601 2214.86
-77.436 0.502727 | 7.34751 2.21642 | 8160.5 2792.33
-76.9723 0.332874 | 5.90172 2.70258 | 2984.8 -6790.38
-76.5219 0.120835 | 4.29987 3.01035 | -4574.6 -1503
-76.0891 -0.120986 | 4.41678 1.92017 | -2438.17 7243.64
-75.6644 -0.369523 | 3.53682 2.34051 | 4030.71 76.2975
-75.2395 -0.623692 | 0.673682 3.91589 | 12299.6 -2569.55
-74.8114 -0.889059 | -1.18715 -2.17506 | -2680.22 -2029.7
-74.398 -1.17725 | -1.37513 -3.49597 | -2759.53 -793.859
-74.0068 -1.4912 | 0.380191 -0.126788 | -5047.89 6309.65
-73.6414 -1.82514 | -0.786581 -0.123092 | -9663.15 -1078.38
-73.3045 -2.18089 | 1.22503 0.393558 | 2963.01 -55.6574
-72.9719 -2.54116 | 1.39291 -0.318344 | 3114.5 6349.66
-72.6293 -2.89001 | 0.0659338 -0.740484 | 1755.57 130.742
-72.2791 -3.23379 | -0.897542 -1.73492 | 4796.74 -6425.92
-71.9267 -3.58451 | -0.319839 0.910664 | 30.7901 -8388.78
-71.5779 -3.94652 | -0.3137 0.36524 | 4211.7 -1528.65
-71.2233 -4.30624 | 1.35727 -2.47515 | -4568.6 13584.4
-70.8639 -4.65086 | 1.90726 -2.00473 | 1761 -10674
-70.5025 -5.00189 | -2.72352 -3.06839 | 4770.48 -11476.7
-70.1317 -5.35459 | -1.61001 -2.58128 | -4057.83 5406.61
-69.7416 -5.67952 | -0.390723 -1.1017 | 3424.92 9644.5
-69.3193 -5.95514 | 1.4468 -0.0928919 | -2822.4 4960.09
-68.8769 -6.18801 | -1.23924 -0.350214 | -7501.25 782.636
-68.4281 -6.39697 | -1.70109 -2.14229 | -40.1674 -10863
-67.9727 -6.59692 | 0.632042 -1.56326 | 1912.82 205.401
-67.5027 -6.76327 | 0.740227 -0.413832 | 712.418 3732.62
-67.0171 -6.87425 | -0.699616 0.177836 | -1118.65 6116.71
-66.5218 -6.92393 | -2.04581 2.73389 | 6360.9 -7440.92
-66.0187 -6.93252 | -1.09686 1.50484 | 5794.06 4473.62
-65.5127 -6.89235 | 0.739194 3.1331 | -4949.51 659.575
-65.0141 -6.81251 | -2.43521 0.0197943 | 2065.73 -9889.76
-64.5222 -6.70498 | -1.51984 -3.37304 | -9676.99 11816.4
-64.051 -6.54332 | 2.12422 -0.57761 | -8163.62 -3666.35
-63.5966 -6.35465 | -0.94332 0.408251 | 6850.13 -3748.62
-63.1414 -6.16018 | -1.61259 -0.142168 | 6889.47 -2995.22
