-76.9087 1.76687 | -2.76681 -3.64587 | 12907.3 -2009.1
-76.4215 1.60814 | -0.552748 -1.71369 | -951.84 -2280.25
-75.9524 1.40636 | 1.2571 2.20514 | -13745.7 4658.77
-75.5138 1.16448 | -1.75819 2.79195 | 6541.76 2959.46
-75.0984 0.882541 | -3.19253 0.327516 | -3213.81 -11294.5
-74.7224 0.546699 | -0.996971 -0.20787 | -2192.38 12378.4
-74.3821 0.182767 | -2.73667 -1.45554 | -583.33 -7026.38
-74.0808 -0.216776 | -3.19114 -1.04718 | 2187.47 3379.08
-73.8127 -0.638103 | -1.41608 -0.0924372 | -6659.55 1780.9
-73.5814 -1.07798 | 1.77226 -1.33007 | 2281.15 -7367.98
-73.3674 -1.53258 | 2.14635 -0.255513 | 1752.63 -5013.05
-73.1497 -1.98975 | 1.79671 2.10707 | 11282.6 7237.62
-72.906 -2.43255 | -0.571359 1.39517 | -6224.69 4299.95
-72.6598 -2.86834 | -0.842248 0.624523 | -11146.1 -2039.77
-72.4192 -3.30359 | 1.13445 1.30218 | 7682.64 3831.31
-72.1545 -3.72515 | -0.473234 2.01198 | 2806.88 -3431.66
-71.866 -4.13679 | -2.43821 2.10053 | 6084.88 -11638.8
-71.555 -4.54413 | -0.851536 -0.436477 | 2604.37 56.3747
-71.2232 -4.93698 | 1.57787 -0.344899 | -11144.3 567.78
-70.8767 -5.30935 | -1.32408 0.146619 | 9064.92 10309.4
-70.4926 -5.63827 | -0.660835 3.93078 | -13146.6 4530.3
-70.0914 -5.93147 | -0.297362 5.44212 | 2017.82 -2154.87
-69.6683 -6.19348 | 0.371328 3.40504 | 2074.58 -12.0279
-69.2253 -6.42238 | -0.167782 4.81388 | -5371.49 -2761.61
-68.7698 -6.6195 | -2.16941 1.91562 | 1529.47 4566.11
-68.2969 -6.7723 | -2.30526 2.42602 | 8304.57 -1027.81
-67.8074 -6.88844 | -1.76472 0.699845 | 724.819 -9401.45
-67.3098 -6.97918 | 1.74745 -1.6944 | 532.318 9449.59
-66.8064 -7.02055 | 2.69084 -1.31293 | -4742.68 -1777.69
-66.3039 -7.02503 | 1.38384 2.29552 | 4100.81 -3918.94
-65.8001 -6.99711 | 1.13066 3.11031 | -181.103 3145.08
-65.3011 -6.9251 | -1.9962 4.61554 | -5627.47 168.509
-64.8138 -6.80969 | -1.96286 2.53803 | 710.489 3228.55
-64.3365 -6.65456 | -0.0658954 1.02765 | 9826.28 -3314.25
-63.8637 -6.47443 | -3.20653 0.571999 | -16396.3 1249.5
-63.414 -6.26552 | -0.968644 -1.10068 | -6069.44 -4140.66
-62.9764 -6.04487 | 3.38069 1.59525 | 9183.21 -2254.66
-62.535 -5.82299 | 3.07452 0.116514 | -2350.49 3466.82
-62.0963 -5.59411 | 0.124017 1.2962 | 8527.8 -6623.08
-61.6541 -5.36519 | 2.35363 0.95164 | -1124.55 4269
-61.2256 -5.11096 | 4.56669 1.09203 | -8875.56 7020.25
-60.8219 -4.82261 | 2.53068 -0.442606 | 3544.26 -1490.07
-60.4241 -4.52422 | -1.95537 -0.333565 | 664.829 -6936.57
-60.0243 -4.23161 | -0.572189 -0.312252 | -263.181 4497.15
-59.6236 -3.93694 | -0.192155 0.825481 | 1215.92 7524.01
-59.2151 -3.64557 | 1.06381 -0.843809 | 6755.27 -5797.09
-58.7846 -3.38346 | 0.340937 2.69529 | 794.639 -379.837
-58.3384 -3.14936 | -0.519248 3.29775 | -10567 1857.85
-57.8857 -2.94034 | 0.991768 0.349544 | 4827.02 -356.109
-57.4137 -2.77057 | 1.50161 0.547293 | 12936.4 -3473.58
-56.9194 -2.64913 | -0.0412897 1.95508 | -7967.32 -2498.66
-56.423 -2.5634 | 1.09085 2.05418 | -8423.75 4661.06
-55.9308 -2.49448 | 0.574347 2.28867 | -6401.76 6695.11
-55.4405 -2.44552 | 0.234885 1.69148 | 6420.29 -11768.6
-54.9442 -2.44809 | 0.012186 1.0457 | 2654.6 4689.96
-54.4462 -2.48353 | -3.49774 1.13824 | 4155.71 -605.541
-53.9486 -2.55098 | -2.4078 0.617741 | -2074.11 -1429.96
-53.4578 -2.6476 | 0.452867 5.16835 | -10282.5 7595.38
-52.9787 -2.7628 | -0.435113 2.14936 | 4298.7 -7396.27
-52.5036 -2.90935 | -1.22499 0.74651 | 12253.4 -729.454
-52.0251 -3.07425 | -2.29899 2.42161 | -1421.77 -1750.27
-51.5496 -3.2531 | -0.291587 1.26889 | 8642.57 -3712.06
-51.0708 -3.4379 | 0.727743 -0.0171186 | -8826.86 11284.6
-50.5969 -3.6133 | -1.33675 0.22026 | -2158.38 2672.94
-50.1298 -3.79726 | -2.41057 2.10685 | -1125.56 -10371.4
-49.6761 -4.01392 | -2.58769 2.85478 | -6472.5 1140.83
-49.2345 -4.24813 | -0.965972 2.62851 | 9570.33 -3870.07
-48.7878 -4.4845 | 1.16076 3.1312 | -6429.11 8069.39
-48.3386 -4.70234 | 1.39908 1.73789 | -5304.78 5433.62
-47.8863 -4.90212 | 1.75926 1.29383 | 8076.52 -7813.1
-47.4256 -5.09861 | 1.86716 0.284369 | -2651.68 -1195.72
-46.9604 -5.28575 | -0.754968 -0.812022 | 7795.7 -693.483
-46.4825 -5.45359 | -1.23423 2.99636 | 2086.19 5093.91
-45.9966 -5.59606 | -0.385741 -0.029023 | -14177.7 -3377.98
-45.5156 -5.72757 | 1.69439 -1.47188 | 9099.04 102.809
-45.0254 -5.84067 | 0.0444698 -3.73121 | -840.358 -2144.8
-44.531 -5.93251 | -1.84143 -3.87544 | -6921.78 2008.32
-44.0366 -5.99205 | -0.949521 0.556228 | 2395.62 -425.382
-43.5386 -6.0137 | 2.16238 3.99205 | -2958.69 2237.01
-43.0424 -5.99139 | -0.405121 -0.180911 | 1051.58 3619.97
-42.5487 -5.92965 | -0.726349 -2.7255 | 1795.44 -5375.87
-42.057 -5.84851 | 1.98315 -0.932665 | 1250.29 -2342.59
-41.5693 -5.74685 | 0.923643 1.74211 | -6435.46 634.918
-41.0938 -5.61557 | -0.797973 1.60386 | -5521.87 -3446.07
-40.6322 -5.45462 | -0.112848 0.106593 | 3855.79 6699.45
-40.1803 -5.25772 | 0.578191 -1.33131 | 8485.73 -2115.26
-39.7314 -5.04153 | -0.35742 1.16032 | -5237.84 4282.52
-39.2931 -4.80629 | -0.30897 -3.46974 | 1160.88 -332.442
-38.854 -4.57058 | 0.695798 -5.11569 | 6133.89 -5096.1
-38.4038 -4.34906 | 1.04628 -0.514125 | 8107.15 1936.33
-37.9451 -4.12965 | -2.01948 -0.742912 | 1701.24 9836.17
-37.4885 -3.89645 | -2.95212 -0.189969 | -7326.31 -2106.9
-37.037 -3.66422 | -2.74412 0.958204 | -1445.73 -8147.05
-36.5822 -3.44803 | 1.65722 1.16358 | -676.895 2812.73
-36.1249 -3.23833 | 3.23527 1.48745 | -3463.64 4518.74
-35.6649 -3.0375 | 0.0427542 0.751358 | -457.666 -4202.59
-35.1931 -2.86803 | -1.68209 -0.0750865 | 11119 -3536.55
-34.7025 -2.73755 | 1.46209 -2.5455 | -544.72 -3701.29
-34.2069 -2.63297 | 0.295362 -5.59255 | -13625.8 14805.9
-33.7188 -2.52668 | -3.7255 -6.87978 | 3823.99 -8879.97


-60.5273 -35.2041 | -0.697515 -1.02686 | 4560.24 -1556.1
-60.1896 -35.5769 | -4.82598 0.201248 | -4053.72 4434.29
-59.8675 -35.9573 | -1.70504 -0.54098 | -4567.17 -782
-59.5637 -36.3486 | 0.397664 -3.95493 | -2397.87 5097.89
-59.2697 -36.7416 | -2.25085 -5.97171 | -1527.82 3954.9
-58.9778 -37.1332 | -1.17454 -2.50733 | 2929.01 -9145.81
-58.6801 -37.5283 | -1.17652 -0.473732 | 6339.33 -2812.77
-58.3656 -37.9148 | 0.171899 0.324422 | -6678.74 12198.5
-58.041 -38.2814 | 2.64471 0.673191 | -2992.36 68.4199
-57.7103 -38.6398 | 1.4615 -1.5129 | -783.096 -12405.6
-57.3702 -38.9978 | 0.93925 1.17068 | 8478.2 3621.61
-56.9997 -39.3299 | -0.2998 1.43573 | 6028.67 1324.9
-56.6031 -39.6363 | 0.813682 1.57024 | -4602.03 -9517.18
-56.1975 -39.9334 | -0.236734 0.659565 | -1351.13 4331.45
-55.7765 -40.204 | -1.08139 -3.32115 | -398.992 340.793
-55.3373 -40.443 | -0.18473 -4.55597 | 1679.06 866.361
-54.8783 -40.6449 | 0.890314 -1.32638 | 5969.41 -246.92
