-27.853 -62.1749 | -0.89439 -6.6734 | 1022.58 1599
-27.4047 -62.397 | -0.402956 -3.0186 | -1294.96 -5052.42
-26.9592 -62.6261 | -2.4535 -0.3721 | -887.8 -1846.2
-26.5099 -62.8459 | -1.96517 0.699683 | -694.974 16693.8
-26.0504 -63.0311 | -2.86133 0.760986 | -1592.59 -9304.74
-25.5892 -63.216 | -1.5615 2.75903 | 6574.15 -6191.72
-25.1217 -63.4005 | 0.201631 0.564123 | -457.855 4736.48
-24.6493 -63.5682 | 1.87182 -0.153952 | -8838.09 2091.78
-24.1771 -63.72 | 3.75869 -2.17525 | 6893.14 -10357.3
-23.6949 -63.8588 | 3.70044 2.02151 | 4867.36 4800.65
-23.1997 -63.9525 | 1.61499 2.81641 | -6924.66 8842.3
-22.7023 -63.9897 | 1.53089 1.30994 | -3530.48 -2363.85
-22.2062 -63.9927 | 0.193174 0.614152 | 4093.25 -1468.65
-21.7089 -63.9749 | 0.81565 0.473301 | -5297.97 -7596.13
-21.216 -63.9448 | -0.677528 1.38298 | -4844.85 997.819
-20.7291 -63.8829 | -4.31227 1.56368 | 6914.64 8266.76
-20.2438 -63.777 | -1.70443 -4.16912 | 9450.94 -3734
-19.7586 -63.6458 | -0.695656 -1.83697 | -9742.36 -2613.14
-19.2864 -63.4892 | -0.923135 1.37484 | 5317.93 6259.26
-18.8202 -63.3029 | -2.33749 -0.526633 | 8267.88 -6921.07
-18.3567 -63.1016 | -3.43542 -3.65088 | -7200.74 2651.17
-17.9131 -62.8675 | -0.710973 -2.55001 | -8598.42 8630.34
-17.4926 -62.6003 | 0.774173 -0.48421 | -1059.09 -12576.2
-17.0735 -62.3402 | 1.51874 0.487817 | 10606 -5837.37
-16.6456 -62.0871 | 0.854121 -1.06768 | -3400.2 14612.7
-16.2288 -61.8092 | -1.60218 -1.25628 | 476.889 -3138.39
-15.8163 -61.5256 | -1.08442 2.1975 | -3362.31 3750.99
-15.4041 -61.2438 | 1.72467 -3.50689 | -1710.4 -8489.75
-14.9789 -60.9889 | -3.24892 -0.354655 | 7643.47 -459.866
-14.534 -60.76 | -3.76146 -1.42197 | 6108.11 1856.33
-14.0775 -60.5447 | 0.546855 -3.29103 | -5873.49 -4333.21
-13.6254 -60.3303 | 1.48092 -0.980132 | -7298.84 18210.6
-13.1847 -60.0926 | -2.23881 -3.00472 | 3680.68 -13452.2
-12.733 -59.88 | -5.16859 -3.05628 | 1778.42 -637.835
-12.2699 -59.6902 | -3.28842 -1.3315 | 609.52 11154.5
-11.7978 -59.5162 | -1.69563 0.301764 | 100.405 -13873.8
-11.3131 -59.3915 | -1.8253 2.01863 | -2524.98 2549.67
-10.8241 -59.2977 | -5.53725 0.589942 | -8004.6 6456.68
-10.3368 -59.2267 | -5.16887 -0.00393601 | -5143.64 1958.36
