49.2437 -84.4467 | 2.48843 2.671 | -14372 -16125.7
49.715 -84.3385 | 12.4894 -0.608389 | -421.55 34902.5
50.1677 -84.1486 | 0.944782 4.77083 | 16873.3 -41046.9
50.6238 -83.9652 | -6.31639 3.49829 | -14109.4 16037.3
51.0413 -83.7123 | -0.90591 -0.467904 | 5559.79 10276.3
51.4196 -83.3937 | 2.268 0.19334 | 6725.32 -15146.4
51.7633 -83.0434 | 7.19731 -4.6967 | -18191.7 -3779.41
52.0419 -82.6498 | 3.88727 2.04736 | 1048.36 16993.1
52.2829 -82.2175 | -2.335 -0.611821 | 37343.6 12608.7
52.5435 -81.7727 | 3.0149 -3.78258 | -10207.2 -11935.7
52.7751 -81.3208 | 6.74558 0.47213 | -16281.9 363.03
52.953 -80.8498 | -1.0263 1.78364 | 10497.5 11430.2
53.1082 -80.3633 | -7.82837 -4.25585 | -3291.56 -19261.6
53.239 -79.8811 | -2.82134 -5.37952 | -695.581 11798
53.3445 -79.3885 | 3.18064 3.22043 | -6388.25 -10297.6
53.4301 -78.9008 | -0.707397 8.74621 | 7314.84 -20772.2
53.5207 -78.4256 | -2.54773 4.26588 | -14748.4 34685.8
53.6032 -77.9312 | -6.39922 0.998688 | 28501.1 -25133.1
53.7362 -77.4571 | 2.33405 2.81992 | -24724.5 12583.7
53.8554 -76.9761 | 2.51255 0.327963 | 7655.42 4963.97
53.9992 -76.4991 | 1.5773 -0.880407 | 1113.71 -30137.2
54.1766 -76.0484 | 5.55351 3.91621 | 3154.24 46527.9
54.3719 -75.5766 | -2.57936 -2.08798 | 9779.57 -19760.6
54.5957 -75.1254 | 2.95057 -4.66547 | -23471.4 -7367.63
54.8082 -74.682 | 1.19094 2.09503 | 1021.6 9846.71
55.043 -74.2464 | -0.277487 0.825192 | 10137.4 -16874.9
55.3319 -73.85 | 4.97639 -4.6099 | -2223.62 12397.4
55.6522 -73.4703 | 3.29289 -1.58496 | 7504.04 10362.8
56.0053 -73.1118 | 4.1174 -3.86468 | -18705.7 -28863.7
56.3771 -72.8007 | -4.15972 5.18431 | 6756.53 32654.1
56.7739 -72.4946 | -9.2632 3.80245 | 29188.6 -10946.2
57.2245 -72.2425 | 2.95182 -0.88315 | 1752.28 1021.9
57.6922 -72.0196 | 0.0822897 1.44097 | -23811.7 -1653.71
58.1451 -71.8005 | -2.87499 -1.89388 | -6438.4 17615.4
58.5946 -71.577 | -0.507419 -7.64299 | 8756.46 -25719.3
59.0697 -71.4159 | -1.51309 -2.21461 | 13163.9 -2386.43
59.5618 -71.283 | 3.6515 -1.36268 | -8352.05 27680.5
60.045 -71.1243 | 1.66081 0.786194 | -15767 -18744.3
60.5227 -70.9947 | -4.49672 2.09014 | 3184.69 2133.07
61.0059 -70.8905 | -3.94589 0.149815 | -1199.01 -8604.76
61.4914 -70.8162 | 4.64872 3.87999 | -16533 -630.152
61.9681 -70.7419 | -0.299213 -1.94302 | 26142.2 19769.8
62.458 -70.6406 | 5.52241 -4.30808 | -7102.62 -20034.3
62.9485 -70.5535 | -0.16589 -4.28449 | 19902 9531.43
63.447 -70.4427 | -3.71145 4.6131 | -13829.3 8718.96
63.9288 -70.2987 | 0.865459 1.73193 | -21445.5 -16010.2
64.3941 -70.1534 | 2.11483 2.14951 | 24395.9 8565.31
64.8712 -69.9924 | -1.63629 3.62879 | 8768.92 -1705.98
65.351 -69.8155 | 1.70409 -12.4281 | 1070.61 5198.01
65.8175 -69.6062 | -5.65644 -2.99705 | -27203.5 -12395
66.2491 -69.3679 | 0.18356 -0.640738 | 11528.5 19904.5
66.6661 -69.0873 | 1.02487 -0.81026 | 984.765 -25607.1
67.078 -68.8102 | 4.52852 -0.668618 | 3371.7 15407.6
67.4705 -68.4939 | 8.4355 -10.0899 | 849.014 10568.8
67.8376 -68.1411 | 1.87575 -6.59774 | -1863.68 -12116.3
68.1859 -67.7823 | 0.96559 -2.40294 | -21262 -24996.2
68.5071 -67.4247 | -6.84078 -4.55618 | 20910.4 35293.2
68.8236 -67.0327 | 2.57337 -1.45138 | 4989.97 -16712.1
69.1361 -66.6412 | 4.01451 6.15028 | -3258.26 -393.153
69.4192 -66.2294 | 1.64396 2.67045 | -1834.53 14389.5
