11.1348 4.39172 | -1.14947 0.478695 | -3431.03 -1859
11.6093 4.54115 | -0.0665006 -1.52892 | 6505.11 1962.56
12.0822 4.71176 | -0.124252 -4.65049 | 6026.36 6191.83
12.5486 4.91051 | -0.389107 0.217126 | -14862.4 -6160.23
12.9955 5.1258 | -0.157583 0.291803 | -4368.12 -5556.44
13.43 5.35203 | 0.761821 -0.882992 | 2877.09 -3228.86
13.8555 5.59422 | -0.246311 2.50025 | 2583.18 -286.195
14.2624 5.86761 | -0.17714 -0.282394 | -7883.43 2270.18
14.6323 6.18494 | 1.45919 -1.52771 | 1910.11 4073.95
14.9729 6.53794 | 0.212409 -1.11035 | 10141.2 -5621.77
15.2979 6.90867 | 1.63276 -0.357818 | 165.64 2011.41
15.5889 7.3073 | 2.94287 -0.369319 | -6247.67 -2508.77
15.8303 7.73363 | -0.0394217 -1.04752 | -4148.76 904.371
16.0268 8.18211 | 0.538116 0.675104 | 8751.35 3252
16.205 8.64316 | -1.52706 1.45725 | 4627.15 1644.47
16.366 9.11253 | -6.14156 0.110637 | -5804.36 -5425.43
16.4967 9.58559 | 0.0776467 -0.132644 | -3808.22 -9817.98
16.6031 10.0577 | 0.680882 -0.399349 | 4717.11 8311.37
16.7024 10.5376 | 2.35294 -1.4585 | 3241.53 7676.66
16.7988 11.0254 | -1.47259 -1.61652 | 1848.7 4520.97
16.8901 11.5182 | 3.05614 -2.82951 | -4048.65 -3371.25
16.9699 12.0105 | 3.19452 0.0947472 | -682.934 -3797.64
17.047 12.5005 | -1.56743 0.859746 | 414.984 817.51
17.131 12.9911 | -1.89995 -0.732983 | 4499.18 12895.8
17.2311 13.4885 | 2.20587 -0.96065 | -1543.05 2864.71
17.3456 13.9846 | 1.41764 -1.13262 | -1347.57 -12255.5
17.4809 14.4666 | 3.1858 0.213381 | -2861.89 -2926.51
17.6408 14.9369 | 7.10689 -0.422126 | 2854.23 -2246.97
17.8348 15.3936 | 3.34788 -0.300122 | 2670.47 7216.59
18.0595 15.8422 | 1.64964 -1.71706 | -1198.37 3101.9
18.309 16.2791 | 1.83528 -0.320789 | -186.191 -7821.7
18.5848 16.6941 | 1.4408 -1.04336 | -9985.31 796.373
18.8777 17.0915 | 0.0574578 -2.15072 | 4593.2 -6554.32
19.2065 17.4577 | -1.78074 -1.18118 | 1845.19 5122.4
19.5648 17.8012 | 2.11831 0.243862 | 5144.9 8427.35
19.95 18.1246 | 2.36214 -0.23665 | -3405.61 -3395.14
20.3575 18.4151 | 1.45434 -0.202645 | 261.498 -6800.55
20.7866 18.6674 | 1.44847 -1.66652 | -2101.42 5903.63
21.2279 18.8993 | 0.983781 -1.05766 | 1661.95 2953.47
21.6835 19.1075 | -2.58676 -0.412195 | 6139.75 -4003.49
22.156 19.2812 | -1.24558 -2.29921 | -5094.19 -1876.97
22.6334 19.4298 | 1.4364 -0.536203 | -1144.69 -3326.34
23.1118 19.5668 | 0.630204 0.413447 | -3276.29 7287.65
