10.9962 3.96511 | -0.829485 -2.04369 | -1319.18 -3720.27
11.4754 4.10187 | -1.61004 2.45184 | 1562.78 5913.44
11.9476 4.26891 | -0.917863 -2.52501 | 2641.28 3304.6
12.4124 4.46209 | -1.8969 -2.34766 | -82.4494 -11618.5
12.8687 4.66764 | -1.26283 -0.358372 | -5054.72 5600.15
13.3039 4.91268 | 0.247499 0.223389 | 4056.26 6745.01
13.7202 5.199 | -1.17363 0.379019 | 10069.3 4972.76
14.1237 5.51467 | -2.59962 -0.819551 | -10247.3 -9012.36
14.5034 5.84555 | 0.445856 -2.46179 | -2431.23 -3734
14.8628 6.19191 | 0.998208 0.626164 | 3526.23 -4818.61
15.2018 6.55694 | 1.91979 0.615961 | -1008.6 8314.93
15.5022 6.95838 | 1.93014 -0.324724 | -6771.7 2508.41
15.7578 7.38856 | 1.24475 -2.9083 | 1999.58 -7402.27
15.9893 7.82759 | 0.0908797 -1.96402 | -1900.03 -143.649
16.2038 8.27277 | 0.931298 1.67487 | 1656.87 -7753
16.4137 8.71482 | 1.68587 1.41648 | 1705.16 -2796.4
16.6171 9.15836 | 2.39771 -0.803064 | -6683.05 8151.29
16.8034 9.61306 | -2.16247 1.29328 | 11955.1 -1558.9
16.9956 10.0679 | 2.70556 2.27077 | -5936.28 -909.903
17.1732 10.5273 | 5.08665 0.351584 | -7659.56 4390.83
17.3383 10.9932 | 0.561145 -1.47656 | 11320 5101.53
17.5269 11.4572 | 2.73868 -2.12992 | 12386.1 -504.863
17.7391 11.9151 | 5.83393 -2.08595 | -12721.5 1666.99
17.9322 12.3782 | 2.24998 -1.70078 | -3512.32 -8885.68
18.1089 12.8405 | -0.313275 -0.528374 | -1529.4 1241.4
18.2761 13.3067 | -1.74784 1.44907 | 788.469 6473.32
18.4478 13.7774 | 1.25904 -1.17121 | 14049.6 7130.66
18.6426 14.2486 | 0.489761 -1.94477 | -4844.59 1464.35
18.8362 14.7208 | 0.311253 -1.87001 | -9511.22 -819.385
19.0241 15.1915 | 4.4718 -2.24388 | 2296.63 -7193.4
19.2331 15.6483 | 2.40017 -0.455884 | 6543.25 -2165.94
19.4735 16.0887 | 2.37148 -1.32332 | -3933.11 -3428.45
19.7284 16.517 | 3.91163 -3.67458 | -1954.74 4022.13
19.9904 16.9411 | 2.1613 -1.18658 | -9205 -2975.28
20.2597 17.3546 | 0.895012 -1.99468 | 2928.24 -3472.88
20.5608 17.7443 | 1.73132 -3.65113 | 8730.44 -301.649
20.9001 18.1067 | 1.02513 -2.46308 | -3134.81 7659.45
21.2586 18.4546 | 0.253225 -0.818853 | 1949.4 -635.727
21.6384 18.7807 | 0.626598 1.31805 | 3523.51 -4732.52
22.0358 19.0834 | -0.137106 2.27388 | -12629 3784.5
22.4311 19.3796 | 1.49964 0.512788 | 328.951 -2081.09
22.8366 19.6581 | 1.79366 1.15716 | -1022.56 -7371.54
23.255 19.9115 | 0.218754 3.32145 | 3540.3 7844.6
23.6833 20.1586 | -1.25243 2.32095 | 5875.57 4817.6
24.1222 20.3979 | -3.06951 1.47693 | -3367.95 -1175.48
24.5679 20.6206 | -1.69373 -1.2628 | -276.398 -6177.77
25.0234 20.8197 | 1.01448 -0.177774 | 9001.37 4282.25
25.4893 21.0116 | 2.15968 1.38284 | -569.08 5258.48
25.9552 21.2065 | 1.86105 2.57371 | -7778.31 -5163.19
26.4175 21.3956 | 1.61141 0.463883 | 4037.47 696.385
26.8832 21.5819 | 1.55138 -0.213973 | 5273.07 -5188.63
27.3514 21.7692 | 0.582793 -0.285617 | -1160.45 7447.79
27.8088 21.985 | 0.419765 0.522864 | 63.7723 750.547
28.2513 22.2302 | 3.11147 2.06325 | -4894.72 -996.187
28.6737 22.503 | 3.04974 -0.401705 | 3036.38 -3155.87
29.0796 22.7998 | -2.62177 -0.348333 | -1367.3 1542.41
29.4595 23.1295 | -1.59758 0.210809 | 1399.17 2047.79
29.8088 23.4945 | 0.593076 1.70009 | 2858.55 4474.41
30.1222 23.8951 | -1.98749 0.597406 | -1802.42 -1778.23
30.3909 24.3248 | -3.42531 -1.4239 | -6798.07 -4412.97
30.6073 24.7786 | 0.733988 0.488332 | 6797.22 5757.48
30.7815 25.2555 | 0.10798 2.99079 | 2908.05 2455.51
30.9037 25.751 | -0.689691 2.359 | -12077.4 2496.31
30.9522 26.2593 | -2.58408 1.25626 | 37.8009 -4054.67
30.9499 26.7675 | -0.042453 1.42947 | 7677.02 -1667.49
30.9165 27.2723 | 0.661359 0.742802 | -5445.95 -3612.12
30.8403 27.7691 | -2.56394 -0.749069 | 5594.71 -7564.62
30.7325 28.254 | -2.39853 -2.0664 | -3405.34 4504.11
30.586 28.7322 | 2.67868 0.403972 | -8337.16 3049.52
30.4045 29.2032 | -2.17289 -0.00718037 | 8757.07 6161.88
30.2183 29.6742 | -3.80631 -1.99725 | -322.652 -8116.16
30.0202 30.1345 | 0.900048 -2.672 | -4383.17 -6528.6
29.812 30.5865 | -0.622546 -1.51664 | 7506.8 4208.68
29.619 31.0455 | -2.07477 1.27482 | -2190.07 4208.37
