-49.8027 79.9974 | 5.37177 0.840567 | -11350 -6641.72
-49.5294 80.4049 | -1.24845 -7.34081 | 13275.6 7430.28
-49.2167 80.7963 | -0.86166 -1.57119 | 14212.5 3536.01
-48.8678 81.1669 | 4.37686 -1.14392 | -26215.1 -8230.66
-48.5206 81.5226 | -1.98122 1.52695 | 25177.4 7559.05
-48.1413 81.8673 | -4.20684 -0.63868 | 6723.74 23377.6
-47.7504 82.217 | -8.98294 -3.18189 | -36182.6 -23231.3
-47.3611 82.5279 | -4.37102 -4.42488 | 23221.1 -15408.9
-46.926 82.7771 | -0.0363643 1.3371 | -2047.91 12516.5
-46.478 83.0104 | 6.95862 -1.62789 | -11657 10015.2
-46.0257 83.233 | 2.3663 1.91069 | 29200.3 -8062.72
-45.537 83.4068 | 7.34396 -1.2716 | -10581.9 4443.93
-45.0424 83.5439 | -2.96285 3.77837 | -18328.8 -17046.4
-44.5506 83.6308 | -1.7465 0.336224 | 16766.1 16719.6
-44.0472 83.7079 | 1.4372 -4.87182 | -6770.36 1565.57
-43.5455 83.7549 | -2.70738 5.83269 | -18661.1 -9451.61
-43.0555 83.7428 | 1.813 3.44339 | 5070.21 -262.173
-42.5682 83.6802 | -1.89441 -0.517669 | -2235.13 -3412.37
-42.0883 83.5802 | -0.597399 1.89855 | -3290.47 10389.2
-41.6126 83.4733 | 2.43935 2.99089 | 9704.1 -4784.83
-41.1343 83.3512 | 1.05022 3.43384 | -6659.35 2488.94
-40.6615 83.2205 | -0.560902 -3.69227 | 8988.36 -293.4
-40.187 83.0816 | -0.0191865 -1.16098 | -11620 4614.51
-39.7245 82.9324 | 0.117711 -1.59698 | -8879.78 -9057.75
-39.2723 82.7629 | 4.9708 -2.87153 | 12612.1 -3336.95
-38.8044 82.6064 | 0.601198 1.15016 | 25058.7 5222.13
-38.3078 82.4948 | -4.28259 -0.161086 | -15301.9 9285.31
-37.8106 82.4224 | 0.932553 0.598757 | 13003.8 -18202.6
-37.3044 82.3524 | 0.865258 -0.862747 | -2844.6 7455.45
-36.7983 82.3155 | 3.25456 4.11564 | -25979.8 3468.31
-36.3067 82.315 | 3.49556 2.731 | 20931.8 -12066
-35.8025 82.343 | 3.70515 -1.82877 | 20657.1 25417.5
-35.2917 82.4418 | -0.599075 -3.78627 | -28885.5 -20692.1
-34.8032 82.5637 | -4.98052 -0.294974 | 23823.2 14168.1
-34.3143 82.731 | 0.25658 -5.34496 | -16454.5 -8999.43
-33.849 82.9268 | 3.29098 -3.98132 | -10237.5 -8130.69
-33.409 83.1542 | -0.0389735 0.0581696 | 7852.42 14346.3
-32.9914 83.4321 | -4.54357 -1.15128 | -6278.53 -10664.4
-32.6018 83.7341 | -1.60322 0.978645 | -19082.5 -12804.7
-32.2459 84.0542 | 1.28286 -4.77998 | 15134.7 14321.1
-31.8937 84.3997 | 0.0169991 -2.35955 | 24075.1 13308.7
-31.5309 84.7615 | 4.26548 -1.91507 | -11620.8 -5614.81
-31.1838 85.1297 | -1.31616 2.92291 | -3805.19 -13523.4
-30.8503 85.4973 | 3.10645 1.65511 | -6432.29 3251.98
-30.5395 85.8833 | 0.42213 5.64752 | 10901.9 13218.4
-30.2362 86.2904 | -0.0748756 0.588833 | 2660.29 1946.23
-29.939 86.708 | -1.78127 -6.47698 | 6625.84 8136.81
-29.6456 87.1334 | -0.816435 0.112356 | -16707.8 -28258.3
-29.3713 87.546 | 5.88786 4.66714 | -8564.72 7471.99
-29.1123 87.9679 | -1.44433 -1.52085 | 18544.1 14205.3
-28.831 88.3901 | -5.03081 -2.09395 | -19116 -19647.8
-28.5382 88.7867 | -4.41785 6.71346 | 17629.6 12595.1
-28.202 89.163 | 2.00076 0.152139 | -2177.3 1688.22
-27.8329 89.5092 | -2.4389 1.69983 | 8877.86 -11099.8
-27.4292 89.8114 | -1.80803 -4.07249 | -22915.2 3016.59
-27.0283 90.0955 | 0.655445 -1.76936 | -8829.51 -10122
-26.618 90.347 | -4.56845 0.0806491 | 9715.82 1449.44
-26.187 90.5717 | -6.60698 -2.49692 | -3036.76 -88.298
-25.7482 90.7829 | -3.28807 3.29494 | 12714.7 15674.1
-25.2966 90.9989 | 2.0387 2.31521 | 12899.1 -1611.99
-24.8301 91.1987 | 0.85583 -1.75381 | -30976.6 -841.008
-24.3744 91.3807 | -1.61544 -1.91906 | 24455.5 -9145.84
-23.8954 91.5209 | -7.91485 -2.88066 | -23080.2 4529.12
-23.4255 91.6451 | -1.69554 -4.57478 | -5769.22 471.838
-22.9545 91.7494 | 0.0543279 -3.34975 | 24540.5 5487
-22.4642 91.8257 | 1.43531 1.05195 | -23577.7 -10822.5
-21.9826 91.8577 | 1.31629 -3.07689 | 4278.84 6487.52
-21.4967 91.8715 | 1.04045 -3.60508 | 21930.5 3814.43
-20.9958 91.8693 | -0.679741 -3.66801 | -7320.92 -4745.07
-20.4972 91.8405 | 3.79657 1.55015 | 7622.9 6623.95
