51.3105 -85.0241 | 1.23605 -3.81423 | 18728 2065.63
51.7857 -84.8193 | -1.91102 -4.67342 | -6247.15 6897.15
52.2336 -84.5631 | -1.83021 1.4268 | -2736.42 14450.8
52.6543 -84.261 | 0.521662 3.03377 | -1052.15 -30368.5
53.0659 -83.9652 | 5.94129 -4.90744 | 1194.91 15785.3
53.4557 -83.6324 | 3.68978 1.49021 | 11126.7 -322.141
53.8195 -83.2671 | 2.10752 1.62787 | -31598.5 -7421.66
54.1147 -82.865 | 3.39468 -2.54298 | 20398.7 -2772.79
54.3793 -82.4401 | -6.14404 -1.43815 | -20167 -8662.01
54.5749 -81.9895 | -6.18845 4.18765 | 9264.28 16320.9
54.7287 -81.5102 | -5.15511 1.90811 | -2800.74 10261.3
54.8501 -81.0171 | 4.01085 -2.30973 | 7147.73 -36201.8
54.9662 -80.5462 | 3.62866 -5.58172 | -13188.6 -7644.97
55.0545 -80.0772 | -2.08271 -2.34835 | 16958.3 22593.9
55.1414 -79.5907 | -2.00911 1.50731 | -3498.48 11106.6
55.1982 -79.0905 | -5.4891 5.68337 | -23562.8 -3838.14
55.2167 -78.5887 | -1.56984 3.28694 | 40410.8 1959.23
55.2818 -78.0865 | 0.406662 -0.473544 | -29897.3 11954.7
55.3203 -77.5753 | 3.91364 -1.33756 | 10754.8 -10256.4
55.3787 -77.0698 | 10.5468 -0.536244 | 5653.27 9572.25
55.4607 -76.5599 | 4.64045 0.740607 | -1359.74 17193.9
55.5542 -76.0432 | -1.88398 1.19495 | -12665.8 -34565.3
55.6585 -75.553 | 0.343566 -2.89487 | 338.383 -6182.28
55.805 -75.0791 | 0.649161 4.07756 | 17523.9 31260.7
56.0191 -74.61 | 2.19147 -2.10646 | -4981.97 -34325.7
56.2841 -74.188 | -1.42787 -3.26328 | -5313.67 9278.66
56.5729 -73.7785 | 5.20797 -4.25852 | 4239.46 21927.4
56.8879 -73.3733 | -1.66367 2.17772 | -1541.5 -21900.4
57.2425 -73.0143 | -3.09333 1.51069 | 8343.19 11049.1
57.6336 -72.6855 | 6.4046 -3.43594 | -9616.3 -5740.64
58.0459 -72.3981 | -0.687563 2.11404 | -15436.8 -8672.94
58.4757 -72.1614 | -6.09501 3.04013 | 19545.4 6239.81
58.9393 -71.9741 | 2.77793 -11.0813 | -22885.3 -15247.3
59.4073 -71.8407 | 3.00456 -3.17335 | 20055.1 6849.81
59.8929 -71.7181 | -0.690969 2.79458 | 16300.1 29611.3
60.3886 -71.5747 | 4.04144 -3.18662 | -24563.7 -28155.7
60.8781 -71.4785 | 4.44612 3.83262 | 13519.6 -5122.85
61.3741 -71.4032 | 1.61747 -0.140116 | -25290.5 19076.8
61.8504 -71.2992 | -3.46312 5.80992 | -4508.65 -11080.8
62.3263 -71.2044 | -2.68621 2.06618 | 38337.2 -1589.54
62.8292 -71.1147 | 3.38105 5.40739 | 8342.98 18261
63.3332 -71 | 2.57163 -2.00172 | -55287.8 -16708.3
63.8023 -70.895 | -2.56274 -0.48702 | 17789.4 -5760.1
64.2803 -70.7997 | 1.86701 1.14417 | 12993.6 18136.5
64.7659 -70.684 | 3.84351 -3.80905 | -3839.08 -10061.9
65.2519 -70.5814 | 0.493021 5.24651 | -4000.12 -2749.97
65.738 -70.4871 | 3.57754 2.19244 | 15653.3 5219.89
66.2332 -70.3864 | -7.4777 -1.7979 | -2685.57 -298.869
66.724 -70.2777 | -0.854466 -1.67777 | -21429.5 -5165.64
67.1968 -70.1621 | 5.9873 -0.5019 | -1564 -11798.7
67.6623 -70.0354 | 2.80788 -4.33077 | 10399.2 6936.07
68.1179 -69.8519 | 2.02008 0.76422 | 16685.2 14381.4
68.5498 -69.5902 | 3.87549 -1.80942 | -18901.8 -668.422
68.9261 -69.2662 | 4.53688 -4.19372 | -1216.16 -17018.3
69.2674 -68.9134 | -1.33886 2.94317 | 15655.8 29873.6
69.5847 -68.5128 | -1.96702 1.66188 | 303.039 -17926.4
69.8811 -68.103 | -7.40934 4.44851 | -3709.74 12785.7
70.1465 -67.6676 | 4.34644 -1.56844 | -1568.76 -4843.71
70.3934 -67.2265 | 2.02513 -1.89882 | 3463.65 -18063.5
70.6337 -66.7926 | 1.79841 -0.51689 | -844.541 2908.99
70.846 -66.3413 | 0.120478 5.16562 | -975.7 34732.4
71.0157 -65.8526 | -6.79822 2.85019 | -8150.43 -32372.7
71.1593 -65.3743 | -3.89967 -0.588017 | 18075.2 6675.78
71.3041 -64.8908 | -0.651981 -2.29578 | -13225.7 12649.7
71.4106 -64.3934 | 5.43166 0.507252 | -2084.43 -26750.1
71.4947 -63.9084 | -0.272532 3.68396 | -1989.38 7348.85
71.5688 -63.4188 | 1.32446 -2.9704 | 2246.82 6358.19
71.655 -62.9246 | 1.59629 -0.764723 | 13103.8 16994.5
71.771 -62.4262 | -1.8869 2.39283 | -16495.7 -41036.8
71.8909 -61.9532 | -4.58866 2.0263 | 16834.7 35551.5
72.0328 -61.4635 | 6.2743 -3.48186 | -4725.85 -3830.3
72.1703 -60.972 | 0.402005 2.85746 | -13031.9 4042.16
72.2961 -60.4751 | -3.44243 4.69751 | 17936.5 7149.48
72.4557 -59.9784 | -4.29764 -5.79462 | 4544.61 9559.98
72.6367 -59.4829 | 1.05291 -1.88004 | -19163.6 -14375
72.8184 -59.0053 | 4.35347 -2.0279 | 1012.61 -36656.1
73.0314 -58.568 | 3.03297 -4.27593 | -5541.95 10846.4
73.2635 -58.1371 | 4.76961 -4.81838 | 9859.39 18356.2
73.5299 -57.7112 | -3.24795 0.785868 | -4906.36 -17861.9
73.8296 -57.3175 | -0.804315 -2.84265 | 23532.1 11770.7
74.1625 -56.9364 | 2.95522 2.80293 | -37925.6 -10285.2
74.4649 -56.5554 | 4.15092 2.91128 | -20.1537 -269.847
74.7755 -56.1794 | -1.24962 4.05529 | 40397.5 17329.8
75.134 -55.8132 | -2.09314 5.8153 | -37085.5 2259.99
75.4839 -55.4561 | 0.706811 5.85814 | 15411.4 -10615.6
75.8796 -55.1512 | 3.19846 6.69115 | 1559.77 -18998.5
76.3094 -54.9026 | -5.42879 -0.698926 | 7455.88 36074.3
76.7491 -54.6413 | -1.46466 -8.97808 | -7047.38 -22492.6
77.197 -54.4107 | -2.65497 -4.5286 | 6989.29 19123.9
77.6528 -54.1804 | -0.00839614 -0.412912 | -8450.62 -24606.4
78.1132 -53.9838 | 1.60682 -2.56543 | 3002.12 17347.3
78.573 -53.7736 | -0.889701 -2.35854 | 5248.84 -6491.95
79.0335 -53.5636 | 1.93161 2.40766 | -13819.7 -7907.38
79.4768 -53.3408 | 11.796 5.12076 | -1762.75 22189
79.9032 -53.0783 | -1.37838 -2.15509 | 6156.83 -15334.7
80.3373 -52.8287 | -2.11735 -1.46904 | 5443.02 7695.62
80.7794 -52.5837 | -0.998968 4.7847 | -3072.99 -14801.9
81.2257 -52.3562 | -4.16412 -2.75256 | 8425.79 2027.98
81.6686 -52.1093 | -1.495 4.32648 | -1411.79 23694.6
82.0844 -51.8041 | -1.49201 1.60106 | -9514.6 -17914.2


-32.4051 28.1644 | -3.34104 -1.90475 | 15314.2 -5400.92
-31.907 28.0391 | -0.840907 -2.16798 | -11958.6 10130.3
-31.4269 27.8874 | -1.15049 1.80106 | -5132.03 -6435.29
-30.967 27.6898 | -0.413131 -0.125684 | 4103.09 -5231.2
-30.5209 27.4558 | 0.993245 0.224293 | 1060.78 11089.3
-30.0844 27.209 | -2.44609 -0.809513 | -2735.83 -6151.37
-29.6656 26.9338 | -0.0923745 0.666526 | 866.474 5376.04
-29.2626 26.6394 | -0.976257 1.91285 | -5831.55 -180.883
-28.8831 26.3189 | -3.19753 0.440715 | 5358.24 -7845.58
-28.5184 25.972 | -2.4731 -2.94037 | 5755.06 -361.931
-28.1606 25.6117 | -3.11737 -4.33014 | 3361.97 403.956
-27.8122 25.2395 | -2.78478 -3.27976 | 969.718 -3913.45
-27.4834 24.8485 | -0.307766 0.195016 | -18180.9 3465.85
-27.1873 24.4426 | 1.24812 1.47898 | 12493.9 -2188.4
-26.8855 24.0361 | -1.15963 -0.840368 | -6988.92 9041.65
-26.5817 23.6409 | -2.5268 2.18876 | -6010.31 3231.13
-26.2701 23.2567 | 0.685201 3.53568 | 15924.5 -7808.27
-25.9315 22.8836 | 2.57322 3.1677 | -11795.8 3608.7
-25.5867 22.5244 | 2.39438 1.589 | -4795.55 -616.813
-25.2263 22.1843 | 2.26429 2.11796 | 9967.86 -2216.15
-24.8305 21.8787 | -2.58087 -0.247883 | -8390.56 3724.14
-24.408 21.6197 | -3.46564 -2.54074 | 15658.8 13497.5
-23.9518 21.4145 | 0.487625 -2.68721 | -7074.26 -18568.9
-23.4972 21.2037 | -0.520399 -5.73162 | -9426.8 2795.7
-23.0457 20.998 | -1.59617 -3.5054 | 14691 878.462
-22.5801 20.8059 | -1.12085 0.516068 | -8167.12 -5286.12
-22.1147 20.6198 | -1.29375 0.39356 | 1139.45 720.346
-21.6412 20.4563 | -2.9748 2.92742 | -3573.9 4213.89
-21.1591 20.3298 | -4.30484 1.32699 | 5449.78 -1294.41
-20.6643 20.2409 | 0.80773 2.70091 | 9364.2 5014.16
