-13.5934 21.2383 | -1.71576 -5.56578 | -3132.32 876.539
-13.1112 21.3582 | -2.60012 -2.07678 | -1155.21 587.953
-12.6226 21.4439 | -2.9039 0.252223 | -53.0608 -388.887
-12.1287 21.4837 | -2.47764 1.43961 | -629.566 -1087.63
-11.634 21.4691 | -1.59433 1.68296 | -1058.39 -1117.86
-11.1449 21.3995 | -0.65274 1.72822 | -614.988 1174.72
-10.6655 21.2821 | -0.0138076 1.15069 | -384.191 1108.45
-10.1987 21.1235 | 0.110619 0.0808892 | -153.576 621.046
-9.7459 20.9289 | 0.138539 -0.339823 | 1109.32 1534.6
-9.30679 20.7041 | 0.31783 -0.264057 | 1412.23 -657.815
-8.88241 20.4498 | 0.573359 -0.345248 | 1287.91 -1638.77
-8.47326 20.1686 | 0.461187 -1.28598 | 1055.72 -263.008
-8.07763 19.867 | -0.109209 -2.98087 | -66.0642 -292.402
-7.69334 19.5506 | -0.521521 -4.49133 | -304.26 -602.372
-7.31585 19.2259 | -0.240384 -4.91825 | 914.899 100.313
-6.93782 18.9009 | 0.284196 -4.39012 | 2533.77 1028.11
-6.55322 18.5819 | 0.431097 -3.38541 | 1616.6 -95.2764
-6.16259 18.2682 | -0.145719 -2.409 | -346.47 -1350.19
-5.7692 17.957 | -1.01957 -1.6908 | -668.052 -499.506
-5.37308 17.6496 | -1.27996 -1.14923 | -469.891 1178.19
-4.97222 17.3499 | -0.538557 -0.306049 | -229.859 2212.3
-4.56585 17.0598 | 0.106541 0.123164 | 80.9753 1008.8
-4.15629 16.7749 | -0.0930045 -0.445082 | 629.069 -856.587
-3.74746 16.4877 | -0.468348 -1.03185 | 721.564 -2707.08
-3.34277 16.1916 | -0.665251 -1.49351 | 822.877 -2943.68
-2.94228 15.8863 | -0.485175 -1.41182 | 784.072 -1780.36
-2.54251 15.5773 | -0.492974 -0.96605 | 261.433 -211.94
-2.13856 15.2732 | -1.0615 -0.768021 | -692.168 1450.09
-1.72622 14.9826 | -1.37703 -0.400812 | -860.778 2598.75
-1.303 14.7115 | -1.12725 0.171507 | -803.407 1476.87
-0.869483 14.4601 | -0.907658 0.213775 | -1200.84 -367.147
-0.427926 14.2253 | -0.682697 0.311187 | -2348.66 -1994.08
0.0206577 14.007 | -0.590682 0.432733 | -1930.78 -295.073
0.479405 13.8148 | -0.756453 0.338469 | -366.836 1585.6
0.95162 13.6618 | -1.0132 0.238808 | 666.864 1280.28
1.43643 13.555 | -1.22331 -0.060732 | 727.742 424.076
1.92978 13.494 | -1.23084 -0.171572 | 1092.77 -283.632
2.42766 13.4743 | -1.05209 0.626094 | 1643.28 -589.405
2.92716 13.4905 | -0.902079 1.47017 | 1290.86 -525.398
3.42569 13.5386 | -0.897597 1.67187 | 152.16 -922.251
3.92039 13.6164 | -1.10317 1.69558 | -1273.09 92.3113
4.40798 13.7251 | -1.2602 1.01004 | -1883.84 428.138
4.88593 13.8643 | -1.15608 0.114182 | -2299.31 -333.468
5.35316 14.0295 | -0.790398 -0.691477 | -2531.74 -1033.31
