31.9658 -59.1676 | -0.187796 -5.87909 | -5355.92 1872.31
32.3385 -59.4952 | -2.01045 -4.44279 | 10857.1 -1733.11
32.7354 -59.8027 | 1.97577 -2.2162 | -6870.37 1077.3
33.1426 -60.0923 | 2.46866 -2.19444 | 4653.91 -2516.3
33.5658 -60.3649 | 0.938335 -0.0621762 | 2138.82 -5114.01
34.0041 -60.6194 | 2.31645 -0.0301346 | -487.04 3840.44
34.4591 -60.8409 | 4.37805 1.91044 | 3397.07 178.159
34.931 -61.0271 | 1.6004 3.95794 | -6280.85 1803.69
35.4113 -61.1771 | -0.354943 2.40235 | 814.479 -976.011
35.9015 -61.2912 | 1.49916 2.67693 | 1574.25 189.955
36.3997 -61.3656 | -0.335767 2.51538 | -6143.38 -899.474
36.8994 -61.3973 | -1.55661 0.582968 | 10290.2 4757.12
37.4064 -61.378 | -0.317775 -0.256748 | 1516.92 1264.1
37.9117 -61.318 | -2.09329 -1.37123 | -9539.85 236.841
38.4082 -61.2309 | -2.79072 0.87275 | 13830.6 -5825.76
38.9098 -61.1325 | 0.266325 -0.895067 | -6350.73 3929.82
39.4024 -61.0101 | 1.95676 -2.94799 | -8899.23 -1981.06
39.8835 -60.8689 | 0.235658 -5.70901 | 6087.01 3255.7
40.3626 -60.712 | 0.948354 -5.42251 | -7066.7 -1749.52
40.8353 -60.5519 | 1.65503 -6.34476 | -2931.52 -5513.16
41.3073 -60.4007 | 0.101064 -7.90173 | 3062.79 3852.64
41.7827 -60.2522 | 1.22583 -6.91193 | 1460.01 -22.9369
42.2622 -60.1133 | 1.41481 -5.74193 | -1989.93 172.383
42.7448 -59.9889 | -1.66782 -4.66359 | 3180.87 -188.601
43.2343 -59.8856 | 0.120411 -4.90494 | -364.369 -2190.1
43.7276 -59.8075 | 1.3101 -3.53754 | -6149.8 2425.22
44.2203 -59.7498 | -1.45523 -2.67556 | 4084.21 2608.4
44.7181 -59.7191 | -0.375775 -3.25631 | 5325.33 -2662.16
45.2203 -59.7306 | -0.435748 -3.09793 | -4343.49 225.626
45.7171 -59.7881 | -3.13747 0.276598 | 760.666 44.4166
46.2069 -59.895 | -1.01682 0.317006 | 10096.5 -5144.06
46.6884 -60.0556 | -1.18743 -1.49278 | -13756.7 2638.53
47.1441 -60.2603 | -1.91974 -1.67092 | -1771.06 872.69
47.582 -60.4986 | -0.671115 -2.42845 | 14999.5 -6054.01
48.0158 -60.7629 | -0.526291 -1.68388 | -8829.21 9378.7
48.433 -61.0405 | -0.60603 -1.19695 | -1469.14 1893.19
48.8329 -61.3402 | 0.924316 -0.680076 | 10525 -11566.5
49.2156 -61.6756 | 3.48695 0.0394308 | -7037.25 6040.3
49.5664 -62.0365 | 3.20246 -0.136025 | -5986.46 7363.21
49.8821 -62.4213 | 2.39467 0.0965694 | 10985.6 -15899.7
50.1685 -62.8419 | 0.935145 -0.668691 | -5566.99 4508.49
50.4142 -63.2826 | 1.00175 -1.17291 | -10393.8 11723.8
