-95.926 -18.7797 | 5.05313 -3.37685 | -2171.12 2130.72
-95.707 -18.3303 | 4.95125 -3.04478 | 3422.15 -2613.82
-95.5048 -17.8739 | 3.08735 -1.88251 | -824.918 -923.519
-95.3193 -17.4113 | 0.593427 -0.35315 | -4383.3 3262.59
-95.1476 -16.9424 | -0.129319 0.0272323 | 2946.11 728.303
-94.967 -16.4758 | 2.28913 -1.00185 | 7085.81 -3260.65
-94.7644 -16.0181 | 2.88661 -1.37751 | 675.782 -315.982
-94.5544 -15.5629 | -0.953495 -0.518396 | -3538.33 4122.85
-94.3534 -15.1011 | -5.08816 -0.387556 | 2051.1 3689.43
-94.1603 -14.6326 | -5.158 -2.1144 | 1737.87 -280.072
-93.9772 -14.1596 | -4.16571 -3.12637 | -4259.73 -902.304
-93.8128 -13.6816 | -3.12831 -3.03519 | -1728.83 -669.9
-93.6624 -13.2002 | 0.43 -3.96601 | -65.274 -289.043
-93.516 -12.7178 | 3.02837 -4.83026 | -413.014 789.024
-93.3638 -12.2367 | 3.00791 -4.40396 | 48.8724 116.007
-93.1943 -11.7612 | 2.68057 -3.58854 | -1322.03 1744.99
-92.9958 -11.2961 | 2.11196 -3.15737 | 1771.84 2196.46
-92.7502 -10.8527 | 1.82487 -3.0295 | 5154.09 -3241.41
-92.4438 -10.4493 | 1.66713 -2.2099 | 988.589 -4465.89
-92.0837 -10.0957 | 0.803458 -0.645144 | -1736.86 -2665.51
-91.6845 -9.79068 | 0.969816 -1.18845 | -3523.38 -802.246
-91.26 -9.52766 | 1.48036 -3.05057 | -4805.4 306.458
-90.8182 -9.30204 | 0.673947 -2.3203 | -2669.6 -41.0221
-90.3608 -9.11557 | 0.103985 -1.63227 | 1990.83 594.49
-89.8871 -8.97128 | -0.358778 -1.96554 | 1883.82 1.77012
-89.4011 -8.87056 | -1.15389 -1.00226 | -2640.4 705.136
-88.9101 -8.81096 | -1.65605 0.0959549 | -2159.16 874.161
-88.4175 -8.79134 | -2.46367 -0.505452 | 752.599 947.29
-87.924 -8.81199 | -3.0827 -1.49796 | 5029.65 -2012.55
-87.4297 -8.87442 | -2.69105 -1.85228 | 4927.37 -1328.37
-86.9365 -8.97183 | -2.16843 -0.905251 | 1051.85 1845.44
-86.4479 -9.09441 | -2.14533 0.275523 | 390.065 1712.5
-85.9657 -9.241 | -2.55511 -0.207326 | -43.2704 -1966.09
-85.4934 -9.4178 | -2.33373 -0.420374 | 789.12 -1772.1
-85.0324 -9.62456 | -1.336 0.195995 | -762.791 -2807.99
-84.5831 -9.85672 | -0.501178 0.673522 | -2148.26 -689.573
-84.1413 -10.1006 | 0.323402 1.52782 | -1052.45 2801.79
-83.6986 -10.3382 | -0.200134 1.4416 | -2042.75 2536.02
-83.2501 -10.5584 | -2.05054 -0.852131 | -958.436 3359.29
-82.7929 -10.7552 | -2.27913 -1.59727 | 553.991 2049.39
-82.3283 -10.9328 | -1.10957 0.533282 | -1164.14 -4880.15
-81.8607 -11.1043 | -0.692157 0.198696 | 1507.11 -4538.28
-81.3867 -11.2643 | -0.527792 -0.812683 | 2011.82 3434.59
-80.9023 -11.3925 | -1.14071 -0.735012 | -369.668 3992.26
-80.4103 -11.4832 | -2.38957 -1.66011 | -776.404 1740.93
-79.9152 -11.5465 | -3.18 -2.2772 | -2293.03 -1966.99
-79.4206 -11.6001 | -3.35954 -2.33947 | -493.068 -5209.23
-78.926 -11.6537 | -3.49902 -2.51299 | 1178.1 -4186.03
-78.4291 -11.6964 | -4.12024 -2.02315 | 776.178 5452.18
-77.9297 -11.7017 | -4.06659 -0.772167 | 948.255 5615.13
-77.4303 -11.6659 | -2.63459 -0.801057 | 2391.24 -1741.44
-76.931 -11.6081 | -1.20632 -0.928551 | 1937.45 -2456.9
-76.4319 -11.5401 | 0.198982 0.0280761 | -1847.33 -1236.4
-75.9356 -11.4635 | 1.54267 0.00782424 | -2707.37 -1717.64
-75.4433 -11.3763 | 2.29782 -2.04314 | -205.196 1052.21
-74.9546 -11.2716 | 2.49785 -2.36586 | 190.392 2425.09
-74.4697 -11.147 | 1.8993 0.827973 | 3620.36 -1415.97
-73.9857 -11.0093 | 0.745657 4.22215 | 2480.75 2126.43
-73.5036 -10.8567 | -0.383309 4.67448 | -1169.85 683.179
-73.0256 -10.6932 | -1.049 3.51681 | -1095.78 -1154.27
-72.5502 -10.5254 | -1.08735 2.7049 | -749.47 -644.581
-72.0755 -10.3565 | -1.04623 2.2053 | 2476.13 666.116
-71.5982 -10.1878 | -1.19774 0.846878 | 6234.95 2069
-71.1153 -10.0198 | -1.58162 -1.04305 | 3476.38 -2265.5
-70.6293 -9.85447 | -3.30901 0.0817314 | -2490.42 -2088.27
-70.1488 -9.68205 | -4.87346 2.08328 | -6036.67 3043.38
-69.682 -9.48609 | -5.17469 3.07345 | -2691.29 3118.1
-69.2279 -9.26572 | -4.87634 2.99949 | -239.349 -1761.62
-68.7807 -9.03344 | -4.00678 1.97879 | -2091.76 -412.544
-68.3377 -8.79552 | -2.78914 0.471664 | 2676.87 -911.182
-67.8926 -8.55841 | -1.40069 -1.75924 | 1449.55 2447.85
-67.4447 -8.32192 | -0.0680642 -3.91595 | 815.749 1837.86
-66.9922 -8.09138 | 0.696098 -5.6146 | -351.263 -1011.94
-66.5328 -7.87714 | 0.251552 -4.64546 | -4862.02 -3325.98
-66.0676 -7.6878 | -0.605701 -0.817545 | -2968.29 -4400.45
-65.5959 -7.52644 | -0.543724 1.64196 | 261.199 -943.16
-65.1188 -7.3834 | 0.113661 1.67605 | 1694.06 4852.52
-64.6381 -7.2448 | 0.388108 1.85112 | 1376.97 2119.92
-64.1541 -7.11322 | 0.724002 2.51669 | -3158.43 -2471.69
-63.6688 -6.99788 | 1.23149 2.08197 | -3248.54 -3477.92
-63.1828 -6.90029 | 1.39063 0.0356674 | -790.579 2379.74
-62.696 -6.80917 | 0.936303 -0.607087 | 868.354 3725.46
-62.2073 -6.71993 | 0.753288 -1.33969 | 3097.65 2079.07
-61.7143 -6.63648 | 1.21311 -2.32508 | 4543.2 2235.61
-61.2156 -6.56208 | 1.37304 -0.805933 | 3449.7 -152.77
-60.7129 -6.49893 | 0.576165 1.05366 | -2235.26 656.164
-60.2114 -6.44079 | -0.988181 1.41377 | -6038.4 -670.509
-59.7152 -6.38094 | -2.36721 -0.406321 | -4039.57 -570.587
-59.2241 -6.31114 | -2.50213 -2.30328 | -1153.8 354.62
-58.7372 -6.22315 | -1.353 -3.93627 | 1965.69 -2493.39
-58.2542 -6.11191 | -1.34827 -3.20913 | 479.842 3475.95
-57.7806 -5.96312 | -2.56824 -1.68778 | -886.08 455.768
-57.3205 -5.77748 | -3.04025 -0.960287 | -748.299 -1948.77
-56.8758 -5.5599 | -3.30318 1.06184 | -1344.2 321.898
-56.4489 -5.31116 | -3.62479 2.74966 | 1004.58 -1732.84
-56.0382 -5.03679 | -3.62949 2.70746 | -43.9968 -1010.96
-55.6459 -4.73756 | -3.59351 2.75449 | -437.166 -952.898
-55.2747 -4.41351 | -3.02406 2.50366 | 2067.05 -837.053
-54.9258 -4.06441 | -1.95496 1.46237 | 141.749 3298.43
-54.6053 -3.68671 | -0.788951 0.727963 | 3381.27 2655.16


-71.8156 -32.1814 | -5.144 4.30636 | 264.192 1293.98
-71.4228 -31.87 | -1.03626 0.744979 | 2512.3 -337.634
-71.0192 -31.5704 | 0.829011 -0.517344 | 1780.54 -1305.53
-70.6055 -31.284 | 0.386542 -0.106843 | -2179.78 1542.27
-70.1872 -31.0058 | -0.488849 -0.153426 | -2420.02 104.705
-69.7642 -30.7384 | -1.27919 -0.212781 | -931.374 -3450.81
-69.3333 -30.4888 | -1.43692 -0.763241 | -2526.97 -665.285
-68.8963 -30.2547 | -1.14486 -1.54139 | -1919.41 774.664
-68.4532 -30.0349 | -0.941574 -1.56261 | 617.91 1550
-68.0011 -29.8325 | -0.298138 -2.00267 | 650.529 1586.2
-67.5379 -29.6548 | -0.0749877 -1.33757 | -27.3808 -3072.02
-67.0631 -29.5132 | -0.324397 -0.183975 | -1146.05 -246.225
-66.5803 -29.4059 | -0.544299 -0.738925 | -363.331 3551.57
-66.0915 -29.3287 | -0.795003 -2.25836 | 1629.91 -1253.37
-65.5967 -29.2896 | -1.07209 -2.79145 | 3365.94 -3530.53
-65.0972 -29.2891 | -1.11241 -2.83876 | 4160.68 1529.75
-64.5944 -29.3117 | -1.04436 -3.35557 | 3789.49 2543.3
-64.0889 -29.3481 | -0.915382 -3.04273 | 2388.2 244.324
-63.5824 -29.4 | -0.850511 -1.54999 | 1203.26 -467.754
-63.077 -29.4711 | -1.23637 -0.133612 | -391.323 -3074.03
-62.5754 -29.5648 | -1.93956 1.18578 | -2232.01 96.3809
-62.0788 -29.6735 | -2.29559 1.91062 | -2559.94 3480.54
-61.5868 -29.7894 | -1.90554 1.92681 | -2611.7 -1131.88
-61.1001 -29.9166 | -1.54279 0.235275 | -1887.37 -417.494
-60.6177 -30.0524 | -1.96122 -3.86778 | -1942.47 2937.02
-60.1389 -30.191 | -2.14487 -6.06191 | -3853.68 -1434.5
-59.665 -30.3355 | -1.44814 -4.6739 | -2023.52 240.027
-59.193 -30.4798 | -0.621441 -2.93899 | 77.8898 2621.57
-58.7198 -30.6169 | -0.36724 -2.0708 | -1105.44 -1203.33
-58.246 -30.75 | -0.200832 -0.81992 | -124.174 -2438.99
-57.7701 -30.8775 | 0.249057 1.08349 | 2780.38 828.562
-57.2882 -30.9899 | 0.303008 1.68229 | 2273.43 -313.91
-56.8003 -31.084 | 0.134172 0.570924 | 116.783 -2984.03
-56.3082 -31.1586 | 0.0460547 -0.609398 | 636.647 -675.286
-55.8118 -31.2019 | -0.0751448 -2.28531 | 951.807 3023.79
-55.3131 -31.2008 | -0.119285 -4.2186 | -1648.66 2359.65
-54.8173 -31.1557 | -0.745135 -3.75936 | -636.507 -830.044
-54.3256 -31.0781 | -1.98194 -1.11428 | 4149.84 -2762.33
-53.8351 -30.977 | -2.74107 1.02749 | 4321.88 571.951
-53.3472 -30.8487 | -2.74674 1.72337 | 702.359 3688.76
-52.867 -30.6887 | -2.49145 1.76144 | -1194.48 -368.708
-52.3961 -30.5051 | -2.59028 1.94998 | 141.763 -2987.91
-51.9328 -30.3044 | -2.58708 2.15165 | 1547.7 757.977
-51.4782 -30.0819 | -1.38316 0.845933 | 330.83 2535.46
-51.0361 -29.8335 | 0.126273 -1.07943 | -686.316 460.53
-50.608 -29.5623 | -0.390873 -0.595488 | -1157.97 -1027.06
-50.194 -29.2727 | -1.80771 0.534085 | -2760.05 -1111.04
-49.7945 -28.9677 | -1.64543 -0.33966 | -3571.26 -997.456
-49.4078 -28.6514 | -1.08175 -1.47446 | -1619.03 -834.121
-49.0265 -28.3307 | -1.47841 -1.74548 | 2769.49 -464.814
-48.641 -28.0129 | -1.65632 -2.40649 | 3314.57 433.261
-48.2487 -27.6999 | -1.42859 -3.65737 | -1023.86 2454.99
-47.8534 -27.3893 | -1.89016 -3.96672 | -1274.96 1502.3
-47.4517 -27.0867 | -3.37447 -2.25515 | 861.882 -405.832
-47.0359 -26.8035 | -5.08925 0.845124 | 1703.45 -1247.4
-46.601 -26.5495 | -4.9618 1.97374 | 605.974 -2385.02
-46.1486 -26.3298 | -3.42057 -0.0464991 | -2881.54 -375.213
-45.6848 -26.1414 | -2.39029 -2.7749 | -3185.37 635.426
-45.2127 -25.9829 | -2.23659 -3.49892 | -1964.62 -2354.87
-44.7329 -25.8588 | -1.96948 -2.60848 | -2180.98 -935.14
-44.2484 -25.7651 | -1.09481 -2.47194 | -760.138 2418.04
-43.7605 -25.694 | -0.170282 -2.86192 | 606.374 2456.8
-43.2693 -25.6459 | 0.407989 -1.7441 | 13.6733 841.991
-42.776 -25.6289 | 0.809908 -0.527998 | -503.921 -1314.93
-42.2832 -25.6522 | 0.674776 -0.522073 | 994.636 897.369
