36.9605 -64.226 | -0.105656 -6.73698 | 2443.1 -5802.04
37.098 -64.7132 | -2.62867 -3.64846 | 1091.24 -43.8194
37.2551 -65.1946 | -1.03603 -2.81253 | -1607.05 525.638
37.4285 -65.6694 | -1.3288 -2.08701 | 2619.1 2992.72
37.6206 -66.1349 | -0.357735 -2.27042 | -5993.44 -254.963
37.821 -66.5947 | -0.299191 -4.25993 | -1823.79 2926.15
38.0397 -67.0431 | -3.0837 -3.56585 | 1163.44 780.644
38.2884 -67.4759 | -2.11766 -0.91178 | 4033.39 -8056.58
38.5736 -67.8914 | 1.15662 -0.803831 | -3311.49 8217.97
38.8946 -68.2717 | 1.29487 -0.619122 | -8261.01 9861.27
39.2471 -68.6119 | 0.575325 0.570022 | 12696.6 -12150.1
39.6372 -68.9261 | 0.519089 -0.343612 | -1332.96 -6467.28
40.0526 -69.2106 | -0.666636 -2.43032 | -4995.35 11158.3
40.4929 -69.4427 | -1.67429 -4.09578 | 7866.43 -5187.22
40.9583 -69.6329 | 0.0494352 -5.10878 | -4007.38 916.182
41.4358 -69.7805 | 1.95317 -4.44561 | -9667.52 3355.57
41.9185 -69.8857 | 0.602193 -4.45634 | 12633.3 -3713.67
42.4157 -69.9573 | 0.28231 -1.86669 | 4702.9 -1875.25
42.9204 -69.9964 | 0.473634 -2.021 | -7617.79 6522.86
43.4224 -69.9977 | 0.0675164 -2.51609 | 3966.79 -2637.32
43.9258 -69.9806 | 0.223776 -1.28901 | -2252.28 2817.48
44.4272 -69.9537 | 0.63041 -3.12244 | -2329.21 -10878.5
44.9255 -69.9368 | 0.724727 -0.319454 | -10913.6 7209.25
45.4155 -69.9066 | 1.91279 0.266861 | 303.378 -4347.08
45.9054 -69.8707 | 2.38538 -0.471051 | 17176 -95.5722
46.4036 -69.8196 | -0.427951 -1.47822 | -15496.6 7820.42
46.8896 -69.7399 | 0.736516 0.653939 | -2246.17 -6459.52
47.3723 -69.654 | 1.40561 0.463414 | 11300.4 3557.49
47.8604 -69.5606 | -0.532399 -0.977918 | -9090.92 -809.955
48.3442 -69.4673 | -0.883734 1.04609 | 3612.07 2144.74
48.8326 -69.3815 | -1.46322 -1.5353 | 11085.9 -2709.44
49.3315 -69.317 | 0.150319 -1.16862 | -6878.16 5615.55
49.8296 -69.2712 | 1.21326 -1.04199 | 2023.89 -4183.03
50.3311 -69.265 | 0.887089 -1.47147 | 5816.8 -1411.05
50.8348 -69.3019 | 0.77268 -2.30924 | -6826.1 -1157.19
51.3305 -69.3806 | -0.0279538 -4.02772 | 6385.65 3977.95
51.8234 -69.4937 | -0.238665 -1.65226 | 5725.95 -6093.01
52.3079 -69.6535 | -0.737781 -0.711893 | -9044.42 -2463.39
52.7715 -69.854 | 0.496209 -1.11949 | -4647.2 5433.91
53.2202 -70.0739 | 0.866654 0.471457 | -1863.78 154.333
53.6605 -70.3056 | 2.36261 -0.357327 | 617.659 -2760.72
54.1002 -70.5384 | 3.24923 1.05185 | -2276.86 8378.58
54.5455 -70.7508 | 2.17962 -1.42566 | -165.373 2210.47
54.9973 -70.9479 | 3.29868 -1.68541 | 4979.72 -1665.16
55.4535 -71.1428 | 1.00187 1.11489 | -5031.78 -3296.24
55.9036 -71.3469 | -0.656765 -1.40983 | -2776.76 773.329
56.3501 -71.5547 | 1.72451 -0.144508 | 2727.29 -4350.95
56.8005 -71.7605 | 0.119118 -0.674369 | 772.984 1300.99
57.2607 -71.9459 | 2.01237 -2.80773 | 5956.29 302.502
57.7362 -72.0997 | 2.27252 -2.50273 | -1197.69 533.342
