3.13556 25.2837 | -4.25541 -2.79449 | 121.811 -627.866
3.25852 24.7982 | -3.3554 -2.62721 | 133.759 -517.982
3.395 24.316 | -2.39543 -2.40324 | -258.833 -577.509
3.54925 23.8387 | -1.21852 -2.07401 | -244.801 -499.738
3.7268 23.3692 | 0.0976686 -1.67097 | 368.174 -224.738
3.9343 22.9118 | 1.2702 -1.23379 | 362.062 -156.33
4.1769 22.4719 | 2.08831 -0.835363 | 885.311 348.15
4.45821 22.0554 | 2.391 -0.66883 | 874.959 522.547
4.77814 21.6677 | 2.32873 -0.745273 | 377.025 226.314
5.13327 21.3116 | 2.21771 -0.845879 | 349.892 204.046
5.51923 20.989 | 2.12647 -0.922679 | 34.1952 -194.496
5.93116 20.6998 | 2.15163 -0.891694 | -148.099 -382.283
6.36505 20.4446 | 2.29436 -0.716841 | -107.805 -196.68
6.81803 20.2252 | 2.37547 -0.599492 | -223.123 -186.085
7.28752 20.0445 | 2.41893 -0.477431 | -309.453 -162.521
7.77093 19.9066 | 2.50664 -0.232465 | -155.135 398.935
8.26512 19.8174 | 2.60463 -0.0330835 | -83.9171 782.194
8.76558 19.7812 | 2.716 0.137903 | -31.18 1110.54
9.26688 19.7997 | 2.87274 0.128314 | 150.344 1542.44
9.76393 19.8699 | 3.12916 -0.0759485 | 370.462 878.017
10.2537 19.9828 | 3.37496 -0.027925 | 347.811 195.651
10.7357 20.1273 | 3.42763 0.457402 | 244.449 -592.464
11.2112 20.2925 | 3.24086 1.23979 | 21.091 -1077.22
11.6816 20.4705 | 2.91827 2.12733 | -359.314 -951.487
12.1476 20.6582 | 2.73954 2.61901 | -628.1 -527.499
12.6089 20.855 | 2.86168 2.47769 | -655.568 -5.64245
13.0649 21.0621 | 3.19954 1.96387 | -533.092 266.364
13.5154 21.2797 | 3.73399 1.10828 | -497.747 344.437
13.9608 21.5068 | 4.37477 0.0271677 | -427.365 252.974
14.4025 21.7405 | 4.71764 -0.531199 | -489.623 752.208
14.8425 21.9772 | 4.72244 -0.523656 | -216.632 557.923
15.2847 22.2102 | 4.46025 -0.0737427 | 263.27 -412.503
15.7332 22.4311 | 4.09177 0.609265 | 608.465 -1090.28
16.1905 22.6334 | 3.78832 1.19803 | 263.563 -167.308
16.6566 22.8151 | 3.55779 1.63166 | -168.507 866.032
17.1303 22.976 | 3.548 1.45726 | -37.8286 632.045
17.6117 23.113 | 3.74182 0.493877 | 92.8379 689.469
18.1007 23.2208 | 3.92529 -0.861021 | 167.478 489.392
18.5963 23.2922 | 3.8992 -1.73345 | 249.718 -211.98
19.0963 23.318 | 3.75095 -1.8497 | 230.575 -97.1894
19.5961 23.2909 | 3.61771 -1.39097 | 68.6314 -915.199
20.089 23.2046 | 3.50615 -0.940304 | -248.226 -1866.89
20.5673 23.0573 | 3.25349 -1.18557 | -185.462 -1344.81
21.0256 22.8553 | 2.82269 -1.98025 | 170.051 -263.567
21.4627 22.6097 | 2.36844 -2.85771 | 419.788 425.458
21.8793 22.3303 | 2.14071 -3.3643 | 607.429 949.679
22.2757 22.0231 | 2.12551 -3.53991 | 73.1172 451.452
22.6491 21.6891 | 2.29149 -3.43946 | -1048.48 -724.614
22.995 21.3274 | 2.48817 -3.23172 | -1428.08 -1077.59
23.3118 20.9401 | 2.28216 -3.35165 | -867.45 -637.088
23.6035 20.5335 | 1.74641 -3.70651 | -58.4687 -45.7551
23.8782 20.115 | 0.947292 -4.17558 | 627.094 543.947
24.1448 19.6912 | 0.143454 -4.58865 | 205.263 506.615
24.4094 19.2665 | -0.206378 -4.69762 | -691.11 90.6393
