-72.7308 -29.8761 | -4.09771 2.04118 | -6625.64 -150.3
-72.2376 -29.8984 | -3.52963 -0.296532 | 1118 1521.19
-71.7454 -29.9518 | -2.71485 -2.58389 | 4660.17 -4091.51
-71.2534 -30.0373 | -1.38061 -4.43405 | 3682.01 -836.664
-70.7616 -30.1411 | -0.24354 -5.98365 | 86.2475 2388.08
-70.2705 -30.2479 | -0.162745 -7.32013 | -1162.85 1668.59
-69.7796 -30.3518 | -0.461429 -6.37285 | 613.901 -353.321
-69.2873 -30.4523 | 0.324212 -3.089 | 2810.22 1414.04
-68.7918 -30.5482 | 1.64064 -2.46365 | 2503.31 206.256
-68.2944 -30.6446 | 1.96804 -2.25255 | -423.05 -1165.83
-67.7987 -30.7494 | 0.813044 -2.53341 | -1889.75 -788.129
-67.3065 -30.8655 | -0.134531 -3.86068 | 865.258 -1762.93
-66.8162 -30.9931 | -0.252717 -3.27919 | 2585.78 -2317.4
-66.3251 -31.1265 | 0.232265 -1.48997 | 81.8189 1406.37
-65.8328 -31.2536 | 1.0089 -0.945997 | -4453.43 3020.4
-65.3414 -31.3675 | 1.1619 -1.97599 | -4559.31 -1808.71
-64.8509 -31.4694 | 1.11585 -2.23508 | 450.833 -921.117
-64.3564 -31.55 | 0.842645 -2.78795 | 2132.09 4310.55
-63.8564 -31.5963 | 0.65753 -3.05139 | 297.691 113.862
-63.3543 -31.6134 | 0.72885 -2.21757 | -964.334 -4123.57
-62.8526 -31.6066 | 0.624616 -2.2394 | -863.152 -571.958
-62.3532 -31.5655 | 0.684472 -2.89267 | 829.052 4786.92
-61.8588 -31.4777 | 0.803891 -3.01117 | 1040.63 2331.91
-61.3718 -31.3494 | -0.145683 -2.03174 | 906.482 -3647.68
-60.8922 -31.1948 | -1.43458 -1.33193 | 924.343 2433.11
-60.4209 -31.0126 | -2.42298 -1.30097 | 1870.02 123.7
-59.9571 -30.8088 | -2.96457 -1.40689 | -1072.22 -2535.05
-59.5027 -30.5878 | -1.83262 -2.84128 | -2351.99 1184.87
-59.0602 -30.3456 | -0.39567 -3.6068 | 2992.99 1950.26
-58.6256 -30.0837 | 0.279649 -2.85041 | 5531.85 1570.71
