43.2636 -78.0214 | -1.13304 -6.70393 | -10747 5358.44
43.7033 -78.2398 | 1.78226 -3.84201 | 17044.6 -10456.3
44.1643 -78.4412 | 1.80669 -4.20001 | -10059 5975.9
44.6323 -78.606 | 2.63991 -2.55457 | -9956.2 898.842
45.1058 -78.7297 | 1.97279 -2.71807 | 10473.1 -5696.5
45.5955 -78.8056 | 1.99833 -1.24045 | -523.409 8403.56
46.0912 -78.8121 | 0.94058 0.197718 | -1583.96 -1449.04
46.5849 -78.7654 | 1.54643 0.907915 | 5082.22 -1818.78
47.077 -78.6786 | 3.42302 -0.217773 | 7048.95 -803.533
47.5648 -78.5564 | 1.44988 -3.73677 | -17144.4 -9774.84
48.0298 -78.3995 | 1.97047 -0.674231 | 4.2711 11984.2
48.4748 -78.1854 | 2.52938 0.954995 | 16174.2 4638.46
48.9151 -77.9374 | 2.61669 0.605588 | -93.8068 -6523.55
49.3462 -77.6759 | 2.85536 0.715382 | -9241.13 -546.509
49.7608 -77.3977 | 1.35018 0.829246 | 7967.8 840.41
50.1718 -77.1083 | 1.81089 4.41049 | -1318.36 -6347.97
50.5725 -76.8082 | 0.567782 2.25305 | -863.524 9512.16
50.9534 -76.4788 | -1.6245 0.804774 | -997.873 869.213
51.3181 -76.1312 | 2.15591 0.811379 | -644.199 -5234.63
51.6751 -75.7792 | 3.02869 -0.82796 | 1491.09 1165.42
52.0288 -75.4216 | 1.25315 0.530784 | 4445.95 5437.57
52.3826 -75.0571 | 3.65861 0.675561 | -1419.95 3104.39
52.7358 -74.6919 | 1.75916 0.947356 | -8942.59 -13676.9
53.0936 -74.3442 | -0.0269392 -0.711235 | 13382.1 10313.1
53.471 -74.0041 | 1.06467 3.96731 | -4655.94 -3421.58
53.8559 -73.6787 | 2.2247 3.57249 | -13172.4 -9684.2
54.2429 -73.3714 | 0.606427 -1.22091 | 13804.4 13395.4
54.6486 -73.0725 | 2.5525 -3.40141 | -9325.74 -7701.71
55.0646 -72.8019 | 2.79147 -2.92685 | -8388.31 -6542.08
55.4929 -72.5655 | 2.649 -0.593717 | 10086.2 6497.35
55.9433 -72.3563 | 0.619111 0.211107 | 2068.99 2817.04
56.4107 -72.1783 | -0.302193 0.229252 | 2887.85 -453.768
56.8933 -72.0403 | 1.97277 0.531942 | -2468.6 -6684.79
57.3834 -71.946 | 0.158251 -0.525662 | -4257.34 4155.95
57.8741 -71.874 | -1.31922 -3.58303 | -5421.72 2092.59
58.364 -71.8198 | 2.39667 -1.43713 | 9583.76 -3361.86
58.8619 -71.7885 | 1.95654 -3.04749 | 1025.53 2778.7
59.362 -71.7684 | 0.322622 -5.25815 | -4737.76 2171.55
59.8613 -71.7576 | 0.394525 -3.46477 | 17911.9 -6541.52
60.3717 -71.763 | -0.148817 -3.85771 | -7643.55 8563.94
60.8775 -71.7651 | -2.12374 -1.18839 | -11202.1 -4207.33
61.3757 -71.7768 | -3.36127 1.53786 | 7752.05 -3826.4
61.8772 -71.7942 | -1.68041 -1.58129 | -2118.92 1012.91
62.3765 -71.7981 | -0.402642 3.17152 | -15341.1 5124.68
62.8667 -71.7729 | -4.41756 3.0093 | 22838.3 -3779.53
63.3682 -71.7253 | -2.38927 1.28158 | -8346.09 6363.19
63.8607 -71.6436 | 2.48342 1.96519 | -15987.5 -6237.25
64.3385 -71.5435 | 0.00547362 -0.821629 | 7400.13 1466.92
64.8161 -71.4252 | -3.1546 -0.74312 | 3938.71 2044.96
65.2935 -71.2927 | 0.359754 0.516933 | -45.0022 -2758.16
65.7691 -71.1554 | 2.98636 0.90842 | -9298.86 -2185.06
66.2397 -71.0129 | 0.799282 -1.39014 | 28163.4 7818.19
66.7268 -70.8596 | -0.319538 1.00102 | 646.792 -7421.49
67.2121 -70.6984 | -0.22338 0.916524 | -14892.6 4040.28
67.6758 -70.504 | 0.00811527 0.774264 | 889.984 -2695.05
68.1234 -70.278 | 1.27952 2.74419 | 1795.28 1664.55
68.5515 -70.0137 | 2.70287 3.41461 | 628.383 8399.24
68.9539 -69.7081 | 1.15574 0.435111 | -5641.39 -16915.6
69.3302 -69.3863 | 0.421352 -1.43653 | -4548.24 2124.64
69.6718 -69.032 | 1.33065 1.53227 | 4671.73 -3791.51
69.9806 -68.6484 | -0.676341 0.0489689 | -5416.86 10190.3
70.2421 -68.2256 | -0.535749 2.53502 | 11598.2 5898.35
70.4778 -67.7796 | -1.25893 2.05573 | -5251.46 -12556.3
70.6791 -67.3241 | 0.906396 -0.0104699 | -230.179 15786.3
70.8475 -66.8463 | -3.61135 0.966404 | 956.882 -213.717
70.9983 -66.363 | 0.581072 1.21996 | 4369.21 -18081.9
71.1436 -65.8894 | 3.10915 1.69824 | -9025.56 667.868
71.2653 -65.4109 | 0.537782 -1.12797 | 6090.1 10020.2
71.3801 -64.9218 | -1.86183 0.1514 | 1473.9 11792.3
71.4891 -64.4229 | 1.42402 0.394617 | -2316.13 -9675.83
71.5949 -63.9291 | -1.43352 -0.753563 | 2688.98 -4867.82
71.7046 -63.4395 | -0.999986 -1.98665 | -3109.43 6155.17
