8.45076 20.9095 | 0.553252 -0.695823 | -2660.99 420.605
8.93371 20.7935 | 1.9738 -2.27283 | -2564.48 3061.07
9.42196 20.713 | 1.42051 -2.00207 | 2141.66 -3502.11
9.91525 20.6605 | -0.766115 -3.30273 | -1778.58 -2053.51
10.4097 20.6403 | -2.26158 -1.46564 | -2175.63 802.148
10.9021 20.6632 | -2.58651 1.0692 | 447.301 138.315
11.3898 20.7337 | -2.02073 -0.100397 | -1735.2 868.896
11.8671 20.852 | -1.61135 -0.736379 | 739.095 -2254.06
12.3326 21.0103 | -2.07579 0.573248 | -808.141 -1024.36
12.7833 21.2064 | -2.45447 0.574362 | 3588.02 4461.45
13.2209 21.439 | -2.31968 1.13768 | 5838.37 -2896.11
13.6488 21.6942 | -0.640654 1.15386 | -4340.32 7.46321
14.0586 21.9742 | 1.214 -1.83734 | -1632.49 1786.5
14.4528 22.2755 | -0.10797 -1.81865 | 3481.61 -1056.46
14.8418 22.5872 | -1.58138 0.222056 | 1967.98 7344.35
15.2299 22.9084 | 1.4415 -1.27262 | 8783.46 339.568
15.6311 23.2225 | 3.69986 -1.48065 | 3316.58 -4340.66
16.0422 23.525 | 2.96529 1.10015 | -7491.82 8035.74
16.4504 23.8296 | 1.41372 3.48959 | 1302.22 -6007.97
16.8688 24.1154 | 0.104428 4.40851 | -137.192 -10256.9
17.2968 24.3777 | 0.50115 2.41361 | -9533.19 8150.98
17.7192 24.6427 | 1.20246 0.563641 | 1125.12 -1322.42
18.1481 24.8974 | 1.1195 -0.366304 | 6785.84 -3472.71
18.5905 25.1337 | -0.606434 0.408929 | -3447.01 4921.98
19.0358 25.3634 | -2.03243 0.599101 | -4265 -1155.08
19.4855 25.5784 | 0.254174 -1.68822 | 3561.9 922.827
19.9478 25.7704 | 1.86506 -2.71341 | 2293.55 -610.824
20.423 25.9308 | -0.735594 1.14443 | -4019.16 -5230.89
20.9051 26.0553 | -2.36601 2.303 | -4203.47 3382.24
21.3902 26.1573 | -1.91836 1.13389 | 4023.88 5517.77
21.8833 26.2358 | -0.644608 1.33283 | 7415.09 -3918.4
22.3866 26.2706 | 0.966389 1.99545 | -1272.74 -1990.52
22.8907 26.2598 | 2.27902 1.72543 | -2040.86 -512.353
23.3907 26.2094 | 3.55327 -0.0789989 | -1595.03 -1099.68
23.8851 26.1273 | 2.95627 0.766654 | -1306.49 5924.99
24.3741 26.0267 | 0.336921 1.605 | -940.892 -2905.73
24.8561 25.8989 | -2.2549 -0.286606 | -2342.37 -3730.55
