-16.6917 14.5599 | 1.14837 -1.03632 | 1500 -2723.74
-16.1901 14.5609 | 1.36553 -0.214513 | 128.893 594.054
-15.6887 14.5362 | 0.768958 -0.497228 | 3330.29 3555.73
-15.1867 14.4928 | -0.32568 1.08697 | -2150.05 -591.13
-14.6888 14.4237 | -0.40813 2.14354 | -1406.01 -424.489
-14.1971 14.3248 | -0.586464 0.797817 | 39.7038 -1942.55
-13.7124 14.1947 | -0.373294 1.50006 | 494.752 3615.69
-13.2351 14.0396 | 0.271948 1.5974 | 3751.73 -3175.59
-12.7664 13.8513 | 0.380684 0.629445 | 380.242 -1909.58
-12.3116 13.6296 | 0.896456 0.282058 | -730.311 5168.43
-11.8741 13.3801 | 0.0624975 -1.41746 | -3039.61 -3726.48
-11.4631 13.0913 | -1.37897 -2.35822 | -3623.92 -824.887
-11.0803 12.7693 | -2.30673 -2.24329 | 788.241 4911.68
-10.7183 12.4274 | -2.79132 -1.81233 | -1284.73 1199.8
-10.3786 12.0653 | 0.591459 -0.0851766 | -1855.7 -3938.87
-10.061 11.6822 | 1.60293 -0.1363 | 1541.21 -448.721
-9.75358 11.2896 | -0.175143 -1.0934 | 593.507 2913.43
-9.4473 10.8972 | 0.983993 -0.641987 | 82.6988 -2209.19
-9.13771 10.5056 | 0.44381 -1.56126 | -2834.99 -4961.02
-8.81751 10.1203 | -0.680783 -3.55548 | 4877.61 512.847
-8.46438 9.76152 | 1.3348 -2.11622 | 9507.87 3854.08
-8.07027 9.44256 | 1.46314 -1.20967 | -1667.73 -538.662
-7.65374 9.15303 | 0.451568 -2.39479 | -3531.96 -3079.71
-7.22417 8.88451 | 1.2189 -0.665491 | -125.256 -1479.79
-6.77852 8.64293 | 1.13178 -1.4726 | 2529.14 1835.14
-6.31286 8.44122 | 1.59232 -1.3353 | -505.517 3350.54
-5.83199 8.28596 | 1.75526 0.250277 | -8431.82 4216.05
-5.34641 8.17433 | 1.14108 -3.09551 | -5621.73 -2474.67
-4.85906 8.09343 | 0.423177 -4.21748 | 1375.41 -7093.67
-4.36625 8.04227 | 0.777742 -1.25474 | 5894.28 5848.97
-3.86613 8.0463 | 1.69643 -1.29234 | 6196.1 6054.83
-3.36352 8.10505 | 1.45115 -2.49361 | 3107.67 -4378.81
-2.86274 8.19566 | 0.956148 -4.00796 | 1926.66 -1900
-2.36741 8.31539 | 0.723589 -7.18097 | -5943.3 1907.24
-1.88665 8.47064 | 0.16478 -5.12759 | -6886.73 -2001.8
-1.42302 8.65665 | 0.903915 -2.39776 | 292.73 -2519.13
-0.97226 8.86955 | 2.44114 -3.67027 | 2396.47 3746.09
-0.534495 9.11378 | 2.50962 -3.49996 | 2445.55 2872.25
-0.109011 9.38383 | 2.17515 -2.03587 | -2603.54 -842.872
0.304949 9.66867 | 2.83265 -1.03479 | -3184.83 791.007
0.714221 9.95805 | 3.6305 0.539769 | 5327.89 -155.376
1.13457 10.2359 | 2.78781 1.06091 | 3843.77 -4119.23
1.56918 10.4925 | 0.990196 1.83853 | -4100.4 -257.355
2.00856 10.7351 | -0.153648 1.92232 | -4058.02 -1623.78
2.44994 10.9665 | 0.105504 0.20157 | -2166.62 804.422
2.89428 11.1895 | 1.23161 0.898347 | 3416.85 595.673
3.34669 11.4015 | 1.95273 2.82464 | 2209.74 3073.51
3.80739 11.6025 | 2.01575 3.18566 | 1616.79 3446.03
4.27809 11.7846 | 1.45243 1.31914 | -55.3065 -4458.61
4.7603 11.9293 | 0.730492 -0.208474 | -4848.17 1161.42
5.24972 12.0332 | 1.34282 0.00900517 | 1874 -1801.47
5.74823 12.0854 | 1.99196 -0.983943 | 3795.63 -7909.35
6.2525 12.0824 | 1.06632 -0.138472 | 2306.15 4992.25
6.75794 12.0529 | -0.0611382 1.26169 | -485.68 3960.87
7.26152 12.0053 | -1.33912 0.661462 | -2691.17 -2578.77
7.76028 11.932 | -0.920715 1.20304 | 643.832 -1391.01
