10.7175 21.3096 | 0.851221 -2.34764 | -4297.62 -799.435
11.2118 21.3503 | 0.124724 -0.555285 | 1744.25 1280.57
11.7031 21.4276 | -1.71663 1.43756 | 856.623 -623.126
12.1879 21.539 | -1.54343 -0.377237 | -4321.14 780.398
12.6608 21.6828 | -2.78118 -1.48588 | -4883.9 -745.38
13.1223 21.8487 | -3.65915 -1.73942 | 2575.8 -6078.44
13.5804 22.0239 | -1.62241 -3.28915 | 4622.64 -1411.65
14.0336 22.2187 | 0.0682695 -3.44294 | -1227.77 6180.3
14.4708 22.4511 | 1.45512 -0.68763 | 798.328 3317.97
14.8928 22.7148 | -1.14397 2.90702 | 3614.53 -220.155
15.3082 22.9943 | -3.1098 2.69378 | 6701.09 -177.637
15.7229 23.2823 | -1.31993 1.26318 | -524.785 1653.87
16.1303 23.5815 | -0.347284 -0.696848 | -5654.24 112.774
16.5277 23.8887 | 1.87434 -2.76318 | 598.204 -4173.91
16.925 24.193 | 3.35544 -2.96831 | 2523.83 -1245.26
17.3247 24.4963 | 3.13888 -0.618487 | 1229.67 6839.1
17.7222 24.8073 | 3.27981 1.99672 | -2476.11 -1679.22
18.1183 25.1157 | 2.60667 2.81535 | -9330.68 -6853.13
18.5145 25.4103 | 1.87365 2.88679 | -309.456 863.326
18.9227 25.6878 | 2.93578 0.457916 | 10125.7 2403.07
19.3544 25.941 | 3.14779 -1.3684 | 2217.03 3033.49
19.8033 26.1689 | 1.01884 -0.02947 | -4002.64 -4112.7
20.2633 26.3633 | -0.175609 0.112369 | -6668.27 -6416.42
20.7292 26.526 | 1.15948 -0.0268007 | 1955.49 5369.7
21.2014 26.6777 | 1.524 2.18275 | 6228.08 6700.53
21.6824 26.8211 | 0.686653 2.03639 | 1098.19 -3854.52
22.1717 26.9394 | 1.09317 0.38998 | 2567.6 3240.44
22.6689 27.033 | 0.709206 -1.2987 | 2545.68 -3441.33
23.1726 27.0908 | 0.156038 -3.61993 | -5198.42 544.532
23.6753 27.1153 | -1.22212 -2.27636 | -2889.2 2313.87
24.1756 27.1054 | -2.8417 1.52881 | -3034.83 -3633.24
24.6708 27.0509 | -1.98632 2.5071 | 3500.46 3638.86
