48.9066 -86.5042 | 0.66258 1.09789 | -7335.5 4645.76
49.3519 -86.2874 | -3.03097 1.54967 | 6850.03 -11647.3
49.7991 -86.0736 | -3.01189 -2.23597 | -3648.46 -1688.2
50.2332 -85.8398 | -0.927043 0.85681 | -5030.26 11935.7
50.6428 -85.5633 | 5.01473 0.0862562 | 7434.56 -9994.65
51.0419 -85.2696 | -5.92813 0.965878 | 1044.5 13763.4
51.4204 -84.9414 | -5.89229 -1.5379 | 3674.69 -21223.9
51.7822 -84.6046 | -0.551026 0.950072 | -13758.5 17600.1
52.0963 -84.22 | -1.18977 1.87033 | 22001.5 -5490.73
52.3937 -83.815 | -0.021919 -3.61553 | -23892 5902.01
52.6332 -83.3769 | -4.36043 0.438306 | 22941.4 928.329
52.8635 -82.9264 | -4.44187 3.7849 | -12596.4 -3021.77
53.0551 -82.4633 | -0.979346 -0.34393 | -3525.9 -1437.78
53.2209 -81.9933 | -5.73142 0.715241 | 12021.2 -7058.09
53.385 -81.5244 | -2.83295 0.871526 | -8305.93 6547.83
53.5213 -81.043 | 0.555818 2.03109 | 8155.74 9930.52
53.6415 -80.5485 | -4.30265 0.661037 | -3760.9 1210.42
53.7331 -80.0472 | 5.60803 1.53056 | -715.44 -4222.59
53.7982 -79.5471 | -1.20412 4.53567 | -9569.41 -22210.7
53.8375 -79.0594 | 0.369761 -1.16917 | 12694.4 10173.7
53.8844 -78.5648 | 1.07938 -3.82375 | -7900.71 22952.4
53.9236 -78.0554 | -0.43187 -2.7395 | 6341.35 -23825.9
53.9759 -77.5581 | -2.57932 1.4448 | 2389.37 21233.9
54.0336 -77.0485 | -4.73355 2.59246 | -6683.72 6613.03
54.0855 -76.5358 | -2.27155 1.6174 | 1906.43 -35716.2
54.1458 -76.0458 | 0.854648 -0.387807 | 524.542 17954.8
54.2122 -75.5469 | -0.486037 -2.11522 | -10310.4 9564.55
54.2859 -75.0416 | -4.40924 -1.57729 | 17294.8 1967.01
54.4125 -74.5439 | -2.54849 -1.59181 | -3105.08 -12432.3
54.5739 -74.0669 | -2.66871 -0.539006 | -13342.9 -16535.4
54.7541 -73.6111 | 1.63982 -1.80179 | 15712.4 12241.8
54.9721 -73.1609 | -1.52753 -3.49495 | -7691.4 4777.14
55.1995 -72.7122 | 2.58799 -7.07987 | -473.647 8322.95
55.444 -72.2675 | -2.79171 -2.05378 | -3594.33 -2805.27
