47.8849 -86.4212 | 2.5071 2.70936 | 10650 -2350.57
48.3593 -86.2416 | -2.93558 -1.20826 | -15058.2 3058.91
48.8071 -86.0185 | -0.827236 -0.101933 | 7623.05 14083.6
49.2425 -85.7528 | 0.266625 1.06814 | 22188.7 -3799.86
49.6845 -85.4795 | -5.16816 1.09824 | -27892.7 -14629.1
50.0978 -85.1997 | -1.62509 1.98209 | -7481.31 -5172.51
50.4889 -84.9018 | 2.50952 -0.363161 | 15415.5 12375
50.8685 -84.5708 | 0.885744 2.14604 | -3.60387 11.5959
51.2234 -84.2119 | -5.77095 3.05817 | -7187.11 -3483.67
51.543 -83.8282 | -4.92456 -3.47411 | -1239.48 -4982.64
51.8317 -83.4257 | -2.23738 3.32871 | -4454.69 3026.5
52.0904 -83.0028 | -0.937105 4.33758 | 19588.7 -1101.78
52.3406 -82.5679 | -1.22879 1.00147 | -18185 8062.14
52.5377 -82.1067 | -0.730584 -3.34742 | 4156.49 -7545.03
52.7095 -81.6382 | -1.15663 -1.6394 | 5764.92 7665.34
52.8649 -81.158 | 0.366134 -0.838243 | -3694.91 1710.61
52.997 -80.6711 | -4.43237 1.22528 | 4648.12 -14079.4
53.114 -80.1899 | 2.42686 2.11622 | -13443 -5277.81
53.1962 -79.7064 | 0.664169 1.09211 | 14069.9 15660
53.2758 -79.21 | -2.06842 -0.515343 | -7344.78 9193.89
53.337 -78.7036 | -3.95213 -2.37434 | 3856.42 -356.887
53.3969 -78.1976 | -3.05583 -1.80014 | -4506.23 -14945.7
53.4566 -77.703 | -3.18974 -1.16806 | 2426.37 -8211.64
53.5297 -77.2158 | -4.37464 0.926211 | -2093.26 16015.8
53.6168 -76.7216 | 1.35404 -0.793144 | 1363.09 -4259.41
53.732 -76.2351 | -2.79487 -1.19955 | 4668.09 -6699
53.8817 -75.7617 | 3.02815 -3.92962 | -9700.04 7173.08
54.0494 -75.2927 | 4.43689 -4.13054 | 7114.14 -5617.17
54.2582 -74.843 | 1.1949 2.02796 | -5029.21 -6376.05
54.4964 -74.4139 | 2.21113 1.17329 | -908.446 6150.54
54.7624 -73.9968 | 3.84357 1.61167 | 9710.54 8565.09
55.0642 -73.5944 | 1.14925 0.660404 | -410.553 -7429.38
55.3885 -73.2152 | 1.10939 -5.88186 | -18270.1 -2307.64
55.7138 -72.8481 | -1.16543 3.62528 | 18614.8 670.5
56.0691 -72.4981 | 2.57673 1.65864 | -6535.07 16460.9
56.4313 -72.1481 | 1.76616 -1.4577 | 3513.44 -18227.8
56.8157 -71.8327 | 0.185166 1.35637 | -10215 7019.47
57.2036 -71.5295 | -2.23098 -0.604872 | -7605.16 -15784.6
57.6009 -71.2559 | -2.21888 -4.34205 | 6128.44 17606.9
58.0116 -70.9864 | 0.421036 -6.31126 | 4720.38 -4649.18
58.4427 -70.7465 | 4.38955 -2.61065 | -1555.34 -6141.46
58.8874 -70.5359 | 1.82286 -2.81282 | 4323.98 15664
59.3413 -70.3293 | -2.44033 0.574143 | -171.193 -3388.01
59.8064 -70.1525 | 1.05978 -1.83415 | -6171.36 -6269.02
60.2801 -70.0185 | 0.186598 -3.66011 | 6479.71 -5415.58
60.7652 -69.92 | -1.90446 1.02251 | -6259.85 12465.8
61.2496 -69.823 | 1.37199 -1.15089 | 10523.9 -6757.63
61.7428 -69.7442 | 1.55429 -1.81855 | -5730.73 6653.35
62.2336 -69.6689 | -0.834131 -0.169849 | -5175.84 -8571.69
62.7227 -69.6109 | 2.56794 -2.49563 | 6540.7 5754.24
63.2165 -69.5514 | 1.49651 -4.31311 | 3437.43 -104.364
63.7134 -69.4921 | -1.15115 -1.58748 | 569.712 1494.57
64.2115 -69.4334 | 1.24498 -3.96449 | 4725.37 -13956.5
64.7114 -69.3815 | 1.01797 -0.607605 | -12850 12276.8
65.1962 -69.288 | -2.06146 -1.58077 | -12599.7 -1813.12
65.6641 -69.1607 | 0.292928 -1.38308 | 6409.21 -9306.51
66.1301 -69.0112 | 0.330038 -0.181477 | 27819 23961.9
66.6008 -68.8097 | -1.52777 -3.11384 | -9478.39 -6076.15
67.0565 -68.5915 | -0.552977 -0.930565 | -19820 -23406
67.4951 -68.3796 | 0.596611 1.24452 | 14991.3 9934.56
67.9266 -68.1349 | -4.59629 1.48914 | -2521.29 5548.5
68.3309 -67.844 | -1.80335 -2.64661 | 7030.18 -7629.67
68.7048 -67.5149 | -0.111085 5.0219 | -9033.51 10147.6
69.0179 -67.127 | -0.551566 2.64548 | -2225.29 987.617
69.2779 -66.7016 | -9.16966 8.43571 | 6844.54 -8143.46
69.5056 -66.2621 | -3.99754 4.43495 | -11704.4 -7445.33
69.6901 -65.811 | -3.04716 -0.495033 | 6385.12 4374.56
69.858 -65.3486 | -1.61718 -1.01003 | 10121 9282.38
70.0187 -64.8755 | -3.18355 -1.01987 | -13950.5 -7006.98
70.1524 -64.4002 | 3.98665 -1.59442 | 10681.4 -4873.98
70.2889 -63.9259 | 1.35019 -0.841523 | -3861.04 20838.1
70.4153 -63.4363 | -1.02717 1.99302 | 3087.01 -9754.04
70.5467 -62.9522 | -1.66216 2.71604 | 5002.29 -2626.58
70.6821 -62.4707 | -2.46924 4.36006 | -19139 5924.09
70.7988 -61.9829 | -1.2054 5.05229 | 15233.6 6165.04
70.952 -61.4995 | -4.00623 1.54847 | 6603.57 -14526.3
71.1422 -61.0371 | 1.43163 1.40804 | -13753 2205.91
71.3349 -60.5798 | 3.77557 2.36198 | -5419.8 -1930.54
