-76.4723 -32.1274 | 2.11548 1.5055 | 1405.33 107.793
-76.0301 -32.3623 | 1.38544 -0.622666 | -1923.78 2297.93
-75.6066 -32.6257 | 2.96536 -0.106 | -1357.87 -2443.7
-75.2044 -32.9209 | 3.83161 -0.0731532 | -21.9459 -2764.48
-74.8195 -33.2411 | 2.40948 -0.24768 | 6851.67 44.6975
-74.4408 -33.5735 | 1.02533 -1.36819 | -5376.17 1510.64
-74.074 -33.9141 | 0.253178 -1.93667 | -6236.04 957.463
-73.7128 -34.2559 | 1.01668 -1.49137 | 9037.8 -1535.51
-73.3353 -34.5873 | 0.0149158 -1.52834 | 5370.48 -446.175
-72.9403 -34.9041 | -0.621792 -1.4829 | 821.692 31.236
-72.536 -35.2096 | -0.23216 -0.585989 | -5686.7 2941.71
-72.1323 -35.5074 | -1.94369 -0.478005 | -10883 -647.622
-71.733 -35.8003 | -1.66307 1.21996 | 2875.01 -2420.31
-71.3192 -36.0739 | -1.70151 0.299712 | -721.506 4245.27
-70.883 -36.3054 | -2.05485 -2.67995 | -505.104 6279.57
-70.424 -36.4858 | -0.631582 -1.85475 | 10045 -5932.71
-69.9439 -36.633 | -0.791051 -2.43709 | 6196.03 -3341.26
-69.4504 -36.7538 | 0.377957 -0.37664 | -1259.85 3051.32
-68.9522 -36.8483 | 2.58015 1.72014 | -7906.25 -2379.88
-68.4564 -36.9275 | 2.29235 0.420536 | 643.291 -2052.84
-67.9569 -36.9898 | 1.39452 1.4357 | 12486.3 1870.68
-67.4467 -37.0249 | -0.458195 0.971504 | -2777.57 -5549.94
-66.9363 -37.0326 | -1.1458 2.54422 | -5392.43 6224.6
-66.4314 -36.9892 | -1.33723 4.45624 | 2023.5 5796.9
-65.9329 -36.8939 | -0.0398998 -1.57071 | -2837.45 -7625.55
-65.4448 -36.7666 | 1.5615 -4.08634 | -4138.93 4875.06
-64.972 -36.5987 | 1.28418 -0.888011 | -4468.92 4062.68
-64.5123 -36.4035 | 0.719975 1.11682 | 2544.13 -9615.97
-64.0518 -36.2136 | 1.42589 -0.0374747 | 2704.33 1680.67
-63.5898 -36.0242 | 2.88707 -2.91265 | -6033.32 -2495.62
-63.1323 -35.8366 | 2.96653 -3.63426 | -4115.21 -5643.45
-62.6793 -35.65 | 1.68215 -1.9237 | -1504.21 5200.46
-62.2311 -35.4506 | 0.406565 -0.0969312 | 5048.54 1299.64
-61.7784 -35.2492 | -1.05337 1.08636 | 14576 -2787.53
-61.3106 -35.0591 | -2.28312 2.7513 | 378.133 3669.79
-60.8381 -34.8738 | -2.02053 3.10788 | -2209.94 -1720.24
-60.3623 -34.7004 | -0.687634 1.82049 | 4060.32 -4452.14
-59.8792 -34.5429 | 0.72736 1.89865 | 1242.6 3639.26
-59.3941 -34.3857 | 2.69105 2.45376 | -17.8029 3746.87
-58.9095 -34.2254 | 5.23717 -0.0474896 | -4926.98 -2952.61
-58.4266 -34.0721 | 5.38825 -2.95507 | -461.796 -1876.51
-57.9415 -33.9288 | 2.73257 -1.42664 | 4319.83 4001.24
-57.4512 -33.7916 | -0.0420296 -0.407945 | -1422.85 -511.864
-56.9581 -33.6682 | -1.15091 -1.86187 | -2992.72 -483.128
-56.463 -33.5642 | -1.19653 -3.61885 | -985.13 -938.16
-55.9645 -33.4856 | -0.218565 -1.88376 | -2088 -2975.34
-55.4633 -33.4358 | 0.870572 -1.96151 | 7590.81 4977.96
-54.9546 -33.4079 | 1.76606 -3.28232 | 4619.64 1070.72
-54.442 -33.4139 | 0.0665473 -2.23008 | -4364.07 -7711.22
-53.9365 -33.4712 | -2.78517 -0.0896926 | -12217.8 7078.88
-53.4475 -33.5678 | -2.7317 2.72323 | -7410.78 -1750.55
-52.9767 -33.7139 | -1.20469 1.97563 | 8769.15 -3882.63
-52.5165 -33.906 | -0.370372 -1.43319 | 1828.9 4391.46
-52.0709 -34.131 | 0.585109 -2.26926 | -4680.03 -1370.28
-51.6481 -34.3936 | 1.18914 -1.80341 | 1871.79 -6309.94
-51.2425 -34.6891 | 1.44902 -0.765851 | 7736.59 -518.534
-50.84 -34.9977 | 1.90899 1.36759 | 1550.07 300.004
-50.4399 -35.3108 | 0.0989911 0.532748 | -2823.36 6366.65
-50.0445 -35.6231 | -0.487184 -0.211404 | -2639.16 -2364.38
-49.6575 -35.9447 | 1.11344 0.634597 | 884.111 -4441.47
-49.2751 -36.2747 | 1.23527 0.196184 | -1132.85 3144.19
-48.8906 -36.5997 | 1.62064 2.50453 | 2466.27 3410.24
-48.4982 -36.9144 | 2.51189 4.13214 | -2997.18 -3234.3
-48.1033 -37.2261 | -0.071862 1.94364 | 1799.16 -3167.42
-47.6988 -37.5292 | -1.42406 1.87792 | 3966.26 2614.7
-47.2785 -37.8104 | -0.510788 2.96061 | -11726.8 1087.68
-46.8514 -38.0669 | -1.27401 0.814272 | -534.107 4178.3
-46.4057 -38.2839 | -2.43049 -1.89814 | 5144.08 60.9325
-45.9385 -38.4589 | -2.10816 0.428278 | 2250.41 -867.825
-45.4569 -38.596 | -2.53865 1.72572 | -2230.44 1186.83
-44.9688 -38.6994 | -2.37366 3.81588 | -7524.63 -4936.1
-44.4803 -38.7779 | -3.14579 5.56046 | 5537.82 1886.86
-43.9838 -38.8183 | -2.80763 2.96869 | 5212.21 1873.52
-43.4822 -38.8176 | -2.23549 2.66323 | -5099.49 -5481.65
-42.9849 -38.7824 | -2.92237 3.7012 | -503.074 6224.15
-42.4938 -38.6987 | -1.69599 1.45245 | 127.715 -1474.34
-42.0102 -38.579 | -0.188897 0.00881301 | 600.952 2590.19
-41.5334 -38.4306 | -0.89466 0.00214397 | 3481.3 -6578.86
-41.0598 -38.2706 | -2.59545 -0.275861 | -3948.94 -394.655
-40.5964 -38.0892 | -3.05748 -0.351601 | 1255.75 3664.3
-40.1435 -37.8792 | -2.08117 0.892594 | -129.857 2059.25
-39.7003 -37.6462 | -0.745965 -0.203014 | 4651.67 2261.23
-39.2592 -37.401 | -0.226087 -1.04808 | 3648.29 -772.073
-38.8164 -37.1557 | -0.968565 2.12657 | -6285.86 -6913.55
-38.3774 -36.9167 | -0.760747 1.13563 | -4532.87 -245.268
-37.9447 -36.6749 | -1.24925 -0.0552086 | -1623.5 -2270.44
-37.5171 -36.4283 | -0.657772 -0.879922 | 5062.85 -2063.79
-37.0937 -36.1698 | 0.116945 -1.23731 | 2134.49 13213.4
-36.6838 -35.879 | -1.09046 1.52498 | -2690.2 4342.41
-36.2831 -35.5732 | -1.90477 0.841829 | -660.628 -4055.25
-35.8736 -35.2839 | -1.54557 -1.86873 | -1561.49 -8705.83
-35.4453 -35.0337 | -1.60248 -1.12315 | -5616.72 -4311.02
-35.0022 -34.8217 | -1.07052 0.904368 | 1965.13 6631.06
-34.5438 -34.6368 | 0.00515288 1.09297 | 6108.19 765.007
-34.0668 -34.4878 | 0.754807 0.356856 | 7318.15 -1625.22
-33.573 -34.3778 | 0.516326 -0.0359067 | 4026.27 4322.21
-33.0694 -34.2973 | 1.30196 -2.33603 | -472.39 -5669.41
-32.5623 -34.2517 | 2.37712 -1.96778 | -5897.13 3095.67
-32.0586 -34.225 | 3.00018 2.56297 | -6499.52 4958.12
