-12.3219 11.7499 | 3.74165 -2.34186 | 790.936 -860.007
-11.8527 11.9259 | 2.7026 -1.26597 | 3024.65 2345.92
-11.37 12.0713 | 3.03695 -2.8241 | 4736.31 -1262.3
-10.8759 12.1841 | 2.74493 -3.56278 | -5203.45 -121.356
-10.3796 12.2702 | 1.90941 -2.79145 | -1785.22 2214.93
-9.88129 12.3335 | 1.3855 -0.163642 | 1270.35 -363.649
-9.37951 12.3679 | 1.47093 2.10664 | 403.067 -4827.54
-8.87591 12.3689 | 1.5369 0.0711216 | 3029.51 -879.043
-8.37039 12.3509 | 1.93953 0.537701 | 301.923 7097.69
-7.86437 12.3316 | 2.47577 1.69138 | 2236.34 2339.03
-7.35807 12.3006 | 2.06633 0.95365 | -3695.99 -3061.82
-6.85828 12.2376 | 0.623352 1.39724 | -8303.93 -2448.94
-6.37146 12.1352 | -1.32711 0.162924 | -316.111 2154.29
-5.89486 11.9996 | -2.02084 -0.412253 | -3832.25 -1407.17
-5.43082 11.831 | -1.34632 2.00399 | 4715.79 -3586.45
-4.9719 11.6387 | -0.866659 3.69719 | 1587.22 790.934
-4.51442 11.4413 | -0.4878 2.61655 | -6702.09 6373.16
-4.05873 11.2529 | -0.201416 2.19403 | 1859.14 -6190.69
-3.59782 11.0702 | -1.17584 2.50716 | 7785.59 64.6899
-3.12267 10.9101 | -1.5294 4.57147 | 2780.29 804.389
-2.63602 10.782 | -1.70193 5.98946 | -5946.67 751.971
-2.14547 10.6895 | -2.92233 2.66949 | -3464.57 1984.51
-1.65129 10.6363 | -3.53739 0.156709 | 8244.59 -2049.1
-1.14892 10.6191 | -1.47375 0.209659 | 1952.63 1055.16
-0.644442 10.6405 | 1.55351 -1.01613 | -945.445 3569.28
-0.142941 10.699 | 1.98928 -3.23956 | 1032.21 -1885.5
0.355284 10.7796 | -0.909874 -3.34019 | -5491.7 -3194.83
0.846577 10.8745 | -3.31255 -1.32376 | -1492.11 -1123.59
1.3327 10.9856 | -2.57412 0.985318 | 1319.12 -1029.09
1.81432 11.1175 | 0.653961 1.05839 | 762.347 4002.22
2.28865 11.2788 | 1.29351 0.124429 | 1933.6 1501
2.75621 11.4635 | 0.704763 -0.465696 | -2328.76 -1316.88
3.21716 11.6619 | 1.27061 0.270581 | 6024 1095.39
3.67868 11.8685 | 1.12838 -1.62694 | 2690.07 -3674.26
4.13824 12.0796 | -0.47747 -3.39458 | -8028.12 -5765.98
4.58243 12.3054 | -0.455829 -4.49305 | -8540.62 5912.48
5.00222 12.5657 | 0.605112 -3.79675 | -811.057 511.678
5.40847 12.847 | -0.428562 0.394384 | 10437.9 -2045.66
5.81772 13.134 | -1.26674 1.45379 | 1160.66 6872.48
6.22404 13.4327 | 0.617765 0.0660065 | -1269.06 3019.39
6.63136 13.7321 | -0.176144 2.95621 | 5149 -6008.88
7.05227 14.0118 | 0.250892 1.40952 | -5083.72 -4201.16
7.4783 14.2742 | 2.1067 -1.12203 | -5907.92 733.45
7.90458 14.5277 | 2.90943 -0.524306 | -3131.14 430.949
8.33497 14.7696 | 4.28525 -2.35322 | 351.017 -1909.13
8.77679 14.9905 | 3.67077 -2.1058 | 8399.81 5777.92
9.23579 15.1902 | 3.14824 -3.01247 | -639.072 -3037.48
9.70688 15.3573 | 2.91315 -3.11447 | -5004.03 -5298.86
10.1838 15.4922 | 1.69119 -1.92353 | -227.477 7076.72
10.665 15.613 | 1.19832 -2.95063 | 420.12 1133.63
11.1526 15.7107 | 0.739164 -3.04884 | 4912.81 -384.02
11.6491 15.7736 | -0.406627 1.40127 | -593.873 -1810.76
12.1487 15.7945 | -0.0225961 1.74744 | -3499.01 -1615.45
12.6463 15.7744 | 0.0260944 1.57053 | 3074.74 2793.59
13.1427 15.7219 | 0.356984 0.952753 | -2324.59 1434.49
13.6319 15.635 | 1.4248 0.915485 | -5657.97 -1263.93
14.1079 15.5091 | 0.814981 0.85065 | -4205.57 456.994
14.5707 15.3507 | -0.655594 -0.0820489 | 2763.88 4903.44
15.0268 15.1708 | -1.10541 -2.1504 | 9864.45 -2188.15
15.4772 14.9607 | -0.611263 -1.0948 | -834.364 -4640.54
15.9084 14.7119 | 0.171658 -0.258454 | -7841.72 3838.88
16.3142 14.4346 | 0.451706 -0.0918195 | -6114.97 3630.4
16.7003 14.1383 | 2.39564 1.83759 | 4813.75 -5576.1
17.0838 13.8303 | 2.91421 2.29363 | 9746.16 -2590.82
17.4793 13.5282 | 1.90609 4.20325 | -6001.45 8239.44
17.8808 13.2452 | 0.759733 5.60281 | -9258.56 1728.17
18.2846 12.9761 | -1.19199 2.30574 | 5922.26 -5127.56
18.7036 12.7212 | -1.0103 -0.768393 | 7096.79 -146.469
19.142 12.4897 | 0.0236972 -1.11325 | 317.281 -4178.54
19.5937 12.2786 | -1.18835 -2.24472 | 2133.59 -481.366
20.0601 12.0962 | -1.59062 -0.64353 | 2198.5 1671.16
20.5406 11.9494 | -1.10127 0.96759 | 2593.22 -622.199
21.0323 11.8359 | -1.18063 0.099915 | -221.089 3652.16
21.5302 11.754 | -0.804392 1.20215 | 1045.59 -4352.1
22.0313 11.6877 | -0.301351 1.51331 | -2523.88 -5572.5
22.533 11.6375 | 1.46186 -0.704748 | -511.982 5707.51
23.0362 11.627 | 2.18517 0.589068 | 508.171 685.134
23.538 11.6578 | 0.514903 0.652791 | -4525.95 -3937.49
24.0319 11.7286 | -0.153631 1.47409 | -3614.34 2822.71
24.513 11.8513 | 1.36206 0.235444 | 2501.85 1913.44
24.9813 12.0231 | 3.63424 -1.46765 | 4712.97 1436.34
25.437 12.2351 | 3.88699 -1.27228 | 647.765 810.897
25.8774 12.4787 | 3.05414 0.93437 | -3269.9 -6159.56
26.3006 12.7432 | 1.40231 3.92924 | -4556.31 1638.5
26.7032 13.0336 | -0.950549 3.9768 | 1717.45 -59.678
27.0926 13.3423 | -2.01429 3.05138 | 872.088 -814.367
27.4721 13.6633 | 0.52348 2.1218 | 407.197 -747.103
27.8428 13.9936 | 3.10022 3.03902 | -2215.43 -3180.68
28.203 14.3317 | 3.21823 3.8222 | 1060.14 855.062
28.5527 14.6816 | 2.61284 0.636951 | -1305.73 4992.16
28.8909 15.0459 | 0.166572 -1.22825 | 3205.27 -421.267
29.2289 15.4137 | -2.21619 -1.59743 | 5267.16 3016.46
29.5717 15.7828 | -3.03962 -2.44589 | -4366.62 4415.86
29.915 16.1519 | -2.84695 -2.89216 | 10.404 -7393.88
30.2717 16.5026 | -3.60882 -2.37193 | -3745.85 1792.03
30.6437 16.835 | -3.01054 -0.906283 | 1966.78 1329.05
31.0424 17.1371 | -0.562482 -0.299539 | 6023.84 -4295.43
31.4733 17.3944 | 0.153813 -0.493677 | -4104.33 1500.75
31.9229 17.6134 | -1.56184 0.777123 | -2020.12 -2458.94
32.3877 17.7923 | -2.36442 -0.97539 | 1681.83 2690.37


27.3567 -30.3198 | 0.848493 -2.647 | 2323.77 -3156.41
27.2547 -30.8112 | 0.0726802 -0.721093 | -2552.47 5387.92
27.1733 -31.3032 | -0.647924 -0.741384 | -3374.26 -1737.56
27.1163 -31.7997 | -0.917248 -2.03943 | 1774.83 138.796
27.1003 -32.2991 | -0.702357 -2.68758 | 969.903 -1845.03
27.1338 -32.7989 | -1.77445 -1.72393 | -326.186 -1600.94
27.2209 -33.2931 | -2.10877 -0.44553 | -518.937 2160.61
27.3662 -33.7718 | -2.22286 -0.670085 | 4928.85 239.483
27.5744 -34.2273 | -1.02992 -1.48494 | 2318.14 5590.96
27.8299 -34.6557 | 1.4399 0.417377 | -5639.31 -3403.33
28.1053 -35.0722 | 3.33319 3.3749 | 979.824 -6990.96
28.3974 -35.4824 | 0.960298 1.02991 | 1854.09 2332.9
28.7085 -35.878 | 0.221777 -1.3438 | -329.87 4387.2
29.0322 -36.2589 | 0.366844 -1.25298 | -4433.73 4196.23
29.3556 -36.6337 | -1.07473 -0.955381 | -3186.2 -545.354
29.6712 -37.0136 | -0.773753 0.913822 | 3195.58 -6168.59
29.9817 -37.4036 | -0.656894 0.938311 | 1309.88 -468.917
30.2884 -37.7986 | -0.783391 -0.148758 | -4544.02 -2253.96
30.5909 -38.1955 | 2.08089 1.70347 | 66.0428 5455.66
30.9043 -38.5797 | 3.07973 0.822324 | 3148.79 3487.2
31.2351 -38.948 | 3.04851 -1.31218 | 489.582 -3188.66
31.5751 -39.3098 | 3.852 -1.59929 | -3411.42 -684.726
31.9185 -39.6667 | 2.10727 -1.86757 | -1.47545 1998.18
32.2697 -40.0141 | 1.17406 -1.20013 | 2643.99 1668.67
32.63 -40.3524 | 2.94456 -0.636717 | -1024.91 -306.833
32.991 -40.6897 | 4.4131 -1.04798 | -308.302 -118.784
33.3475 -41.0318 | 5.06888 0.197634 | -1900.76 -1307.37
33.6954 -41.3828 | 2.40446 -0.234721 | 6315.73 681.435
34.0395 -41.7415 | 0.887528 0.301985 | 566.569 -835.022
34.3673 -42.1166 | -0.0998684 -0.502462 | -803.7 237.518
34.6668 -42.5147 | -0.504285 -1.29533 | 817.802 -2795.05
34.9288 -42.941 | 0.30091 -0.506961 | -3383.71 -5396.77
35.1462 -43.395 | -1.70767 -2.51242 | 3927.13 -1638.5
35.3314 -43.866 | 0.843317 -2.35342 | -455.668 -415.383
35.4858 -44.3485 | 3.76211 -2.35746 | -5260.26 737.682
35.6132 -44.8376 | 3.41126 -2.22275 | 7683.89 154.813
35.7364 -45.329 | 4.27819 -0.28389 | -1767.66 -3038.5
