-76.1221 -33.9366 | -3.5262 -0.261518 | 6705.15 -8060.19
-75.6414 -34.1024 | -1.68898 -1.26509 | -17.357 5768.12
-75.1653 -34.2765 | -0.254484 -1.87023 | -1704.92 2897.49
-74.6928 -34.4565 | -0.972699 -1.7584 | 7157.57 -2145.09
-74.2208 -34.6502 | 0.488945 -1.6998 | -3743.21 -1034.08
-73.7596 -34.863 | 2.65853 -2.11508 | -6027.28 4787.25
-73.3126 -35.0936 | 2.55255 -1.81157 | 2469.85 -4986.64
-72.878 -35.3518 | -0.882509 -4.64569 | 141.329 -7608.74
-72.4546 -35.6335 | -2.83007 -4.04403 | 846.078 7089.76
-72.0312 -35.9122 | -2.15619 -3.18967 | -160.351 1822.91
-71.6058 -36.1856 | -1.72833 -3.01098 | -4794.79 -5498.33
-71.1793 -36.4562 | 1.51699 0.339436 | 7071.81 5130.55
-70.7357 -36.703 | 3.52669 0.930697 | 1823.06 -2475.96
-70.2788 -36.929 | 2.11396 0.997036 | -2740.14 -786.801
-69.8121 -37.1299 | 1.91497 3.68923 | -306.698 8495.95
-69.3345 -37.2937 | 0.712229 3.95984 | -5240.53 -524.619
-68.8543 -37.437 | 0.626153 2.11577 | -1806.26 -3776.23
-68.3726 -37.5699 | 2.71702 -0.472374 | -1717.77 3587.87
-67.8884 -37.6861 | 3.10878 -3.24899 | 616.612 -7702.16
-67.4006 -37.7928 | 2.22312 -4.90596 | 623.129 1638.08
-66.9062 -37.8674 | -0.246504 -3.23737 | 2770.92 8204.17
-66.4053 -37.8949 | -2.23569 0.0893059 | 1900.56 -6668.05
-65.9017 -37.894 | -2.1841 1.78101 | 1292.08 3372.57
-65.3986 -37.8576 | -2.68915 1.33945 | -2786.49 4430.13
-64.9008 -37.7913 | -2.16669 1.54703 | -5508.29 -8085.01
-64.4092 -37.7198 | -0.419653 2.48002 | -3413.33 -1835.36
-63.9224 -37.6389 | -1.07719 3.32349 | -306.322 2425.24
-63.4394 -37.5395 | -1.1505 0.724207 | 2586.13 -4643.68
-62.9592 -37.4239 | -1.22419 -1.17932 | -1800.78 1613.56
-62.4889 -37.2766 | 0.765785 -2.55019 | -1567.68 1825.82
-62.0324 -37.0922 | 3.32173 -1.90551 | 1755.75 2538.92
-61.5881 -36.8758 | 1.94523 0.687652 | 1906.7 -1760.99
-61.1527 -36.6409 | 0.651428 1.49057 | -2410.14 -5147.71
-60.7271 -36.394 | 0.695372 0.0852911 | -1394.89 6889.97
-60.3113 -36.1268 | -1.71172 0.202764 | 6781.93 4961.37
-59.891 -35.8547 | -5.34911 -0.0309205 | 5294.43 -5150.56
-59.4575 -35.5993 | -6.72772 0.147526 | -131.98 1973.84
-59.0155 -35.3571 | -3.91639 0.553691 | -351.311 -347.297
-58.5657 -35.1306 | -0.912111 -0.49562 | -1524.58 15.2853
-58.1093 -34.9221 | -0.496905 -1.94313 | -4745.05 -2738.36
-57.648 -34.7371 | 0.314489 -1.9645 | -6287.94 -3790.84
-57.1832 -34.5774 | 1.07621 1.94951 | -282.72 2775.51
-56.7124 -34.4356 | 1.27186 1.946 | 5728.26 2264.43
-56.2309 -34.3142 | -0.180262 -2.7758 | 4601.85 1166.46
-55.7393 -34.2184 | -1.68751 -2.41759 | 3418.38 889.794
-55.2405 -34.1534 | 0.566035 -2.66322 | -7597.14 -2135.5
-54.7439 -34.1257 | 2.36379 -2.61064 | -5799.06 1522.15
-54.251 -34.1345 | 2.5247 -0.215613 | 3971.23 1535.92
