-29.127 87.755 | 0.928288 6.71723 | 1995.7 3030.91
-28.6268 87.7931 | -1.811 4.10843 | -160.947 -11083.9
-28.1314 87.8566 | -0.762541 2.90766 | -14016.1 13542.1
-27.6533 87.9753 | 0.746168 -1.27714 | 11391.1 -3932.78
-27.1757 88.1179 | 2.83256 -0.808515 | 6101.07 -14921.5
-26.701 88.2749 | -0.412652 2.2581 | -8084.15 16372.8
-26.2529 88.4963 | -7.54158 2.67699 | 9561.07 4544.21
-25.8244 88.7649 | -1.23463 -1.73239 | -10518.5 -12275.6
-25.4243 89.0581 | -2.68125 -2.41129 | -3921.68 2461.57
-25.0496 89.3804 | -0.169859 -2.84807 | 7717.67 3370.36
-24.6861 89.7216 | 1.60602 2.07894 | 60.267 -10107.6
-24.3356 90.07 | -1.78894 -1.28774 | -11118.1 5314.85
-24.0121 90.4414 | -1.43242 0.010324 | 14327.3 3751.76
-23.6883 90.8246 | -0.488696 4.03588 | 266.447 10998.7
-23.3695 91.2215 | -0.27407 1.82724 | 5597.93 -4980
-23.0435 91.6133 | -0.901809 4.10537 | -6576.48 865.727
-22.7189 92.0024 | -1.09303 4.30556 | -2209.28 -5535.59
-22.3855 92.3789 | 0.0212507 -0.36266 | 2470.06 4162.88
-22.0349 92.7427 | 2.49522 -4.4655 | 209.449 -2334.42
-21.6622 93.0827 | -2.83693 2.12577 | -4515.56 5050.74
-21.2659 93.3941 | 0.575107 2.96841 | 10904.1 -10320.5
-20.8293 93.6486 | 0.300401 1.57218 | -9899.18 -963.957
-20.3755 93.8602 | -1.87326 3.58999 | 9038.83 5018.21
-19.9019 94.0389 | 1.92458 -3.33007 | -6325.65 -5447.34
-19.4223 94.1828 | 0.939635 -1.43133 | -13234.1 4745.03
-18.9439 94.3063 | -1.00131 4.83449 | 16784.8 -2860.02
-18.4475 94.3971 | 1.77073 -2.12674 | 12069.9 -3205.45
-17.9394 94.4634 | 2.50293 -4.36758 | -15675 10664.1
-17.4412 94.5317 | -0.0639966 -0.877075 | -10839.5 -10153.8
-16.9496 94.5829 | -2.40364 0.280966 | 8295.75 11444.6
-16.452 94.6337 | -1.70848 0.732158 | 7645.16 -7819.93
-15.9463 94.6572 | -1.34564 1.2672 | 3633.77 8705.08
-15.4379 94.6596 | 0.800897 -0.561785 | -11006.7 -4643.53
-14.9399 94.6123 | 1.0987 1.77949 | -2800.24 -9288.87
-14.4543 94.5061 | -2.88897 -2.69033 | -12368.4 6265.48
-13.9831 94.3718 | 1.97498 1.43044 | 18881.6 4504.7
-13.5037 94.2228 | 3.31762 5.08686 | 18976.5 -3680.06
-13.0226 94.0413 | -1.49398 -0.573217 | -26193.6 -18671.4
-12.5759 93.8066 | 0.228238 0.640845 | -573.37 19414.3
-12.1313 93.5842 | -2.52187 -0.0173498 | 4248.72 4043.86
-11.6805 93.3753 | -2.3098 0.594537 | -12023.1 -9741.28
-11.2342 93.1653 | -2.25698 -2.9253 | 18825.2 13712.7
-10.7676 92.9846 | -4.99372 -4.97292 | -5647.3 -7705.86
-10.3058 92.7967 | -2.4594 1.90919 | -14001.1 -3267.19
-9.85611 92.5968 | -2.26961 -0.699546 | 12806 -5172.01
-9.39372 92.4043 | -2.55941 -0.323859 | 5034.41 10286.6
-8.91562 92.2461 | -1.85259 1.65971 | 4444.14 -2909.01
-8.42922 92.1044 | -3.23104 0.111918 | -12009.4 -13403.5
-7.94604 91.9682 | 2.31221 4.38927 | 7964.5 25678.7
-7.45011 91.8857 | 4.72195 1.23786 | -3988.11 -27471.6
-6.95373 91.8021 | 1.38572 -0.196046 | 225.155 17663.8
-6.45081 91.7714 | -0.827043 0.356531 | 14924.3 -5372.04
-5.93708 91.7786 | 0.832898 3.00517 | -1276.37 -4901.66
-5.4275 91.8307 | 2.53564 2.50177 | -17002.1 16963.1
-4.94069 91.9559 | -0.129893 3.80726 | 1515.08 -12826.9
-4.4644 92.1113 | 2.11559 -1.64192 | 6972.12 9162.88
-3.9961 92.305 | 2.64164 -4.79652 | -582.011 -9774.59
-3.53892 92.5171 | -3.3634 -1.31392 | -7295.63 -225.814
-3.10361 92.7622 | -3.45195 0.549922 | 7353.96 375.363
-2.68835 93.0476 | -1.46017 3.19647 | -1259.46 21481.6
-2.30625 93.389 | 1.4104 0.496548 | 3410.55 -15372.8
-1.93962 93.7402 | 0.20283 -1.43996 | -11071.4 -3642.41
-1.59741 94.1058 | -1.66195 3.67503 | 4976.3 8710.96
-1.26408 94.4863 | -2.19554 3.34706 | 5153.29 -9176.9
-0.930415 94.863 | -3.47418 3.06864 | -22460.9 5549.98
-0.614692 95.246 | 0.927491 -0.21138 | 20213 -6199.03
-0.263466 95.6025 | 0.493231 0.254799 | -8153.83 -4906.2
0.105013 95.9353 | -0.0921559 -1.12994 | 4750.34 13010.7
0.493757 96.2571 | 1.02547 0.33911 | 11404.4 -3972.93
0.910613 96.5487 | -2.46035 5.58086 | -19155.9 -5435.09
1.33128 96.8164 | -4.16173 1.63262 | 15610.5 8582.14
1.77498 97.0653 | -3.68017 1.75518 | -2749.27 -2650.98
2.23303 97.286 | -2.78691 -0.94839 | 4009.36 -4237.42
2.70663 97.4776 | -1.49426 -0.433213 | 9976.54 10201.3
3.19221 97.659 | 0.0627914 -3.44782 | -17718.5 7449.54
3.67504 97.8191 | 0.683602 -4.75383 | -2105.33 -25982.7
4.17024 97.9024 | 1.1011 0.0839485 | 6531.71 15761.1
4.67553 97.9474 | -3.8097 -4.42749 | 3256.45 -13492.4
5.18444 97.9318 | 0.0239058 -5.13842 | -8095.03 7807.9
5.68556 97.8849 | 4.18678 -2.48663 | -4091.09 1442.97
6.17869 97.806 | -0.027647 1.50371 | 203.917 288.783
6.66423 97.6905 | 1.93153 -0.388881 | 3851.68 -8293.01
7.14045 97.5333 | 2.16143 -4.42536 | -13497.2 7562.18
7.60087 97.3606 | -0.964171 2.1843 | 5636 4707.03
8.05829 97.1816 | 2.83808 -1.8346 | -11862.9 2244
8.50127 96.9881 | 4.30462 -7.18474 | -518.918 -2171.29
8.9376 96.7766 | -0.622769 -3.54909 | 17007.9 -12524.8
9.38378 96.5521 | -4.79845 -3.94485 | 5812.94 12565.9
9.84141 96.344 | 0.153363 -0.684342 | 6271.11 -13817
10.3007 96.1264 | 2.19904 -1.84603 | -23488.2 6349.63
10.7469 95.9186 | 0.713113 -4.78243 | -6515.21 7961.73
11.1998 95.742 | -2.29912 -0.372637 | 26106.8 -7790.33
11.681 95.5941 | 0.659067 3.02543 | -3011.67 4225.12
12.1718 95.4793 | 1.11598 0.925226 | 2305.3 -16148
12.6683 95.3848 | -4.27868 2.8506 | -15695.4 16096.7
13.1604 95.361 | -3.26146 -2.56801 | -7269.92 -4749.41
13.6473 95.3983 | -0.688697 -2.77109 | 23348.1 6527.2
14.1396 95.5016 | -2.09249 -0.712245 | -11457.4 -1634.09
