8.22294 27.6872 | -1.66823 3.85886 | -3471.22 1535.04
8.6612 27.9238 | -3.24969 1.45927 | 4238.37 -2180.71
9.08824 28.1833 | 0.444971 -1.44988 | -355.929 -680.572
9.49898 28.4669 | -0.990134 2.15784 | -4582.1 4.10131
9.8879 28.7759 | -2.76655 3.2688 | 3266.85 -2404.73
10.2611 29.1055 | -0.726168 0.566819 | 255.517 9773.05
10.6159 29.4629 | -0.229326 1.91414 | 8197.69 1566.27
10.9654 29.8322 | 3.15253 -1.33881 | -1445.75 -6149.63
11.305 30.2056 | 4.20901 -4.97114 | -7044.3 -2302.28
11.6259 30.5887 | 2.48055 -1.55694 | 369.108 31.5958
11.9339 30.9811 | 2.50912 1.45492 | -2039.69 726.706
12.2314 31.3794 | 1.65647 1.92708 | -3157.13 -8612.14
12.5256 31.7719 | 0.940765 1.41032 | -4681.43 -790.065
12.8209 32.1608 | -0.0661227 0.671129 | 8807.13 4897.34
13.1343 32.5439 | -2.19797 2.25117 | 6242.34 4765.76
13.4637 32.9215 | -0.172333 2.10386 | -5575.17 243.387
13.7965 33.2925 | 2.20642 1.00837 | -6271.7 -8021.02
14.1355 33.6474 | 0.587955 2.20696 | -925.544 -1412.81
14.4871 33.9869 | -2.16482 2.25239 | -720.517 4514.55
14.8536 34.3123 | -2.39407 3.42675 | 1256.3 -590.437
15.2428 34.6116 | 0.672015 3.93184 | 1194.65 -395.055
15.6563 34.8784 | 2.99171 0.534381 | 3252.97 3731.04
16.093 35.1135 | 2.53567 0.181899 | 3330.59 118.881
16.55 35.312 | 0.684247 0.668803 | -3035.1 -2657.42
17.0183 35.4746 | -0.129754 -0.899148 | -4702.7 939.316
17.4915 35.611 | -0.539789 -4.8534 | -310.275 4749.99
17.9708 35.7253 | -1.97699 -2.23784 | 1036.42 -123.267
18.4577 35.8045 | -0.513423 2.84676 | 651.937 -5120.8
18.95 35.8386 | -0.138833 2.13842 | -321.173 2658.6
19.4436 35.8419 | 0.341423 0.183444 | 562.446 5020.43
19.9374 35.8201 | 1.48101 2.02385 | 4194.54 2026.45
20.4311 35.7608 | 0.150534 2.68452 | 2498.96 -4625.25
20.9169 35.6443 | -0.383267 2.67305 | -1450.12 -5105.81
21.3861 35.4701 | -0.516554 6.1951 | 2945.03 433.626
21.8405 35.2573 | 0.257109 4.08649 | -7419.65 -405.015
22.2777 35.021 | 2.14493 0.0452278 | -5301.09 6464.32
22.7091 34.7868 | 2.25645 0.371332 | 3678.06 6523.39
23.1475 34.565 | 1.63463 -0.879723 | 5258.03 -8711.82
23.5918 34.3384 | -0.330728 0.161832 | 10624.7 -4479.77
24.0461 34.1113 | -1.71929 2.16693 | -182.03 796.131
24.5044 33.89 | -0.552118 1.90485 | -1742.75 684.395
24.9651 33.6766 | -0.340538 1.63707 | 2184.32 1368.84
25.43 33.4724 | 0.740969 0.527027 | -7049.76 1141.8
25.8918 33.2736 | -0.587865 -1.39093 | -3443.59 -2479.46
26.3537 33.0796 | -2.22897 -1.33291 | 4532.68 2615.26
26.8255 32.9026 | -0.0642835 -0.739102 | 8198.13 1319.83
27.3091 32.7408 | 1.28212 0.220936 | 4535.97 -8813.76
27.7979 32.5793 | 2.41227 1.67662 | -8311.84 0.103508
28.2857 32.4314 | 1.1779 1.10815 | -2620.49 6521.88
28.778 32.317 | -1.96684 0.739962 | -3921.44 -2318.58
29.2737 32.2363 | -0.863213 0.148597 | -1196.6 9203.68
29.7731 32.2019 | 0.404272 2.3508 | 4904.72 -3913.04
30.2763 32.1903 | 0.994616 2.18633 | -3906.33 -6394.32
30.7768 32.1926 | 1.23471 2.61856 | -6106.05 9818.39
31.272 32.2247 | -1.30658 3.14152 | 2846.44 -6418.35
31.7676 32.2621 | -2.05152 3.20345 | -973.183 -4172.65
32.2619 32.3057 | -1.97056 2.70363 | -594.456 5277.08
32.7533 32.3721 | -1.40939 1.43899 | -2280.2 -2828.34
33.2402 32.455 | -1.317 -1.55408 | 816.258 -609.555
33.7231 32.5577 | -2.37301 -4.23372 | -3481.62 508.525
34.1983 32.6837 | -2.16033 -2.87366 | -199.948 1391.73
34.6679 32.8313 | -1.81957 -2.80695 | 8315.02 -392.025
35.1392 32.9925 | -3.20676 -1.46712 | 2744.65 1839.6
35.6085 33.1675 | -2.49463 -0.220393 | -3997.94 1745.61
36.0719 33.3526 | -1.42179 -0.740749 | -1376.16 -2042.83
36.5351 33.5348 | -1.20508 -1.57551 | 1933.08 1613.55
37.0041 33.707 | -2.92544 -0.898351 | 5021.09 -281.771
37.4837 33.8584 | -2.50738 -3.204 | 367.908 -3225.13
37.9712 33.9835 | -0.137483 -2.35062 | -2124.56 5830.88
38.4631 34.0895 | -0.556948 0.502809 | 3524.26 603.907
38.9631 34.1601 | -0.0717922 -0.324704 | -696.367 -10183.5
39.4665 34.1766 | 2.89238 1.77319 | -5205.36 5279.45
39.9658 34.16 | 3.75514 1.84065 | -5269.44 1465.71
40.4584 34.1105 | 2.80176 -2.96653 | -1472.98 -5001.83
40.9451 34.0251 | -0.552608 -5.21548 | 2844.27 3218.55
41.4297 33.923 | -2.62472 -2.90254 | -16.8636 3470.58
41.9116 33.8103 | -1.96428 -0.256637 | -422.873 2337.04
42.3887 33.6809 | -1.33344 -0.505732 | -186.034 -2704.81
42.8579 33.5213 | -1.45441 -4.16991 | 6147.29 -4027.4
43.3202 33.3293 | -0.465876 -1.19792 | 1114.45 313.548
43.7721 33.1126 | 0.942919 3.29809 | -5270.1 7243.75
44.2085 32.8778 | -0.690614 0.539264 | -5570.82 -3622.58
44.6253 32.6137 | -0.570141 1.25589 | 5830.22 -4594.82
45.0347 32.329 | 2.35466 3.2095 | 7916.62 3246.07
45.4449 32.0388 | 1.54791 -0.381035 | -3693.1 292.242
45.8453 31.7371 | -0.681587 -0.77057 | 399.923 -3982.04
46.2363 31.4199 | -1.56388 0.271004 | 4600.76 -703.056
46.6231 31.0939 | -1.50633 0.835781 | -5396.07 -327.915
47.0006 30.7616 | 2.12642 2.55884 | -3012.16 5313.35
47.3761 30.4351 | 2.05098 0.877563 | -4457.07 5132.73
47.7529 30.1185 | 0.331545 -1.42925 | -1409.7 -569.006
48.1352 29.8096 | 0.334067 -2.21634 | 3494.16 -5109.15
48.5304 29.5098 | -1.29956 -3.53301 | 2392.38 -5274.33
48.9452 29.2293 | -1.4644 -2.65093 | 8701.03 1746.31
49.3901 28.9891 | -2.19784 -4.21717 | 433.738 2692.77
49.8566 28.7946 | -0.407685 -1.99627 | -7148.88 -2236.35
50.3338 28.6418 | 2.59588 1.79327 | -1534.41 6519.09
50.8219 28.5422 | 3.17769 3.38608 | -588.914 -408.648
51.3165 28.4832 | 1.6692 3.18317 | 2805.45 -5339.29
51.8159 28.4527 | 0.347772 2.06793 | -795.761 1466.85


-44.5338 -89.422 | 2.22168 -2.62302 | 7736.25 3481.38
-44.0282 -89.4469 | 4.5546 -2.63549 | -5476.48 -10338.8
-43.5272 -89.4559 | -1.34561 -2.94074 | -15986.9 6899.04
