48.5662 -84.9251 | 3.31327 -0.707148 | 17436 -3010.69
49.0771 -84.8612 | -0.529209 2.87147 | -16139.8 14661.4
49.5719 -84.7504 | 3.34536 -1.81854 | 17840.6 -18645.4
50.071 -84.6304 | 3.3767 2.87753 | -17930.2 19904.4
50.5469 -84.4591 | 4.4544 -5.5981 | -1159.44 -23250.4
51.0142 -84.2798 | 6.33046 -0.0586488 | 8424.64 27378.5
51.4721 -84.0493 | 4.7291 4.15498 | 10186.5 -10310.6
51.93 -83.812 | 4.25536 0.346363 | -18491.6 -6837.77
52.3704 -83.5655 | -1.4068 0.62095 | 21576.4 -5294.6
52.8093 -83.3006 | -2.54606 -0.179041 | -20552.9 24050.8
53.1999 -82.9725 | 1.08657 1.46769 | 2158.83 -28723.9
53.5663 -82.6345 | -0.312063 -0.878534 | -13671.3 17179.9
53.8905 -82.2545 | 0.59073 -2.95558 | 15482.1 -623.28
54.2123 -81.8658 | 0.316323 2.06385 | -9916.13 -11596.1
54.526 -81.4814 | 4.04945 0.171488 | 5437.58 4702.33
54.8447 -81.0938 | -4.37134 -1.09611 | 22810.1 10340.1
55.1732 -80.6971 | -6.67148 -0.257554 | -24688.9 -16072.1
55.4588 -80.2877 | -0.119935 -1.5358 | -8131.94 20441.3
55.7072 -79.8484 | -6.27289 3.00706 | 19126.9 -20656.7
55.9684 -79.4228 | -3.05176 -5.50693 | -19263 1885.22
56.206 -78.99 | 0.604955 -2.71204 | 3598.77 6105.18
56.4502 -78.556 | -1.96761 2.49871 | 13972.3 -8075.09
56.7242 -78.1374 | 5.21706 2.59608 | -7389.74 17631.3
57.0001 -77.7101 | 2.8363 -2.80329 | 22613.3 -7335.59
57.2976 -77.2926 | -2.10571 -3.93548 | -37921.5 8152.96
57.5569 -76.8602 | 0.895313 1.95167 | 26502.1 -10153.6
57.8484 -76.4476 | -0.167153 4.83961 | -13994.1 -11057.8
58.1383 -76.0475 | -0.0586783 -4.2399 | -11499.5 13466.6
58.424 -75.6424 | -2.42201 0.670817 | 14834.5 -5357.53
58.7517 -75.2655 | 1.36746 1.89363 | 7921.01 -6011.24
59.1141 -74.9188 | 2.36758 -1.24375 | -15859.4 22008.4
59.4793 -74.5715 | 1.01643 -1.79386 | 11723.2 -15304.2
59.8844 -74.2745 | -1.03277 0.607766 | -9813.24 -2073.63
60.3122 -74.0235 | -1.68418 5.98622 | 1289.54 -2320.28
60.7635 -73.8186 | -5.16175 5.89291 | 4425.62 234.296
61.2319 -73.6487 | -1.49268 -1.51218 | -1635.58 103.162
61.7056 -73.4973 | 2.47263 -0.935414 | -4824.85 4843.58
62.1772 -73.3472 | 0.217595 5.60356 | 1391.53 -5636.52
62.6499 -73.2031 | -0.86408 1.13843 | -9420.04 23267.6
63.1187 -73.0474 | -0.874241 -1.20851 | 20608.4 -32599.7
63.6129 -72.9569 | -0.454464 3.26201 | 662.702 10365
64.1107 -72.8689 | 3.19417 -0.677634 | -5418.31 12682.2
64.6036 -72.7584 | 1.96327 -4.56815 | 14899.8 -8477.08
65.1022 -72.6503 | -5.24365 -0.796189 | -30494.9 -3819.65
65.5769 -72.5312 | -3.61552 -0.947611 | -9062.34 11603.9
66.0392 -72.391 | 1.0469 -2.19407 | 13521.9 -12185.7
66.5125 -72.2762 | 1.61709 -3.42322 | -11503.7 -15828.4
66.9812 -72.1771 | -1.47399 2.00997 | 3893.13 20041.1
67.4432 -72.0268 | -1.32741 -5.19474 | 19272 7729.33
67.9072 -71.8386 | 0.0369135 -4.46407 | -4439.09 -13207.3
68.362 -71.6384 | -2.7935 -0.339869 | -7912.21 21025.1
68.8004 -71.4065 | -1.20431 -4.68384 | 5284.38 -39897.6
69.2467 -71.2091 | -1.24887 -2.17136 | -4719.33 21842.8
69.6734 -70.9655 | -5.07535 -0.809274 | 4207.99 8212.58
70.0815 -70.682 | -1.05787 -1.21568 | -1216.2 -14443.3
