-74.3084 -11.1341 | 5.06269 1.62861 | -1602.29 1347.88
-73.976 -10.7613 | 6.17238 -0.674102 | 4973.19 -7125.38
-73.6392 -10.3942 | 2.01918 2.51501 | -6420.07 7725.36
-73.3073 -10.0218 | -0.837497 3.06733 | 916.155 -3392.41
-72.9621 -9.66272 | -1.53558 3.46535 | 8546.18 -1833.11
-72.5916 -9.3241 | -1.72434 4.93985 | 1788.87 4754.33
-72.2075 -8.99559 | -1.14242 4.71031 | -4125.92 715.026
-71.8177 -8.67647 | 1.49553 3.14592 | 546.796 -3354.13
-71.4191 -8.37321 | 2.21872 2.24984 | -11231.7 -3695.55
-71.02 -8.08576 | 1.94206 -0.458173 | -6720.32 -4746.2
-70.6136 -7.81995 | 1.76274 -1.55711 | 3399.65 7007.55
-70.1888 -7.57588 | 2.10559 -2.70079 | 8218.52 -184.362
-69.7362 -7.37128 | 1.97179 -2.3684 | 11143.7 3111.83
-69.2576 -7.20874 | 3.16939 -3.13908 | -2738.08 3759.07
-68.7679 -7.08964 | 2.31873 0.684611 | -11966.9 -10390.4
-68.2776 -7.03154 | 2.17355 -0.729378 | -7490.37 2498.99
-67.7897 -7.01577 | 1.30944 -1.19677 | 5763.14 4786.15
-67.2975 -7.03219 | 1.11501 2.24416 | 10416.2 -374.921
-66.8002 -7.08748 | 1.43992 2.61923 | 820.301 -2848.2
-66.3074 -7.18696 | 0.91483 -0.216401 | -1298.75 -5044.57
-65.8227 -7.32528 | 0.95368 -1.16668 | 10175.7 8313.68
-65.337 -7.47921 | -0.106008 -0.722129 | -1747.09 -8105.82
-64.8613 -7.6653 | 0.464805 -0.449771 | -1390.79 -1671.02
-64.3949 -7.87111 | 2.79885 1.12274 | -4092.36 7306.05
-63.935 -8.0774 | 1.65505 -0.994074 | -6700.47 5302.05
-63.482 -8.28499 | 0.758539 -1.76461 | 6032.61 -2093.71
-63.0318 -8.50619 | -0.295845 -1.80949 | 1464.45 -3224.03
-62.592 -8.75062 | -0.266028 -1.89462 | -7556.37 -1961.86
-62.1704 -9.01831 | 0.822421 -1.72561 | -3671.1 1031.16
-61.7576 -9.29422 | 0.0258101 -1.62957 | 2426.24 2153.9
-61.3384 -9.56124 | 1.51836 0.180529 | 2323.02 -2874.86
-60.9066 -9.81189 | 1.07586 0.390868 | -1635.27 1451.76
-60.459 -10.0317 | -1.19495 -2.64749 | 6305.8 -749.985
-59.9892 -10.2109 | -1.81901 1.31479 | 2683.17 1368.79
-59.5022 -10.3428 | -2.62714 1.38609 | -4248.71 3684.23
-59.0076 -10.4279 | -1.28697 -0.976628 | -462.242 -2786.85
-58.508 -10.4785 | -0.82169 -0.511961 | 4755.16 -5445.5
-58.0025 -10.4961 | -0.134957 -0.717187 | 2361.85 8365.61
-57.4962 -10.4607 | 1.33477 -1.01039 | -2944.12 -3096.04
-56.9973 -10.3843 | 1.43588 -0.901461 | -8346.08 -4749.99
-56.513 -10.267 | 3.2861 -1.86196 | 820.505 6594.86
-56.0432 -10.0955 | 2.89033 -1.80688 | 9376.83 -837.706
-55.5842 -9.881 | 2.1306 -1.68349 | 4460.01 1987.28
-55.1455 -9.62108 | 2.37169 -2.86622 | -10544.9 4187.69
-54.7441 -9.31428 | 1.77207 -4.18021 | -4219.3 -7733.13
-54.3704 -8.98402 | 1.38179 -2.30982 | -1882.33 -1624.59
-54.0161 -8.63783 | -0.474337 -1.04045 | 772.879 -7813.52
-53.6733 -8.28542 | -0.549717 -1.92123 | 199.699 2423.52
-53.3473 -7.91645 | 0.157806 -1.10022 | -1290.84 1866.16
-53.0414 -7.52977 | 0.870863 -2.49836 | 4311.57 -2808.38
-52.75 -7.13037 | 0.954397 -2.84339 | 4297.95 8591.37
-52.4805 -6.70815 | 0.390475 -1.54792 | -7092.19 4277.77
-52.2416 -6.26616 | 0.360939 -1.29992 | 7292.15 -2855.01
-52.0109 -5.81869 | -1.39593 0.514596 | -3383.45 3779.05
-51.7927 -5.36426 | -2.69115 0.791281 | -7667.93 -3815.83
-51.5771 -4.91375 | -0.0535249 -0.275028 | 3914.02 -1575.87
-51.3323 -4.48024 | 0.747975 -0.523252 | 2300 -8387.85
-51.0461 -4.07718 | -2.23334 1.22004 | -1775.13 6141.94
-50.7258 -3.69642 | -3.15125 2.64531 | 10330.9 5282.42
-50.365 -3.34375 | -1.43618 1.83913 | -4652.51 -9593.6
-49.9804 -3.0256 | 0.0578436 2.64275 | -8733.97 7340.14
-49.5857 -2.72326 | 0.139051 2.68171 | 4892.69 576.346
-49.1662 -2.45199 | -4.4997 4.10082 | 1501.47 -3818.49
-48.7213 -2.22421 | -5.5215 4.92909 | 2121.4 1978.25
-48.2567 -2.03589 | -1.8622 1.72869 | -3844.34 -3719.54
-47.7804 -1.88726 | -1.38809 3.16632 | 927.738 11309.3
-47.2943 -1.76603 | -2.02982 4.5282 | 2703.47 -7482.64
-46.7969 -1.7025 | -1.76272 2.80144 | -3996.27 -9644.17
-46.2978 -1.69631 | -1.1576 1.67471 | 4040.99 9425.66
-45.7967 -1.70822 | -3.14661 1.12337 | -4009 1712.53
-45.2984 -1.73611 | -4.15263 3.38616 | 2002.14 -694.899
-44.8005 -1.78381 | -2.37984 5.58619 | 1803.31 88.7738
-44.304 -1.85231 | -0.570754 4.46599 | -4850.67 -1538.09
-43.8138 -1.94286 | -0.0828858 3.25851 | 3190.15 1166.95
-43.3252 -2.04853 | -0.291493 2.87541 | -1331.3 4879.86
-42.8406 -2.16787 | 1.22863 2.21492 | 2976.19 -8293.73
-42.3601 -2.31794 | 1.4998 -3.1255 | 7735.96 -6848.3
-41.8788 -2.48753 | -0.0236504 -1.62946 | -1609.41 5016.58
-41.3962 -2.64764 | -1.07479 0.647373 | -5433.05 4843.11
-40.912 -2.78622 | -1.73561 0.664264 | -831.952 157.165
-40.4229 -2.90392 | 0.419185 1.12119 | 4934.11 -3193.99
-39.9252 -3.00071 | 1.9441 0.66349 | 5745.88 7125.65
-39.4194 -3.06632 | 0.431482 -0.338727 | -6710.38 993.095
-38.9169 -3.11934 | 0.639732 1.83049 | -6738.51 -7775.81
-38.4195 -3.18029 | 1.06714 0.953823 | 5958.72 -1409.77
-37.9179 -3.23702 | 1.68189 2.04269 | 974.894 5249.47
-37.4137 -3.27331 | 2.97005 1.43908 | -1668.51 -3791.88
-36.9097 -3.29412 | 2.47223 -1.16918 | -2629.55 182.775
-36.4069 -3.28907 | 1.6449 -1.61134 | 3376.03 3889.14
-35.9038 -3.24806 | 1.1359 -1.72377 | -1733.48 3753.83
-35.4049 -3.17578 | 0.280348 -0.701124 | -1638.68 -5949.74
-34.9089 -3.09181 | 0.824618 3.13046 | 7581.59 -1311.04
-34.4104 -2.99217 | 2.02467 2.08812 | 3379.25 2694.39
-33.9152 -2.86371 | 2.90809 -0.335411 | -906.676 394.594
-33.4317 -2.70039 | 2.72194 0.531557 | -7365.37 -4085.07
