4.51692 35.1036 | 2.74073 0.816781 | 1754.79 -1905.3
5.00252 34.9756 | 0.509399 -1.1716 | 2119.95 4017.52
5.49734 34.8895 | -0.921302 1.15752 | -5966.66 -640.059
5.99185 34.8347 | -0.308873 0.840531 | -7174.73 -3840.34
6.48305 34.8043 | -1.41999 0.463408 | 483.239 3626.24
6.9748 34.8076 | -2.02694 2.63851 | 1945.28 1758.61
7.46748 34.8369 | -1.35501 2.52605 | 3918.46 -6167.73
7.96239 34.8758 | -2.63599 1.6179 | 590.946 2221.17
8.45723 34.9328 | -3.12181 1.12372 | 4712.86 2391.12
8.95359 35.007 | -2.92784 0.119453 | 2690.01 -2076.59
9.44967 35.0898 | -3.18693 -0.262633 | -8636.62 -8142.18
9.93743 35.1811 | -2.40938 -3.27299 | -1642.48 8048.39
10.4166 35.3084 | -2.04782 -4.10173 | 4998.91 8603.1
10.8926 35.4658 | 0.670433 -4.04958 | 3707.96 -6891.58
11.3722 35.6186 | 1.00076 -2.26388 | 3765.49 -6520.22
11.856 35.7626 | 0.958354 -4.23666 | -5186.05 9714.85
12.3349 35.9209 | 1.36957 -2.43711 | 6922.25 -195.838
12.8192 36.0781 | -1.92895 2.94632 | 5166.19 -1746.65
13.309 36.2253 | -4.15104 -0.336009 | -12805.6 1808.6
13.7928 36.3633 | -3.83076 0.0854968 | -4798.86 -5755.19
14.2775 36.4763 | -1.98288 2.59928 | 2990.56 -1534.59
14.7673 36.5663 | 0.319988 1.41344 | -4690.41 2886.56
15.2564 36.6423 | -0.0503155 2.35196 | -3827.95 4760.01
15.7455 36.7009 | -0.981438 1.65747 | 1983.43 -1252.2
16.2401 36.7195 | -0.494573 -0.977851 | 13578.2 -7778.72
16.7434 36.6826 | 0.491189 -1.55795 | -26.0174 -209.832
17.243 36.6066 | 0.849375 -0.669709 | -9814.48 4728.63
17.7323 36.5084 | -0.0975125 -2.74653 | 5603.48 685.272
18.2205 36.3903 | -0.984717 -4.70412 | 6167.3 117.071
18.7062 36.2489 | 0.982164 -1.66246 | -5819.8 1818.32
19.1775 36.0772 | 1.47665 -0.939707 | -4967.55 1040.09
19.6279 35.8666 | -2.22985 -1.09066 | -2289.52 -2119.31
20.054 35.6124 | -2.55202 3.46267 | 3292.69 -4037.83
20.4595 35.3212 | -1.7638 3.44031 | -522.358 4395.46
20.8477 35.0093 | 1.07114 1.84243 | -1525.3 -2841.64
21.2208 34.6785 | 3.31602 1.28747 | 2696.99 -3034.5
21.5903 34.3402 | 1.95687 -0.977933 | 1581.24 7278.37
21.9649 34.0113 | 1.35445 -0.883524 | -4300.28 -763.497
22.3393 33.6863 | 0.449267 1.81563 | -3918.49 2068.65
22.717 33.37 | -0.334992 2.30607 | 4784.96 2850.27
23.1074 33.0669 | 1.50539 1.14831 | 2549.16 -6464.99
23.5048 32.7654 | 2.17445 -0.664826 | -682.712 -1881.01
23.9078 32.4684 | 1.33192 -0.00355091 | 7475.12 709.209
24.3234 32.1819 | 1.85066 1.03373 | -4047.16 -7659.15
24.742 31.8994 | 0.393269 -1.22418 | -8143.82 3102.06
25.1703 31.6443 | -1.69998 -2.6958 | 2166.49 11984.6
25.6224 31.4429 | -2.52283 -1.52998 | -2066.4 -5196.62
26.0896 31.2786 | -2.6556 -1.79838 | 4329.19 -1930.66
26.5725 31.153 | -1.5863 -1.36131 | 4225.39 -13.5628
27.0679 31.07 | -1.32133 -0.876797 | -1419.47 -1064.69
27.5675 31.0295 | -0.115288 -0.13678 | -3776.84 7061.04
28.0653 31.0357 | 2.93345 0.155639 | -7234.68 -962.221
28.5575 31.0635 | 2.86291 1.03722 | 6016.13 -10671.1
29.0535 31.0903 | 1.19072 -0.38475 | 8164.85 726.332
29.5537 31.1371 | 1.82636 -2.06822 | -6352.52 6009.75
30.0458 31.2225 | 3.13073 -0.780012 | -1634.81 864.884
30.5309 31.3385 | 3.02809 1.43706 | 4618.28 -67.7187
31.015 31.473 | 2.67745 0.435508 | 5738.88 5192.91
31.5011 31.6181 | 2.11543 0.864313 | 870.883 -8426.41
31.9898 31.7505 | 1.3049 1.40982 | -6243.09 -6125.87
32.474 31.8781 | 2.45175 0.689071 | -3540.73 5713.26
32.9496 32.0271 | 3.5034 -0.867399 | -741.437 2003.94
33.417 32.1978 | 0.401614 0.940048 | -4272.67 1059.29
33.8774 32.3816 | -0.244435 -1.22094 | 5414.01 -2339.8
34.3424 32.5623 | -1.29628 -3.18822 | 4976.86 14.9203
34.8132 32.7377 | -2.30579 -3.77303 | -2243.53 4106.68
35.2852 32.9114 | -0.692542 -1.31724 | 1925.68 2701.08
35.7636 33.0713 | 1.12398 1.77252 | 307.427 -10382.1
36.2504 33.1969 | 2.64067 3.20576 | -3095.78 4251.83
36.7391 33.3066 | 1.03554 2.73768 | -2442.17 4625.14
37.2292 33.4011 | -2.11408 1.94498 | -3814.81 -1616.67
37.7221 33.462 | -1.93181 2.35891 | 5937.25 -3598.44
38.2224 33.4763 | -2.20283 -0.069959 | 3871.29 2392.44
38.7252 33.4477 | -2.38348 -1.21895 | -1627.19 -3198.97
39.2225 33.3706 | -0.16415 -2.02329 | 140.255 500.907
39.7112 33.252 | 1.11594 -1.78862 | -4007.98 382.228
40.1868 33.0972 | 2.56106 -3.20153 | -1601.44 -1278.31
40.6513 32.9131 | 1.24253 -2.42647 | 6626.72 5537.84
41.1122 32.7123 | -0.303374 -1.98884 | 3010.71 -4160.67
41.5628 32.4808 | -0.733808 -0.816139 | 6312.38 3170.5
41.9968 32.2155 | -2.55269 1.13964 | -10651.7 -6223.69
42.3879 31.897 | -2.68491 0.925372 | -8783.55 134.797
42.7369 31.539 | -2.36194 0.79012 | 8187.99 5616.23
43.0681 31.1644 | -2.04846 2.50096 | -5537.6 -1434.54
43.3754 30.7723 | -1.10391 2.29816 | -1452.84 1467.19
43.6706 30.3732 | -2.27925 1.0626 | 1845.48 2621.96
43.968 29.9771 | -4.94189 -0.146852 | 377.194 -90.5109
44.2725 29.5861 | -4.47604 0.738002 | 1719.33 -1698.4
44.5879 29.202 | -2.29895 0.4151 | -4133.34 2332.61
44.9136 28.8296 | 0.0272018 -0.438642 | 3887.84 -2989.8
45.2594 28.4707 | -1.32599 -0.106111 | 8225.57 -1381.11
45.6288 28.1294 | -3.25952 -1.89968 | -6042.93 3767.78
46.0061 27.8037 | -0.706144 -1.2809 | -8914.42 -4091.6
46.387 27.4883 | 1.73884 2.71913 | 2113 6065.78
46.79 27.205 | 1.67567 3.13011 | 523.065 -5591.72
47.2167 26.9546 | 0.344459 0.906479 | 3346.22 3514.72
47.6704 26.7549 | -1.21657 -0.167249 | -2768.38 -942.349
48.1419 26.6054 | -1.20621 -0.386256 | 1184.06 1326.84
48.6279 26.5079 | -1.14182 -2.99534 | 4060.21 -923.474
49.1239 26.455 | 0.475283 -8.71383 | 74.7843 -2415.76


-47.3059 -87.853 | -3.11013 6.5537 | 22271.3 -8449.8
-46.7933 -87.9601 | -3.45494 -6.35401 | 2945.64 10677.7
-46.2728 -88.0241 | 0.792662 -7.27981 | 330.39 -9496.3
-45.7505 -88.0691 | 3.99702 -1.33552 | -4796.25 14127.2
-45.2338 -88.0784 | -0.508323 1.26583 | -35592 -11851.7
-44.7398 -88.0861 | 2.26526 -3.37041 | 24004.6 -7233.89
-44.2325 -88.0765 | 5.97291 -11.1444 | 10577.1 34456.8
-43.7205 -88.0043 | -3.44652 -2.85938 | -7723.89 -26144
-43.2152 -87.9537 | 1.63002 -4.55499 | -32203.5 -9824.58
-42.7326 -87.9106 | 1.0151 0.848345 | 290.559 25503
-42.253 -87.83 | 1.56408 -7.31978 | 35294.7 -17423.6
-41.7499 -87.7727 | 1.97348 -12.2306 | -23515.4 132.66
-41.259 -87.7179 | -1.05319 3.02332 | -1234.59 8378.29
-40.7705 -87.6495 | 5.85576 3.28921 | 12062.9 3136.92
-40.2719 -87.5869 | 4.47665 0.271838 | 6320.5 -10865.8
-39.7645 -87.5569 | -1.5719 5.9337 | 4640.17 2833.9
-39.252 -87.5419 | 2.5989 -6.15228 | 4201.46 16402.1
-38.7377 -87.5352 | 3.9319 -4.67171 | -18037.3 -29033.1
-38.2388 -87.5951 | 5.26304 4.02311 | -7941.37 27750.8
-37.7472 -87.6644 | 3.44681 2.14295 | 26388.7 -28773.7
-37.2475 -87.7951 | 3.8526 5.22378 | 1538.43 8180.35
-36.7521 -87.9426 | 3.41315 0.893563 | -18076.7 14999.1
-36.274 -88.0955 | 3.19775 0.668731 | -5072.12 -3691.25
-35.8132 -88.2839 | -0.00954817 -4.72772 | 667.992 -14327.7
-35.3672 -88.5172 | -4.63625 -7.85772 | 25168.6 15197.5
-34.9144 -88.7583 | 1.67549 4.04899 | -24512.4 -13635.2
-34.499 -89.0478 | 4.15634 -0.496102 | 10790.2 3386.73
-34.0937 -89.3599 | 1.16336 7.48063 | 13799.3 -11287.5
-33.6958 -89.6981 | 4.04034 1.39012 | -16931 8655.31
-33.3267 -90.0486 | 3.71675 -0.211954 | -25442.7 9955.27
-32.9799 -90.3994 | -5.62616 2.92738 | 43706.3 -10886.6
-32.5915 -90.7359 | 2.09423 1.5944 | -24256.2 20784.1
-32.2112 -91.0557 | 2.13582 2.42225 | -11307.4 -21572.7
-31.844 -91.394 | 3.16603 -6.03811 | 22455.2 8240.45
-31.4424 -91.7056 | 4.08202 -5.53932 | 5434.61 -9549.09
-31.0208 -92.0003 | -4.83502 -5.44318 | -15791.4 21431
-30.5951 -92.2622 | 1.76923 -4.98085 | 5166.82 -15313.8
-30.1655 -92.5282 | 2.0808 -2.96334 | -5835.59 -406.788
-29.734 -92.7858 | -0.627937 7.96345 | -5129.11 8551.44
-29.2903 -93.0145 | -3.54989 3.81757 | 29573.3 -7402.46
-28.8154 -93.2207 | -2.88008 -0.209036 | -15024.6 -6452.95
-28.3409 -93.4111 | -0.170973 -5.80166 | -12265.1 9879.31
-27.8622 -93.5578 | 1.95234 -1.63057 | 8139.03 8984.53
-27.3681 -93.6552 | -4.46161 -2.38239 | 3521.67 -19675
-26.8666 -93.7359 | 1.49409 1.75133 | -8582.35 16036.8
-26.3636 -93.7575 | -1.33896 -1.32284 | 19115.7 2759.23
-25.8498 -93.737 | -2.05202 -1.07663 | -13311.2 -7731.39
-25.3463 -93.7015 | 3.59785 1.16267 | -19222.3 1788.08
-24.8568 -93.6497 | -1.69907 7.09725 | 21672.8 -13419.2
-24.3574 -93.5916 | 3.37227 3.63402 | -9867.15 6897.18
-23.8723 -93.4791 | 4.89618 -1.93951 | -5012.41 11209.3
-23.408 -93.2972 | -3.77299 2.38985 | 20734.2 -622.371
-22.9466 -93.0751 | -4.9144 -2.28969 | -5887.58 12124.1
-22.5027 -92.817 | -0.335062 0.269804 | -2381.49 -13507.3
-22.061 -92.5694 | 4.06682 0.321531 | -3424.39 -19659.2
-21.6189 -92.3389 | 0.415434 -8.37561 | -1006.13 25721.2
-21.1889 -92.0691 | -1.65656 -4.18797 | 22519.8 2737.29
-20.7498 -91.788 | 4.7353 -2.48026 | -13897.8 -2801.37
