4.9044 33.5837 | -0.865958 0.13963 | 14647.1 -227.545
5.41002 33.4917 | -0.0721314 -2.56847 | -2385.45 -3388.39
5.91793 33.428 | -0.472787 -3.5349 | -5683.06 -1684.98
6.42418 33.3998 | 0.0888108 -2.06894 | -3826.83 1167.6
6.92674 33.4245 | 0.0601969 -0.128379 | 1516.29 7693.03
7.42166 33.5165 | 0.0570779 -1.48078 | -6387.14 1588.12
7.90026 33.6603 | 0.44033 -2.4936 | -2139.92 -3874.95
8.3679 33.8307 | 1.94089 -1.20525 | 5087.01 -1395.58
8.83331 34.0159 | 3.9619 -1.3473 | 3996.17 1359.06
9.2976 34.2142 | 2.75985 0.445412 | 5908.15 -1944.33
9.76072 34.4245 | 2.26227 -0.792715 | -3687.81 10031.4
10.2126 34.6599 | 2.79935 -1.28424 | -1540.27 -5085.82
10.6606 34.896 | 1.07837 -1.46704 | -4449.6 -2613.31
11.1075 35.1238 | 0.286274 -1.37841 | -7550.34 -1079.24
11.5571 35.3355 | 1.51954 -1.12573 | 9794.83 -64.9261
12.0256 35.5191 | 1.35785 -1.81734 | 9540.11 -1450.98
12.5123 35.6724 | 0.229882 1.1317 | -1497.22 3429.83
13.0052 35.807 | -1.46872 2.60421 | -1161.15 -1914.48
13.5019 35.9204 | -2.38266 2.48634 | -4793.42 1368.51
13.9984 36.0154 | -1.40231 1.42687 | -4777.66 -2940.43
14.4944 36.0853 | -1.21274 -2.63426 | -3040.1 -743.057
14.9903 36.1324 | -1.30096 -2.65468 | 876.005 7990.76
15.4882 36.1606 | -0.174245 0.335201 | 1708.21 -6193.82
15.987 36.143 | 0.742714 -0.397425 | -7263.25 474.501
16.4783 36.0787 | 0.750675 -1.94578 | 9302.83 -2318.33
16.9688 35.9675 | 1.38071 2.08495 | 11577.5 -5457.7
17.4568 35.8137 | 0.595888 0.884935 | -5346.38 8986.7
17.9298 35.6334 | 0.306278 1.43851 | -12977 -1868.91
18.3748 35.4142 | 0.652813 2.2494 | -12595.3 1570.21
18.7945 35.1676 | -1.42048 -2.21944 | 7977.03 9416.96
19.2128 34.9175 | -1.51406 -1.24434 | 5266.54 -4771.7
19.6247 34.6481 | 1.17499 1.23446 | -3855.63 -665.382
20.02 34.3554 | 1.57862 -1.97001 | 5635.37 -5288.5
20.4046 34.0407 | 2.14785 -1.11408 | -3620.29 -1913.7
20.7792 33.7147 | 2.20562 0.300256 | 4582.43 7678.15
21.1596 33.3964 | 3.57978 0.779599 | 3120.77 -2324.19
21.541 33.0759 | 2.30382 -0.542561 | -9834.97 -5533.54
21.9133 32.7471 | 0.253492 -2.26393 | 8520.67 1128.47
22.3008 32.4303 | 0.0720948 -3.18663 | 4479.17 291.073
22.706 32.1311 | 1.01246 -3.0466 | -3061.35 -2608.6
23.1222 31.8473 | 1.16272 -3.39468 | 6247.18 3828.36
23.5558 31.5872 | -0.669852 -4.06961 | -5715.22 -60.4389
23.9942 31.3409 | -0.703135 -3.4956 | -596.803 -5252.85
24.4388 31.1039 | 1.8068 -1.69221 | 4943.68 6658.46
24.8961 30.8915 | 2.50069 -2.01424 | -9287.44 -2758.63
25.3544 30.6917 | 1.25824 -0.317403 | 3400.62 -6203.25
25.8241 30.5101 | 0.446584 0.558209 | 7090.86 3725.5
26.3129 30.3729 | 1.20876 0.465581 | 600.22 2097.59
26.8141 30.2881 | 1.62553 3.70538 | 42.654 5779.89
27.3207 30.2569 | 1.20745 2.8835 | -6309.54 -2464.14
27.8237 30.2594 | 0.470845 -2.02231 | -1071.75 -851.422
28.3239 30.2866 | -0.0559951 -0.017757 | -5345.45 -4924.14
28.8193 30.3324 | 0.601302 2.19976 | 3336.8 5488.78
29.3145 30.4093 | 1.33122 -1.24944 | 14847.2 2296.83
