-27.4921 -63.1335 | -1.47492 3.69391 | 1521.11 -4287.37
-27.0106 -63.2778 | -0.278264 2.49538 | 1990.79 3174.92
-26.536 -63.444 | -0.863437 -0.257216 | -3647.66 1200.1
-26.072 -63.631 | -3.70564 -3.65136 | 1063.98 1742.6
-25.6174 -63.8384 | -4.23861 -3.90154 | -2280.77 1148.61
-25.1777 -64.0709 | -4.3461 -3.43299 | -5350.37 -2990.47
-24.7573 -64.3328 | -4.92585 -3.19557 | 4604.93 670.24
-24.3452 -64.6115 | -5.10858 -2.75295 | 558.889 2013.18
-23.9403 -64.9013 | -5.80652 -3.50312 | 1909.33 -6013.93
-23.5414 -65.2056 | -4.57974 -3.1102 | 7960.41 4861.49
-23.1419 -65.5128 | -2.2817 -1.46901 | -9153.29 -43.4374
-22.7605 -65.8351 | -0.480806 0.592621 | -1633.66 -2372.06
-22.3934 -66.1727 | 1.12835 0.877713 | 2672.43 4113.55
-22.032 -66.5151 | 0.260252 -1.13616 | -5632.48 -2760.07
-21.6803 -66.8654 | 1.97275 0.604528 | 2370.45 751.76
-21.3234 -67.2123 | 3.4422 3.51401 | 5388.07 -1221.72
-20.9529 -67.5505 | 2.69072 3.42188 | 4554.48 -4069.05
-20.57 -67.8806 | 1.96125 0.143691 | -5375.64 5385.11
-20.1829 -68.1975 | 1.28729 -2.28216 | -8580.72 2002.81
-19.7949 -68.5037 | 0.604747 -2.67556 | 3416.75 -3191.96
-19.3933 -68.7954 | -0.700833 -3.92902 | 551.263 1873.79
-18.9745 -69.0606 | -1.54899 -4.82572 | -4824.74 1499.62
-18.5409 -69.2947 | -1.22685 -3.62737 | 4237.54 220.449
-18.0873 -69.4944 | -1.33014 -3.11989 | 5594.54 -2716.15
-17.6165 -69.6638 | 0.515581 -3.83248 | -352.108 436.55
-17.1366 -69.8047 | 3.17454 -2.10597 | -6763.49 -3353.42
-16.654 -69.9221 | 3.54751 1.13211 | 3350.85 2164.76
-16.1624 -70.0044 | 2.96161 1.70969 | 5580.08 4490.98
-15.663 -70.0509 | 2.87234 1.29554 | -5546.56 -8282.18
-15.1655 -70.0817 | 2.78347 2.4145 | -3955.61 3201.24
-14.6698 -70.084 | 2.6185 1.89989 | 3997.36 739.008
-14.1715 -70.0581 | 3.12245 0.859552 | 9400.36 108.847
-13.6686 -70.0076 | 3.545 3.97221 | -3780.88 -1290.29
-13.1709 -69.9351 | 2.49885 3.80688 | -7274.51 201.369
-12.6826 -69.8395 | 1.92792 -0.118761 | -171.901 -3336.87
-12.1996 -69.7245 | 2.41436 1.33761 | 3606.39 -21.2659
-11.7216 -69.5819 | 3.41148 3.01031 | 2822.07 5699.51
-11.2533 -69.4015 | 2.45415 1.16422 | 2.98208 -3143.35
-10.7984 -69.1923 | -0.365525 1.49561 | -6835.06 -1150.39
-10.3646 -68.9522 | -1.42384 2.99736 | -1361.42 2341.61
-9.94811 -68.6832 | 0.0244343 3.11328 | 3605.65 3322.86
-9.53899 -68.3974 | 0.97409 2.3943 | -477.815 -1352.74
-9.13042 -68.1132 | 1.751 1.33033 | -6427.97 -6995
-8.71868 -67.8462 | 2.23525 1.71582 | -5154.85 203.89
-8.29885 -67.5995 | 1.88735 2.96878 | 4761.62 -254.719
-7.86 -67.3832 | -0.254638 1.45324 | 2332.79 -3492.96
-7.40496 -67.1995 | -0.981669 -0.109633 | 481.469 3738.73
-6.94137 -67.031 | 0.894837 -0.000542227 | 8761.52 2476.82
-6.46819 -66.8695 | 1.39538 0.393999 | 1720.78 3115.49
-5.99313 -66.7068 | 1.21912 0.784557 | -5629.35 1215.53
-5.5221 -66.5431 | 1.57176 0.985806 | -5869.61 1428.3
-5.05219 -66.3869 | 2.36301 -0.0222534 | 3232.03 -247.43
-4.57242 -66.2574 | 1.33351 0.886037 | 3569.9 -1501.18
-4.08094 -66.1703 | -1.20904 3.18747 | -305.661 -1508.73
-3.58348 -66.1322 | -0.279238 3.05713 | -1473.39 590.473
-3.08584 -66.1421 | 1.24741 1.15936 | -1748.77 -3281.89
-2.59232 -66.1999 | 0.589747 1.36096 | 1569.13 2046.13
-2.10216 -66.2905 | -0.0040447 0.840552 | 5159.09 -3724.14
-1.613 -66.4073 | -1.11048 0.219982 | 2519.08 4756.71
-1.12424 -66.5321 | -1.05683 1.38127 | 1285.2 5199.06
-0.638518 -66.6673 | 1.15441 1.42602 | -5048.04 -4881.99
-0.165644 -66.8351 | 0.918338 1.13657 | -2915.74 -10088.9
0.294992 -67.0358 | -0.112852 2.24961 | 3564.23 1226.01
0.759405 -67.2313 | -0.538683 2.03978 | 1318.2 8728.72
1.23557 -67.3907 | -0.703734 -0.527154 | -4156.02 -1251.53
1.71932 -67.5141 | -0.249472 -2.6044 | -1302.12 -168.263
2.21116 -67.5935 | -0.293305 -2.10718 | 3786.24 8369.17
2.71114 -67.6191 | 0.642916 -2.3041 | 1717.22 -4505.06
3.21324 -67.6164 | 0.677034 -1.94175 | -5983.54 -615.181
3.71076 -67.593 | -1.68644 0.738593 | -2367.83 -1065.74
4.20512 -67.5552 | -1.20008 -1.11418 | 2312 -7623.32
4.69869 -67.5059 | 0.116333 -1.23772 | -3016.03 1384.01
5.18412 -67.4186 | -0.513364 1.30478 | -6810.68 5115.43
5.6525 -67.2769 | -1.06197 0.36923 | 2453.1 -4272.02
6.10757 -67.0932 | 0.201755 0.599637 | 7938.35 5125.66
6.55018 -66.8643 | 1.37472 0.159918 | 5248.29 3560.56
6.97799 -66.5972 | -0.243253 -0.768951 | 3569.89 -998.864
7.38983 -66.3014 | -0.374079 -0.156765 | 53.0955 866.134
7.77919 -65.9762 | 1.58983 0.809715 | 747.62 -5841.16
8.13923 -65.6232 | 1.48014 1.49844 | -8048.04 2425.51
8.44931 -65.2296 | 1.84146 0.296519 | -422.111 254.702
8.71122 -64.8024 | 2.9319 -0.523511 | 4397.61 1985.92
8.92894 -64.3479 | 2.08345 0.0714234 | -3984.61 5446.04
9.09438 -63.8694 | -0.257662 1.55227 | 143.719 -6281.39
9.21827 -63.3823 | 0.348986 1.72352 | 279.255 -2563.04
9.30641 -62.8892 | 0.0681401 1.62316 | 957.327 5694.66
9.36198 -62.3877 | -1.77245 1.29518 | 551.542 -56.3067
9.38611 -61.8835 | 1.03383 0.656015 | -5890.34 -2293.74
9.37712 -61.3802 | 6.26006 0.311349 | -1878.11 -290.252
9.3559 -60.8768 | 5.15285 0.0420781 | 5632.13 6035.99
9.35052 -60.3694 | 1.54666 -0.271427 | 4538.72 -1390.45
9.36684 -59.8631 | 2.01089 -1.21159 | -1701.19 -7150.67
9.3935 -59.3619 | 3.0251 -1.49607 | -7133.89 3179.1
9.42535 -58.86 | 1.73629 -0.481074 | 2867.31 464.514
9.48593 -58.3603 | 0.350039 0.259407 | 4484.98 -558.459
9.58764 -57.8675 | -2.32994 0.475011 | -2089.58 -3368.32
9.72503 -57.386 | -2.11293 0.549656 | 1147.63 -964.741
9.89859 -56.9164 | 2.51914 -0.186031 | 817.101 6172.1
10.1041 -56.4555 | 4.21587 -2.39097 | -1008.09 -1941.85
10.3399 -56.0104 | 4.33533 -5.56871 | -1566.8 -3249.04


-37.8519 59.2567 | 0.794368 2.48976 | 1600.61 -656.574
-37.4016 59.0361 | 0.0938074 1.38903 | -2754.24 -2349.18
-36.9599 58.8024 | -2.81601 -1.49616 | -2622.13 4550.74
-36.5206 58.5719 | -2.58487 1.22701 | -1936.48 4793.94
-36.0805 58.3499 | 0.097116 3.18922 | 951.193 -769.532
-35.6393 58.1278 | 1.2243 -0.269042 | 2165 -6271.57
-35.1975 57.8982 | 1.05683 1.21407 | 3696.46 -527.321
-34.7503 57.6723 | 0.0802104 1.9767 | 1150.18 -2078.08
-34.2962 57.457 | -1.74077 0.27453 | -1103.84 4173.21
-33.8342 57.2657 | -1.82302 -1.76294 | -5805.16 2140.17
-33.3682 57.0988 | 0.305683 -1.88849 | -5238.88 -3332.25
-32.8983 56.9543 | 3.42157 -0.316549 | 2597.35 5167.98
-32.4176 56.847 | 4.1602 -2.85 | 4267.64 -3300.02
-31.9279 56.7677 | 1.72987 -1.91423 | -31.1507 -1523.21
