-28.3809 -66.288 | -1.97378 -1.30295 | 1302.38 -2044
-27.887 -66.2046 | -0.181536 -1.96736 | 28.7852 3502.63
-27.389 -66.1493 | -0.441707 -3.52761 | -2804.81 6332.48
-26.89 -66.127 | -2.10778 -5.92987 | 4446.58 -6562.05
-26.3903 -66.1678 | 0.0467123 -3.6876 | -4007.79 -4946.48
-25.9028 -66.2748 | 1.95086 -1.32486 | -5282.46 3565.45
-25.4317 -66.4285 | 0.375926 -2.80385 | 3953.59 -1852.89
-24.9712 -66.6191 | -0.201533 -2.2447 | 3068.57 2442.29
-24.5187 -66.8325 | -0.336256 -2.11018 | 1561.65 -2788.36
-24.0751 -67.0674 | 0.0474604 -1.56466 | -4835.13 -47.3733
-23.6415 -67.3138 | -0.162055 -1.5396 | -2701.88 6659.19
-23.2099 -67.5557 | -1.80588 -4.18569 | 4008.84 -1597.34
-22.7747 -67.7959 | -1.62257 -3.03689 | -1918.61 -3873.55
-22.3382 -68.0356 | -0.531059 0.984662 | 4092.85 3775.9
-21.8926 -68.2617 | 0.841465 0.418587 | 1672.63 -2502.09
-21.4405 -68.4793 | 1.903 -1.94764 | -4840.13 -6844.4
-20.9839 -68.6871 | 1.38336 -0.925727 | 10813.4 8180.75
-20.5065 -68.856 | 0.748231 1.88241 | 2111.2 1212.61
-20.0182 -68.995 | 0.418747 1.46209 | -8919.46 -1108.64
-19.5323 -69.1183 | 2.39745 0.0428935 | -6942.74 2516.63
-19.0498 -69.2299 | 3.08761 -1.74908 | -2366.74 -6323.94
-18.5673 -69.3384 | 3.23682 -1.55015 | 9327.19 3896.31
-18.0747 -69.4264 | 4.32803 0.153264 | 972.733 -1255.47
-17.5774 -69.4971 | 2.7518 -1.09427 | 789.919 -426.717
-17.0769 -69.5508 | 1.31782 -3.14805 | 2513.61 847.91
-16.5736 -69.5866 | 1.42283 -2.36679 | -5727.85 -4550.12
-16.0731 -69.608 | 0.241262 -2.41052 | 242.177 588.771
-15.573 -69.5996 | -0.719511 -2.419 | -3749.31 2810.71
-15.0781 -69.5503 | -1.46341 -2.16233 | 1285.52 -4457.17
-14.5884 -69.4645 | -1.1502 -1.84244 | -1070.03 2413
-14.1108 -69.3303 | -2.26635 0.512379 | -4688.91 -416.584
-13.6519 -69.1491 | -4.56473 0.206399 | 3783.89 1098.05
-13.2083 -68.9265 | -4.75673 1.11827 | 3996.63 3672.22
-12.7789 -68.6691 | -4.41167 0.0177657 | -216.35 2345.61
-12.362 -68.3905 | -4.12637 -2.16538 | -2539.13 -5006.72
-11.9503 -68.1116 | -3.83023 1.01086 | -5104.29 -6854.26
-11.5389 -67.8421 | -1.57407 0.675564 | 3115.28 3928.5
-11.121 -67.5764 | -0.302453 -1.62163 | 7660 3589.03
-10.6913 -67.3169 | -2.1267 -0.897819 | 5048.05 -1320.93
-10.2523 -67.0665 | -2.16668 -1.06985 | -2983.9 2654.03
-9.81488 -66.8164 | -0.427458 -1.41794 | -10308.3 -2984.02
-9.38363 -66.5713 | -0.894102 0.962031 | -1884.22 -4995.45
-8.94936 -66.3397 | -1.1335 1.65447 | 1798.78 1513.14
-8.50923 -66.1165 | -0.34193 -0.428649 | -1127.31 6718.22
-8.06328 -65.9 | -1.14135 0.0101091 | 8107.68 -2724.43
-7.60007 -65.7113 | -0.151254 -0.770469 | -355.196 -3769.2
-7.12589 -65.5526 | -0.186206 -1.35063 | -1565.7 6073.52
-6.64598 -65.4109 | -0.47557 1.34616 | 1840 104.803
-6.15781 -65.2962 | -0.506136 1.6704 | -1914.7 1668.56
-5.66352 -65.2178 | -2.04873 1.73529 | 1473.99 -4506.25
-5.16345 -65.1923 | -2.71232 2.41928 | -1888.4 -1793.52
-4.66403 -65.2175 | -2.00611 2.32477 | 2822.48 1804.49
-4.166 -65.2834 | -1.42268 1.76559 | 3609.75 -4194.71
-3.67124 -65.3879 | -1.67737 1.00567 | -1702.53 2276.06
-3.18188 -65.5148 | -0.785569 4.085 | 5662.04 -3129.83
-2.6925 -65.6586 | 1.09188 3.46501 | 2390.29 -3731.83
-2.20263 -65.8085 | 1.34612 0.704485 | -1362.03 6812.74
-1.71146 -65.9434 | 0.137186 -2.49573 | -6050.36 4771.23
-1.22313 -66.0647 | 0.455695 -2.93386 | -9592.96 1642.12
-0.742569 -66.1853 | 2.09739 -0.509096 | -2800.53 -1192.76
-0.267543 -66.317 | 2.78954 0.946081 | 2084.32 -3493.75
0.204975 -66.4632 | 2.45024 2.38694 | 1073.21 933.166
0.676613 -66.6146 | 2.38368 4.2862 | 1102.55 382.406
1.14801 -66.7664 | 1.72105 2.50213 | -8144.03 -1862.24
1.61495 -66.9148 | 1.41171 2.10326 | -823.12 6793.98
2.08547 -67.0422 | 1.74933 3.30786 | 274.265 -6128.89
2.56035 -67.1572 | 1.66595 2.53135 | 1402.35 -3844.7
3.04304 -67.2463 | 1.74585 1.56375 | 8724.34 8212.75
3.53803 -67.2844 | 1.95942 2.07301 | 241.197 -342.772
4.03576 -67.2852 | 2.21556 -1.36911 | -2788.76 -3255.53
4.53126 -67.2625 | 2.72901 -4.60999 | -1453.49 -765.141
5.02437 -67.2188 | 3.00066 -2.984 | 2674.65 -2334.27
5.51704 -67.1545 | 4.08751 -2.81482 | 3949.64 -3424.72
6.00728 -67.0611 | 4.16082 -3.33668 | -2633.24 3873.83
6.48402 -66.9166 | 2.32536 -0.741101 | -656.898 3940.4
6.9414 -66.7176 | 1.62129 -0.0610149 | 4263.84 -4951.38
7.37943 -66.4769 | 0.749661 -0.433031 | -3930.45 2938.81
7.78521 -66.1874 | -0.134937 1.95214 | -3502.64 897.325
8.15758 -65.8581 | -0.198968 3.33257 | 5653.27 -5595.67
8.50787 -65.5052 | 0.745904 1.35204 | -42.323 1814.51
8.82676 -65.1226 | 1.4201 -0.575619 | -3186.06 4153.43
9.10799 -64.7107 | -1.9804 0.0785337 | 2289.92 -7469.7
9.36155 -64.2845 | -4.49372 0.585067 | -2519.42 4984.29
9.58367 -63.839 | -2.34329 -1.9311 | -1049.94 4451.81
9.78583 -63.3818 | -0.0333893 -3.94712 | 342.702 -7321.15
9.98886 -62.9299 | 1.33788 -2.39496 | 1383.19 -2236.85
10.2058 -62.4861 | 1.12911 -0.114847 | 6768.82 222.52
10.4412 -62.0494 | 1.15403 -1.29919 | -3359.51 700.419
10.6753 -61.6125 | 0.763145 -2.05678 | -3436.34 -1453.82
10.901 -61.1733 | 1.70268 -0.785159 | -594.437 1379.82
11.1219 -60.7301 | 3.25196 -1.37408 | 5010.06 6562.44
11.3467 -60.2824 | 0.785685 -2.09382 | -3407.7 3294.39
11.5745 -59.8347 | 0.276232 -1.40068 | -1469.47 -6429.78
11.8196 -59.4006 | 1.99445 -1.12446 | 4990.47 -48.0779
12.0945 -58.9825 | 3.08548 -2.37155 | 4311.61 6002.6
12.3952 -58.576 | 2.03691 -2.17063 | -851.107 -2254.58
12.7124 -58.1841 | 2.10699 -1.12546 | -7487.09 -1352.26
13.0373 -57.8041 | 3.27621 -1.79299 | -2026.7 1171.51
13.38 -57.4408 | 4.73299 -4.38196 | 8033.75 -1569.97
13.7555 -57.1071 | 6.55741 -5.76247 | -3839.42 -377.99


-37.0197 60.0397 | -0.848967 -0.323575 | -1127.6 -1053.85
-36.6253 59.7327 | 1.89581 -0.431399 | 2656.78 1546.21
-36.2356 59.4194 | 2.67113 -0.473793 | -3270.48 1424.52
-35.8538 59.1011 | 2.18325 0.704099 | -5793.29 3138.05
-35.479 58.7815 | 1.09641 1.95046 | 469.867 -3326.49
-35.1007 58.4631 | 2.22687 4.15154 | 7634.45 -2389.68
-34.705 58.1572 | 0.154767 1.3084 | 5381.19 553.548
-34.2909 57.8701 | -0.530439 -1.20951 | -2026.09 -1955.96
-33.8675 57.5974 | 0.10247 -1.90058 | -3606.01 3723.84
-33.4367 57.3436 | -0.66831 -2.84934 | -4090.22 -4365.46
-32.9983 57.1056 | -0.91769 -1.93433 | 4445.73 955.292
-32.5409 56.9003 | 0.519029 -0.209406 | 3801.61 3219.22
-32.0637 56.737 | -1.36769 -3.87403 | 5687.87 -8084.57
-31.5699 56.6085 | -2.47494 -3.40139 | 4079.04 5823.65
-31.0635 56.5344 | -2.69008 -0.349395 | -10038.9 3393.62
-30.5596 56.5133 | -3.02283 -1.26222 | -8181.73 -1757.01
-30.0622 56.5345 | -2.90001 -0.010731 | 2699.27 -3807.3
-29.5669 56.5942 | -3.00886 0.711062 | 4610.73 13.0644
-29.0771 56.7037 | -1.31894 1.22019 | 1043.47 2493.25
-28.6043 56.8747 | 0.767247 3.91213 | -6864.88 5803.48
-28.1619 57.1092 | 1.29578 3.31593 | 317.569 595.083
-27.7415 57.3832 | 1.19576 3.02847 | 6865.43 -1823.05
-27.329 57.6741 | 2.88945 2.07861 | -2313.62 -2235.7
-26.926 57.9741 | 4.73208 0.977269 | -4123.18 -5485.86
-26.5324 58.2785 | 5.03931 2.95509 | 2864.9 -1373.28
-26.1459 58.5932 | 4.20959 2.4824 | 1259.47 6424.46
-25.7743 58.9305 | 2.7795 1.43325 | 150.158 79.3679
-25.4198 59.2857 | -0.567235 2.84378 | -5356.7 -2761.04
-25.0847 59.6541 | 0.452644 0.775136 | -1292.18 2399.88
-24.7599 60.0313 | 1.45417 0.287068 | 279.461 -3499.62
-24.4314 60.4025 | -0.521579 1.92199 | -1589.95 -3220.73
-24.0917 60.7611 | 0.551664 0.842766 | 6062.25 5937.39
-23.7327 61.1084 | 3.17315 -1.24441 | -230.508 1078.41
-23.3557 61.4373 | 1.29586 -2.81461 | -1611.78 -4458.84
-22.96 61.7388 | -3.16367 0.778413 | 675.948 -3395.29
-22.5473 62.0149 | -1.92153 -0.148598 | -3735.1 6317.8
-22.1261 62.2796 | -1.40172 1.67935 | 6192.74 5655.02
-21.6868 62.5244 | -0.0730887 2.72398 | 858.56 -6784.91
-21.2272 62.729 | 1.68912 -0.800153 | 5482.12 -727.33
-20.7493 62.8992 | -0.247776 2.50346 | 5847.96 5997.36
-20.2594 63.0498 | -1.55052 1.59662 | -7355.38 4044.99
-19.7666 63.1777 | -1.11557 -3.56314 | 2375.5 -11677
-19.2646 63.2587 | -0.0636622 -2.94086 | -77.4842 899.928
-18.7591 63.3121 | 0.504833 -2.85844 | -3046.68 7516.48
-18.2537 63.3527 | -0.484005 1.63402 | 4022.72 -4422.49
-17.7451 63.3643 | -2.30346 1.3947 | -3178.75 331.329
-17.2394 63.3479 | -2.46651 -0.7156 | -8781.32 -2282.75
-16.7424 63.3026 | 0.645553 1.78617 | -3136.9 2510.99
-16.2505 63.2383 | 1.36204 2.98047 | 3655.02 783.151
-15.7592 63.1562 | -0.785679 -0.0355248 | 3248.29 -5461.61
-15.2702 63.0542 | -0.197581 0.991094 | -13954.5 7651.73
-14.7922 62.9514 | 0.126105 0.315725 | -5507.78 1914.68
-14.319 62.8461 | -1.22825 -0.321932 | 13851.8 -2167.82
-13.8384 62.7319 | -1.31835 2.51789 | 1998.32 -7759.65
-13.3579 62.6039 | -0.571358 3.94782 | -6751.12 2515.07
-12.8801 62.4857 | -0.311928 2.19013 | -4058.83 6841.49
-12.3999 62.3954 | -0.0586425 -0.298515 | 7483.99 -2439.93
-11.9114 62.3248 | 1.19961 0.0117312 | 1468.3 -1153.88
