-5.28933 15.2074 | 0.227707 1.44535 | 5693.14 3125
-4.81806 15.0273 | 2.11335 1.89364 | -1391.4 -8835.41
-4.3668 14.7978 | 1.45087 -1.02995 | -630.822 -3830.37
-3.9328 14.5342 | 0.581622 -0.0014633 | 6125.37 7157.52
-3.50365 14.2614 | 2.21572 0.782232 | -5816.74 -3118.57
-3.08808 13.974 | 2.76229 -0.247498 | -8804.21 3961.96
-2.6824 13.6855 | 2.30629 -1.03997 | 2816.43 9966.35
-2.27114 13.4103 | 3.73449 -1.62137 | 573.364 -5324.79
-1.86043 13.1295 | 3.43054 -2.45875 | 3026.85 -6664.73
-1.45019 12.8397 | 2.39931 -3.56526 | 2581.1 3414.25
-1.03676 12.5539 | 1.48916 -1.76774 | -4568.68 1976.26
-0.62548 12.2704 | -0.0456634 -1.80433 | -660.733 -1455.48
-0.213735 11.987 | 0.000855561 -3.197 | 3963.84 -4523.37
0.204922 11.7063 | -2.56938 -3.86533 | 2041.15 -713.242
0.634644 11.4398 | -3.00455 -2.64203 | -2341.28 3705.23
1.07615 11.1991 | 1.0179 0.795846 | -3140.49 1657
1.52931 10.9874 | 0.865877 -0.934084 | 1443.09 -1522.87
1.9965 10.8063 | -0.0720294 -1.56073 | 689.941 2007.9
2.47678 10.6622 | -0.0838345 0.993174 | 164.184 -1416.26
2.96738 10.5529 | -0.620326 -0.332298 | 5392.25 -3134.95
3.46926 10.4809 | 0.951168 2.22845 | 2859.81 3680.18
3.97816 10.4589 | 1.36723 4.78944 | 704.072 5211.61
4.48697 10.4862 | 2.88417 0.489886 | -6478.91 -8037.81
4.98782 10.5434 | 1.91237 -0.193649 | -6202.62 3517.45
5.47752 10.6419 | 0.311957 0.956687 | 1494.15 617.662
5.95916 10.7765 | -0.24219 -0.87688 | 3126.28 -4760.61
6.43314 10.9397 | -3.419 0.188152 | 1994.34 -629.675
6.89177 11.1439 | -1.88697 2.7442 | -5339.11 7752.45
7.32058 11.404 | 3.13013 0.0292845 | 1408.24 2170.18
7.72507 11.7034 | 1.39641 -0.00288208 | -1994.28 -1187.3
8.11283 12.0218 | -0.369219 -0.992091 | -697.945 -4065.38
8.49657 12.3414 | -0.496005 -2.96184 | 4062.25 -2901.12
8.88545 12.6548 | 0.289085 -3.1578 | -1236.11 -4031.61
9.27268 12.9665 | 0.854911 0.563662 | -4785.79 3844.84
9.64871 13.2907 | 1.87182 1.06413 | 1884.45 6271.87
10.0214 13.6241 | 2.25619 -0.0550017 | 4366.79 -5569.77
10.4023 13.9477 | 1.58042 -1.03457 | -2315.05 -4397.73
10.7844 14.2642 | 3.07732 -2.45292 | -5900.52 983.96
11.159 14.5851 | 3.90195 -0.503193 | 2918.2 279.867
11.5324 14.9102 | 2.28788 0.753215 | 2255.14 4992.09
11.9051 15.243 | 2.69299 -1.58199 | 3465 5906.26
12.2828 15.5798 | 2.99413 -3.71635 | 8008.23 3976.94
12.6756 15.9093 | 1.53681 -1.2373 | -1116.35 -1525.17
13.0814 16.2211 | 3.36588 -1.98402 | -719.454 -9654.96
13.4995 16.5073 | 0.0761734 -1.12887 | -8244.43 4402.29
13.9171 16.7863 | -0.659815 -0.925143 | -4684.67 -476.107
14.3403 17.0499 | 1.41496 -0.578373 | 277.766 -3515.38
14.7796 17.2825 | 0.535882 -0.417497 | 2775 -175.25
15.2373 17.4802 | 0.44932 0.248724 | 1704.56 -563.298
15.7094 17.643 | 0.385791 2.24431 | -4533.58 2441
16.1879 17.776 | 0.679976 3.61582 | -4683.89 445.389
16.6723 17.8728 | 0.384167 2.27944 | 9214.74 -2867.6
17.1696 17.9241 | -1.579 1.1139 | 3483.83 6524.71
17.6726 17.937 | -1.00204 0.603968 | -1666.76 -7110.96
18.1736 17.8943 | 0.583002 0.883371 | 1732.65 1088.1
18.6698 17.8067 | 1.89419 -0.566148 | -630.044 1888.96
19.1573 17.6794 | 2.6647 -1.52281 | 4006.11 -3492.3
19.6349 17.5092 | 1.35125 -1.45097 | -1542.61 -6106.44
20.0979 17.3016 | 0.932372 -1.7792 | -7700.93 4387.96
20.5496 17.0837 | 0.16607 -0.593173 | 1939.49 2824.4
21.0041 16.8742 | -1.98304 -0.269035 | -1835.74 6056.21
21.4634 16.6824 | -1.23459 -0.418574 | 258.172 -4178.78
21.9267 16.4975 | -0.475296 -1.89048 | 619.781 -4690.56
22.3961 16.3238 | -0.41939 -0.849372 | 719.914 4540.05
22.8764 16.1822 | -0.942303 1.9312 | 6303.35 773.548
23.3696 16.0752 | -2.95359 0.99055 | -1988.35 4743.68
23.8672 15.9989 | -1.81706 0.0940595 | -2292.04 -8773.02
24.3643 15.9314 | -0.0946251 0.289459 | -5317.42 241.375
24.8595 15.8863 | -0.0367645 -0.23349 | -6494.3 -3471.52
25.3527 15.8777 | -0.415589 -0.511673 | 13182.9 5635.13
25.851 15.9331 | -0.385158 -1.46546 | 2536.17 2890.67
26.3393 16.0567 | 0.734942 -1.9422 | -10051 -3467.36
26.8 16.2416 | 1.66125 -3.10008 | -4778.82 550.843
27.2294 16.4839 | -0.293907 -2.14025 | 1985.94 -339.045
27.6335 16.7692 | -0.290066 -2.94798 | 10023.7 -258.681
28.0193 17.0865 | 1.54252 -2.45114 | -4528.17 -4716.55
28.3705 17.436 | 2.77615 -0.553242 | -2263.94 290.109
28.6777 17.8236 | 1.52204 1.56334 | 2821.45 8002.3
28.9399 18.249 | 0.183004 2.15557 | -4480.42 -1517.93
29.1593 18.6963 | -0.374461 1.90507 | 3668.25 -4148.86
29.3558 19.1517 | -2.11387 0.749807 | -4074.51 -3115.5
29.5324 19.6113 | -0.941492 -0.179552 | 1052.11 -3309.51
29.7045 20.0702 | 1.16099 0.59034 | 3277.32 1308.64
29.8807 20.529 | 0.313402 2.24315 | -3108.46 1157.2
30.0582 20.988 | 4.3151 0.375409 | 7917.51 365.435
30.2474 21.445 | 4.74781 -0.219519 | -2184.12 2761.88
30.4304 21.9064 | 2.52565 0.590693 | -8993.24 3364.26
30.6011 22.3734 | 3.5615 -1.29554 | 8334.49 2284.61
30.7906 22.8371 | 2.8856 -1.29799 | 301.343 -588.566
31.0014 23.2918 | 1.63847 -0.403373 | -87.2734 -512.948
31.2349 23.7356 | 0.499493 0.72435 | 5427.61 1707.31
31.4934 24.1689 | -2.20659 2.42878 | -4068.13 3049.83
31.7635 24.5959 | -0.876427 0.100812 | 767.883 -118.664
32.0501 25.0118 | 1.02283 -2.36765 | -1818.88 -4789.64
32.3541 25.4109 | -0.770596 -0.593591 | -3069.28 2420.44
32.6759 25.7959 | 0.979056 -1.85516 | 6596.14 276.783
33.0278 26.1588 | 2.03673 -3.65632 | 4809.05 2776.76
33.4056 26.5007 | 1.59951 -5.18996 | -4737.13 3966.44
33.7988 26.8227 | -0.595368 -5.61322 | -5383.09 -11663.7
34.2113 27.106 | -2.60032 -6.35503 | 610.641 1500.5


