48.7874 -85.5962 | -5.56005 0.0840515 | 8512.14 -9108.28
49.2921 -85.6277 | -4.04441 -0.374847 | -16016.8 18739.7
49.7847 -85.5957 | 4.79285 -1.62385 | -14782.7 -10331.7
50.2659 -85.539 | -1.90666 6.76639 | 31774.8 -2408.87
50.7623 -85.4593 | -0.0328099 1.01655 | -14886.4 3916.55
51.2445 -85.3402 | -3.97614 4.47199 | 3275.81 -3836.79
51.718 -85.1882 | -1.66974 -2.65796 | 4325.91 3082.96
52.1781 -84.9946 | 2.31835 3.62488 | -14174 -14231.7
52.6095 -84.7629 | 0.447794 -1.80525 | 15513.9 33209.4
53.0182 -84.4589 | -5.96335 0.516733 | 9688 -9851.49
53.4164 -84.1385 | 4.31184 2.66884 | -19852.1 -22181.1
53.7875 -83.8128 | 3.90121 5.15953 | 14325.7 22893.5
54.1394 -83.4497 | -1.73026 2.63312 | -13895.1 -18143.7
54.4573 -83.0764 | 1.05918 -2.28767 | -11895.2 -17611.7
54.7432 -82.6938 | -4.15764 7.40831 | 17343.3 33334.8
55.0173 -82.2734 | 5.49956 -3.10749 | 12749.1 1791.68
55.2883 -81.8412 | 0.519462 -1.54861 | -17077.9 -1930.73
55.5329 -81.4027 | 5.70906 -4.15718 | 7122.18 -28391.1
55.7803 -80.9823 | -0.0454132 0.303768 | 1947.08 13102.4
56.0024 -80.5414 | 0.373655 -0.0391155 | -16184.4 15153.4
56.1775 -80.0741 | 3.2426 0.853088 | 17828.5 -19898.2
56.3597 -79.6159 | 0.839852 -2.46035 | -14550.9 18099.3
56.5241 -79.1446 | 3.9782 -3.22991 | 21428.1 -18656.8
56.7125 -78.6884 | 2.54104 2.09757 | -28705.2 7613.76
56.8728 -78.2205 | 6.33028 -4.18396 | 28252.5 32275.6
57.0711 -77.7419 | 2.43267 -3.76561 | -12134.8 -35037.3
57.2928 -77.2971 | -4.777 -1.16371 | -11966.9 5285.61
57.5373 -76.8677 | 0.13416 2.70245 | 29461.8 918.468
57.8451 -76.4685 | 4.01138 -1.74265 | -21137.7 97.5079
58.1599 -76.0839 | 2.04212 3.03233 | 2969.95 -2298.51
58.4932 -75.7172 | 2.33923 -4.77611 | -14928 6121.11
58.8394 -75.3672 | 3.42361 -6.21059 | 21115.6 -6673.14
59.2406 -75.0678 | 1.38177 -4.66479 | 5327.82 9077.57
59.6758 -74.8047 | -3.03358 -4.95232 | 2308.51 -5638.63
60.1315 -74.5802 | 0.396642 5.7404 | -17935.8 4205.48
60.5849 -74.3751 | 6.50342 2.7512 | -6606.23 -2941.21
61.0482 -74.2037 | 1.07304 -5.45937 | 32726.3 -9960.81
61.5443 -74.0751 | 2.0169 -5.36036 | -4281.28 23695.4
62.0391 -73.9363 | 0.377065 5.99501 | -28478.2 -14189.9
62.5214 -73.8236 | -4.82442 -0.87105 | 25537.1 -4649.68
63.0204 -73.7367 | -3.9958 0.824776 | -15027.2 783.564
63.508 -73.6475 | -1.82792 2.51356 | -29364.1 17770.7
63.975 -73.5374 | -0.0209545 1.04235 | 29730.9 -25588.1
64.4664 -73.4751 | 1.77936 4.99004 | 8400.7 19674.3
64.9685 -73.4112 | 0.611531 2.20826 | 7676.3 -12605.7
65.4776 -73.3689 | 1.49944 -1.91723 | -8071.5 -3565.61
65.9779 -73.3202 | 0.0180638 -6.99149 | -27134.2 6288.63
66.4528 -73.2264 | 3.43734 -0.480705 | 3327.91 9281.33
66.9196 -73.0874 | -1.32172 3.39402 | 22497.1 -19086.6
67.3953 -72.9425 | -5.23512 -3.51748 | -17097.2 17257.2
67.846 -72.7436 | 0.36941 -4.22798 | 9217.39 -7127.72
68.2884 -72.5214 | 1.25484 -2.20115 | -2089.17 -9536.47
68.7127 -72.2757 | -2.74671 -4.92979 | -10572.4 8458.11
69.1002 -71.9802 | -3.67201 1.45928 | 4128.66 -5033.07
69.4669 -71.6551 | -2.91575 -1.36239 | 16792.6 17693.7
69.8241 -71.2939 | 4.66927 -5.08309 | 6863.91 3411.91
70.1685 -70.9122 | -3.32657 1.46756 | -7501.9 -12985.6
70.4875 -70.5208 | 1.51087 -8.33211 | -8515.22 1345.27
70.7732 -70.1073 | -2.11099 -3.66414 | 23076.9 12316.3
71.0445 -69.6708 | -1.42977 0.790455 | -24144 -26565.2
71.2525 -69.2233 | -1.60232 3.55685 | -11519.9 18623.8
71.4046 -68.7442 | -1.17492 -0.607843 | 31118.2 21866.9
71.5683 -68.2488 | -0.673967 -5.73004 | -17895.6 -24078.7
71.714 -67.7648 | -2.00237 -0.280342 | 3882.33 -7086.41
71.8641 -67.2867 | 4.67281 1.41682 | 9681.6 19823.6
72.0197 -66.7958 | -6.16973 -1.22818 | -1871.1 -5990.27
72.1599 -66.3018 | 4.6855 -0.0949133 | -13875.4 13590.4
72.2682 -65.7962 | 0.280455 0.583621 | 17582 -28450.9
72.3839 -65.3103 | 4.8977 -1.42313 | -22002.7 -10790.3
72.4617 -64.8294 | 0.923521 2.21006 | 7731.68 6413.99
72.5361 -64.3443 | -3.82939 1.87259 | -6731.12 3708.85
72.6131 -63.857 | 2.42348 -2.03387 | 17688.7 -3843.13
72.7273 -63.3744 | -3.52279 0.173023 | -11352.4 25970.9
72.8429 -62.878 | -0.0631306 2.16912 | 7902.81 -23817.8
72.9817 -62.4002 | -1.25371 5.94345 | -12137.1 3257.81
73.1218 -61.9242 | -0.995971 3.45105 | 2847.63 9762.57
73.2895 -61.4523 | 3.52685 2.83168 | 10318.7 -23864.7
